Node_ID	Description	Host	Colour (Host)
CP023686	Zymomonas mobilis subsp. mobilis	Unspecified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Mycobacterium	#D4440F
MF417929	Uncultured Caudovirales phage clone 2F_1	Unspecified	#D3D3D3
MH616963	crAssphage sp. isolate ctbg_1	Unspecified	#D3D3D3
MH552500	crAssphage sp. isolate ctcc615	Unspecified	#D3D3D3
BK010471	Carjivirus communis	Unspecified	#D3D3D3
AC171169	Escherichia phage H8	Escherichia	#9DB81D
LR797314	uncultured Caudovirales phage	Unspecified	#D3D3D3
MW175890	Dompiswa phage TSP7_1	Dompiswa	#815973
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Unspecified	#D3D3D3
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Unspecified	#D3D3D3
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Unspecified	#D3D3D3
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Unspecified	#D3D3D3
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Unspecified	#D3D3D3
AP013545	uncultured phage_MedDCM-OCT-S46-C10	Unspecified	#D3D3D3
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Unspecified	#D3D3D3
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Unspecified	#D3D3D3
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Unspecified	#D3D3D3
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Unspecified	#D3D3D3
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Unspecified	#D3D3D3
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Unspecified	#D3D3D3
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Unspecified	#D3D3D3
CP052639	Klebsiella pneumoniae	Unspecified	#D3D3D3
LR756511	uncultured phage	Unspecified	#D3D3D3
LR756508	uncultured phage	Unspecified	#D3D3D3
LR756504	uncultured phage	Unspecified	#D3D3D3
LR756503	uncultured phage	Unspecified	#D3D3D3
LR756502	uncultured phage	Unspecified	#D3D3D3
LR756501	uncultured phage	Unspecified	#D3D3D3
LR756500	uncultured phage	Unspecified	#D3D3D3
LR745208	uncultured phage	Unspecified	#D3D3D3
LR745206	uncultured phage	Unspecified	#D3D3D3
AY576273	Alphaproteobacteria phage PhiJL001	Alphaproteobacteria	#4F2385
MN335248	Vibrio phage XacF13	Vibrio	#090662
CP023680	Zymomonas mobilis subsp. mobilis	Unspecified	#D3D3D3
CP038625	Arsenophonus nasoniae	Unspecified	#D3D3D3
MK250029	Prevotella phage Lak-C1	Prevotella	#2BC475
MK250028	Prevotella phage Lak-B9	Prevotella	#2BC475
MK250027	Prevotella phage Lak-B8	Prevotella	#2BC475
MK250026	Prevotella phage Lak-B7	Prevotella	#2BC475
MK250025	Prevotella phage Lak-B6	Prevotella	#2BC475
MK250024	Prevotella phage Lak-B5	Prevotella	#2BC475
MK250023	Prevotella phage Lak-B4	Prevotella	#2BC475
MK250022	Prevotella phage Lak-B3	Prevotella	#2BC475
MK250021	Prevotella phage Lak-B2	Prevotella	#2BC475
MK250020	Prevotella phage Lak-B1	Prevotella	#2BC475
MK250019	Prevotella phage Lak-A2	Prevotella	#2BC475
MK250018	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250017	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250016	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250015	Prevotella phage Lak-A1	Prevotella	#2BC475
KX397280	Phage MedPE-SWcel-C56	Unspecified	#D3D3D3
AY319521	synthetic construct	Unspecified	#D3D3D3
CP019275	Escherichia coli	Unspecified	#D3D3D3
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Vibrio	#090662
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Vibrio	#090662
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Vibrio	#090662
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Vibrio	#090662
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Vibrio	#090662
MF361639	Flavobacterium phage FLiP	Flavobacterium	#A2905C
FPLJ01000048	Moritella viscosa	Unspecified	#D3D3D3
CP006891	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	Unspecified	#D3D3D3
AF143772	Mycobacterium avium	Unspecified	#D3D3D3
GU943031	uncultured phage MedDCM-OCT-S08-C159	Unspecified	#D3D3D3
CP014526	Haematospirillum jordaniae	Unspecified	#D3D3D3
JX625144	Enterobacteria phage M	Enterobacteria	#910522
HM208303	Escherichia phage vB_EcoP_24B	Escherichia	#9DB81D
HQ633062	Synechococcus phage S-CBP3	Synechococcus	#B636D9
AGRM01000002	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000003	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000004	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000005	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AFYI01000001	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000003	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000004	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000005	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000006	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000007	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AB571791	Salmonella enterica subsp. enterica serovar Typhimurium	Unspecified	#D3D3D3
HM066936	Caulobacter phage phiCb5	Caulobacter	#617482
GU943068	uncultured phage MedDCM-OCT-S05-C849	Unspecified	#D3D3D3
GU943054	uncultured phage MedDCM-OCT-S04-C24	Unspecified	#D3D3D3
AF334111	Acinetobacter phage AP205	Acinetobacter	#B3DDB9
