Node_ID	Description	Lowest Taxa	Colour (Lowest taxa)
CP023686	Zymomonas mobilis subsp. mobilis	Unclassified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Fromanvirus	#A65CE4
MF417929	Uncultured Caudovirales phage clone 2F_1	Bracchivirus	#28729F
MH616963	crAssphage sp. isolate ctbg_1	Whopevirus	#4C3EED
MH552500	crAssphage sp. isolate ctcc615	Wotdevirus	#CAC222
BK010471	Carjivirus communis	Carjivirus	#0F2010
AC171169	Escherichia phage H8	Tequintavirus	#15861C
LR797314	uncultured Caudovirales phage	Unclassified	#D3D3D3
MW175890	Dompiswa phage TSP7_1	Phapecoctavirus	#DC8F10
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Chosvirus	#ED4810
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Krakvirus	#97FA2E
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Stopalavirus	#A0D12F
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Nohivirus	#281D6A
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Oinezvirus	#6BAEF9
AP013545	uncultured phage_MedDCM-OCT-S46-C10	Foussvirus	#6DECE1
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Ayaqvirus	#2B5A97
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Fussvirus	#1F658B
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Pelagivirus	#A8DEC1
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Sieqvirus	#DE100D
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Votkovvirus	#58B909
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Pedosvirus	#B9A5DB
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Ashivirus	#7FB32C
CP052639	Klebsiella pneumoniae	Unclassified	#D3D3D3
LR756511	uncultured phage	Unclassified	#D3D3D3
LR756508	uncultured phage	Unclassified	#D3D3D3
LR756504	uncultured phage	Unclassified	#D3D3D3
LR756503	uncultured phage	Unclassified	#D3D3D3
LR756502	uncultured phage	Unclassified	#D3D3D3
LR756501	uncultured phage	Unclassified	#D3D3D3
LR756500	uncultured phage	Unclassified	#D3D3D3
