Node_ID	Description	Sub-family	Colour (Sub-family)
CP023686	Zymomonas mobilis subsp. mobilis	Unclassified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Unclassified	#D3D3D3
MF417929	Uncultured Caudovirales phage clone 2F_1	Unclassified	#D3D3D3
MH616963	crAssphage sp. isolate ctbg_1	Crudevirinae	#E8FDEF
MH552500	crAssphage sp. isolate ctcc615	Obtuvirinae	#89B771
BK010471	Carjivirus communis	Crudevirinae	#E8FDEF
AC171169	Escherichia phage H8	Markadamsvirinae	#450410
LR797314	uncultured Caudovirales phage	Unclassified	#D3D3D3
MW175890	Dompiswa phage TSP7_1	Stephanstirmvirinae	#781BA9
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Unclassified	#D3D3D3
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Unclassified	#D3D3D3
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Unclassified	#D3D3D3
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Unclassified	#D3D3D3
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Unclassified	#D3D3D3
AP013545	uncultured phage_MedDCM-OCT-S46-C10	Unclassified	#D3D3D3
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Unclassified	#D3D3D3
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Unclassified	#D3D3D3
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Unclassified	#D3D3D3
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Unclassified	#D3D3D3
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Unclassified	#D3D3D3
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Unclassified	#D3D3D3
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Unclassified	#D3D3D3
CP052639	Klebsiella pneumoniae	Unclassified	#D3D3D3
LR756511	uncultured phage	Unclassified	#D3D3D3
LR756508	uncultured phage	Unclassified	#D3D3D3
LR756504	uncultured phage	Unclassified	#D3D3D3
LR756503	uncultured phage	Unclassified	#D3D3D3
LR756502	uncultured phage	Unclassified	#D3D3D3
LR756501	uncultured phage	Unclassified	#D3D3D3
LR756500	uncultured phage	Unclassified	#D3D3D3
LR745208	uncultured phage	Unclassified	#D3D3D3
LR745206	uncultured phage	Unclassified	#D3D3D3
AY576273	Alphaproteobacteria phage PhiJL001	Unclassified	#D3D3D3
MN335248	Vibrio phage XacF13	Unclassified	#D3D3D3
CP023680	Zymomonas mobilis subsp. mobilis	Unclassified	#D3D3D3
CP038625	Arsenophonus nasoniae	Unclassified	#D3D3D3
MK250029	Prevotella phage Lak-C1	Unclassified	#D3D3D3
MK250028	Prevotella phage Lak-B9	Unclassified	#D3D3D3
MK250027	Prevotella phage Lak-B8	Unclassified	#D3D3D3
MK250026	Prevotella phage Lak-B7	Unclassified	#D3D3D3
MK250025	Prevotella phage Lak-B6	Unclassified	#D3D3D3
MK250024	Prevotella phage Lak-B5	Unclassified	#D3D3D3
MK250023	Prevotella phage Lak-B4	Unclassified	#D3D3D3
MK250022	Prevotella phage Lak-B3	Unclassified	#D3D3D3
MK250021	Prevotella phage Lak-B2	Unclassified	#D3D3D3
MK250020	Prevotella phage Lak-B1	Unclassified	#D3D3D3
MK250019	Prevotella phage Lak-A2	Unclassified	#D3D3D3
MK250018	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250017	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250016	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250015	Prevotella phage Lak-A1	Unclassified	#D3D3D3
KX397280	Phage MedPE-SWcel-C56	Unclassified	#D3D3D3
AY319521	synthetic construct	Unclassified	#D3D3D3
CP019275	Escherichia coli	Unclassified	#D3D3D3
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Unclassified	#D3D3D3
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Unclassified	#D3D3D3
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Unclassified	#D3D3D3
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Unclassified	#D3D3D3
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Unclassified	#D3D3D3
MF361639	Flavobacterium phage FLiP	Unclassified	#D3D3D3
FPLJ01000048	Moritella viscosa	Unclassified	#D3D3D3
CP006891	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	Unclassified	#D3D3D3
AF143772	Mycobacterium avium	Unclassified	#D3D3D3
GU943031	uncultured phage MedDCM-OCT-S08-C159	Unclassified	#D3D3D3
CP014526	Haematospirillum jordaniae	Unclassified	#D3D3D3
JX625144	Enterobacteria phage M	Unclassified	#D3D3D3
HM208303	Escherichia phage vB_EcoP_24B	Sepvirinae	#E6D92A
HQ633062	Synechococcus phage S-CBP3	Unclassified	#D3D3D3
AGRM01000002	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000003	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000004	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000005	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AFYI01000001	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000003	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000004	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000005	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000006	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000007	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AB571791	Salmonella enterica subsp. enterica serovar Typhimurium	Unclassified	#D3D3D3
HM066936	Caulobacter phage phiCb5	Unclassified	#D3D3D3
GU943068	uncultured phage MedDCM-OCT-S05-C849	Unclassified	#D3D3D3
GU943054	uncultured phage MedDCM-OCT-S04-C24	Unclassified	#D3D3D3
AF334111	Acinetobacter phage AP205	Unclassified	#D3D3D3
AF059242	Escherichia phage Qbeta	Unclassified	#D3D3D3
DQ836063	Pseudomonas phage PRR1	Unclassified	#D3D3D3
OR453399	Staphylococcus phage J4	Twortvirinae	#18F1A6
OR453398	Staphylococcus phage J2	Twortvirinae	#18F1A6
OR453397	Staphylococcus phage J1	Twortvirinae	#18F1A6
OR777152	Arthrobacter phage Cupello	Unclassified	#D3D3D3
OR777151	Arthrobacter phage Marchesin	Unclassified	#D3D3D3
OR420753	Pelagibacter phage HTVC041P	Unclassified	#D3D3D3
OR420749	Methylophilales phage MEP434	Unclassified	#D3D3D3
OR420741	Roseobacter phage CRP-118	Unclassified	#D3D3D3
OR354861	Staphylococcus phage S-CoN_Ph38	Unclassified	#D3D3D3
OR354860	Staphylococcus phage S-CoN_Ph37	Unclassified	#D3D3D3
OR354859	Staphylococcus phage S-CoN_Ph36	Unclassified	#D3D3D3
OR354858	Staphylococcus phage S-CoN_Ph35	Unclassified	#D3D3D3
OR354857	Staphylococcus phage S-CoN_Ph34	Unclassified	#D3D3D3
OR354856	Staphylococcus phage S-CoN_Ph33	Unclassified	#D3D3D3
OR354855	Staphylococcus phage S-CoN_Ph32	Unclassified	#D3D3D3
OR354854	Staphylococcus phage S-CoN_Ph31	Unclassified	#D3D3D3
OR354853	Staphylococcus phage S-CoN_Ph30	Unclassified	#D3D3D3
OR354852	Staphylococcus phage S-CoN_Ph29	Unclassified	#D3D3D3
OR354851	Staphylococcus phage S-CoN_Ph28	Unclassified	#D3D3D3
OR354850	Staphylococcus phage S-CoN_Ph27	Unclassified	#D3D3D3
OR354849	Staphylococcus phage S-CoN_Ph26	Unclassified	#D3D3D3
OR354848	Staphylococcus phage S-CoN_Ph25	Unclassified	#D3D3D3
OR354847	Staphylococcus phage S-CoN_Ph24	Unclassified	#D3D3D3
OR354846	Staphylococcus phage S-CoN_Ph23	Unclassified	#D3D3D3
OR354845	Staphylococcus phage S-CoN_Ph22	Unclassified	#D3D3D3
OR354844	Staphylococcus phage S-CoN_Ph21	Unclassified	#D3D3D3
OR354843	Staphylococcus phage S-CoN_Ph20	Unclassified	#D3D3D3
OR354842	Staphylococcus phage S-CoN_Ph19	Unclassified	#D3D3D3
OR354841	Staphylococcus phage S-CoN_Ph18	Unclassified	#D3D3D3
OR354840	Staphylococcus phage S-CoN_Ph17	Unclassified	#D3D3D3
OR354839	Staphylococcus phage S-CoN_Ph16	Unclassified	#D3D3D3
OR354838	Staphylococcus phage S-CoN_Ph15	Unclassified	#D3D3D3
OR354837	Staphylococcus phage S-CoN_Ph14	Unclassified	#D3D3D3
OR354836	Staphylococcus phage S-CoN_Ph13	Unclassified	#D3D3D3
OR354835	Staphylococcus phage S-CoN_Ph12	Unclassified	#D3D3D3
OR354834	Staphylococcus phage S-CoN_Ph11	Unclassified	#D3D3D3
OR354833	Staphylococcus phage S-CoN_Ph10	Unclassified	#D3D3D3
OR354832	Staphylococcus phage S-CoN_Ph9	Unclassified	#D3D3D3
OR354831	Staphylococcus phage S-CoN_Ph8	Unclassified	#D3D3D3
OR354830	Staphylococcus phage S-CoN_Ph7	Unclassified	#D3D3D3
OR354829	Staphylococcus phage S-CoN_Ph6	Unclassified	#D3D3D3
