Node_ID	Description	Family	Colour (Family)
AY319521	Salmonella phage SopEPhi	Peduoviridae	#320B0F
MW175890	Dompiswa phage TSP7_1	Unclassified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Unclassified	#D3D3D3
MF417929	Uncultured Caudovirales phage clone 2F_1	Peduoviridae	#320B0F
MH616963	crAssphage sp. isolate ctbg_1	Intestiviridae	#99F0F1
MH552500	crAssphage sp. isolate ctcc615	Intestiviridae	#99F0F1
BK010471	Carjivirus communis	Intestiviridae	#99F0F1
AC171169	Escherichia phage H8	Demerecviridae	#EABE70
LR797314	uncultured Caudovirales phage	Unclassified	#D3D3D3
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Autographiviridae	#26AD98
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Autographiviridae	#26AD98
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Autographiviridae	#26AD98
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Autographiviridae	#26AD98
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Autographiviridae	#26AD98
AP013545	uncultured phage MedDCM-OCT-S46-C10	Autographiviridae	#26AD98
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Autographiviridae	#26AD98
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Autographiviridae	#26AD98
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Autographiviridae	#26AD98
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Autographiviridae	#26AD98
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Autographiviridae	#26AD98
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Autographiviridae	#26AD98
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Autographiviridae	#26AD98
LR756511	uncultured phage	Unclassified	#D3D3D3
LR756508	uncultured phage	Unclassified	#D3D3D3
LR756504	uncultured phage	Unclassified	#D3D3D3
LR756503	uncultured phage	Unclassified	#D3D3D3
LR756502	uncultured phage	Unclassified	#D3D3D3
LR756501	uncultured phage	Unclassified	#D3D3D3
LR756500	uncultured phage	Unclassified	#D3D3D3
LR745208	uncultured phage	Unclassified	#D3D3D3
LR745206	uncultured phage	Unclassified	#D3D3D3
AY576273	Alphaproteobacteria phage PhiJL001	Mesyanzhinovviridae	#2369F4
MN335248	Vibrio phage XacF13	Inoviridae	#126EEE
MK250029	Prevotella phage Lak-C1	Unclassified	#D3D3D3
MK250028	Prevotella phage Lak-B9	Unclassified	#D3D3D3
MK250027	Prevotella phage Lak-B8	Unclassified	#D3D3D3
MK250026	Prevotella phage Lak-B7	Unclassified	#D3D3D3
MK250025	Prevotella phage Lak-B6	Unclassified	#D3D3D3
MK250024	Prevotella phage Lak-B5	Unclassified	#D3D3D3
MK250023	Prevotella phage Lak-B4	Unclassified	#D3D3D3
MK250022	Prevotella phage Lak-B3	Unclassified	#D3D3D3
MK250021	Prevotella phage Lak-B2	Unclassified	#D3D3D3
MK250020	Prevotella phage Lak-B1	Unclassified	#D3D3D3
MK250019	Prevotella phage Lak-A2	Unclassified	#D3D3D3
MK250018	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250017	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250016	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250015	Prevotella phage Lak-A1	Unclassified	#D3D3D3
KX397280	Phage MedPE-SWcel-C56	Autographiviridae	#26AD98
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Autolykiviridae	#31E480
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Autolykiviridae	#31E480
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Autolykiviridae	#31E480
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Autolykiviridae	#31E480
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Autolykiviridae	#31E480
MF361639	Flavobacterium phage FLiP	Finnlakeviridae	#BC1058
GU943031	uncultured phage MedDCM-OCT-S08-C159	Autographiviridae	#26AD98
JX625144	Enterobacteria phage M	Fiersviridae	#21C57C
HM208303	Escherichia phage vB_EcoP_24B	Unclassified	#D3D3D3
HQ633062	Synechococcus phage S-CBP3	Autographiviridae	#26AD98
HM066936	Caulobacter phage phiCb5	Steitzviridae	#291F82
GU943054	uncultured phage MedDCM-OCT-S04-C24	Autographiviridae	#26AD98
AF334111	Acinetobacter phage AP205	Duinviridae	#BE4C53
AF059242	Escherichia phage Qbeta	Fiersviridae	#21C57C
DQ836063	Pseudomonas phage PRR1	Fiersviridae	#21C57C
PP974226	Klebsiella phage vB_KpP_AttikonH1N2	Autographiviridae	#26AD98
PP974225	Klebsiella phage vB_KpP_AttikonH1	Autographiviridae	#26AD98
PQ066595	Klebsiella phage phi1_175010	Ackermannviridae	#99CEE5
PQ217617	Bacillus phage Atlee	Herelleviridae	#EA8B1A
PQ217616	Bacillus phage Azalea	Herelleviridae	#EA8B1A
PQ231750	Klebsiella phage PCCM_KpP_22	Unclassified	#D3D3D3
PQ096442	Enterobacter phage EnC07	Straboviridae	#E82358
PQ096441	Enterobacter phage Taquito	Straboviridae	#E82358
PQ096440	Enterobacter phage EnA02	Straboviridae	#E82358
PQ096439	Enterobacter phage EnC15	Straboviridae	#E82358
PQ096438	Enterobacter phage Nando	Straboviridae	#E82358
PQ231053	Aeromonas phage vB_AdhaP_R1	Autographiviridae	#26AD98
