Node_ID,Description,Family,Colour (Family)
MW679025,Eggerthella phage LE1-1,Guelinviridae,#E57F04
LC801235,Pseudomonas phage PP21,Zobellviridae,#4CEBB1
MH937503,Streptococcus phage CHPC1084,Aliceevansviridae,#BCA015
OR283208,Microbacterium phage Danimal,Orlajensenviridae,#FF610B
MT310864,Microbacterium phage Nobel,Orlajensenviridae,#FF610B
KY630163,Salmonella phage S8,Ackermannviridae,#99CEE5
MH999279,Clostridium phage CPD2,Guelinviridae,#E57F04
MK095206,Pectobacterium phage Nobby_B2,Autographiviridae,#26AD98
KX349242,Synechococcus phage S-RIM2,Kyanoviridae,#478C15
OR805292,Pseudomonas phage Cassandra,Arenbergviridae,#FC7C77
MH791403,Pseudomonas phage PaTs-2,Mesyanzhinovviridae,#2369F4
OK490428,Klebsiella phage Kp4870-1,Peduoviridae,#320B0F
MT118302,Pseudomonas phage Epa38,Mesyanzhinovviridae,#2369F4
MZ334525,Haloarcula tailed virus 2,Soleiviridae,#42FD69
AF301375,Methanothermobacter phage psiM100,Leisingerviridae,#3637DD
MG765279,Lactobacillus phage Semele,Herelleviridae,#EA8B1A
MT066160,Vibrio phage Saratov-12,Zobellviridae,#4CEBB1
MW421576,Flavobacterium phage FPSV-D17,Duneviridae,#AAF6E2
EU771092,Bacillus phage phi29,Salasmaviridae,#91F04E
OK275492,Xanthomonas phage FMYAK-P1,Mesyanzhinovviridae,#2369F4
MH937498,Streptococcus phage CHPC1057,Aliceevansviridae,#BCA015
MN812688,Dickeya phage Okapia,Chaseviridae,#42DB2E
OM317910,Klebsiella phage P-K7R,Drexlerviridae,#86048D
MF036692,Serratia phage X20,Straboviridae,#E82358
MN563793,Vibrio phage vB_ValM-yong1,Peduoviridae,#320B0F
OQ417962,Mycobacterium phage prophiT49-2,Vilmaviridae,#79A4A5
MZ171369,Methanoculleus virus Blf4,Pungoviridae,#F6CC94
KM819695,Proteus phage PM 85,Autographiviridae,#26AD98
HQ641346,Vibrio phage ICP2_2006_A,Zobellviridae,#4CEBB1
OM293948,Levilactobacillus phage ENFP1,Herelleviridae,#EA8B1A
PP496430,Pseudomonas phage vB_PpuP-Nouni,Autographiviridae,#26AD98
KY705279,Streptococcus phage P7953,Aliceevansviridae,#BCA015
KY996523,Clostridium phage CPS1,Guelinviridae,#E57F04
MN602266,Bacteriophage DSS3_VP1,Naomviridae,#00ABB7
KC292026,Halogranum tailed virus 1,Halomagnusviridae,#929946
MT234342,Agrobacterium phage OLIVR5,Pootjesviridae,#1B5BA8
JN882286,Cronobacter phage vB_CsaP_GAP52,Grimontviridae,#851F61
OL744215,Klebsiella phage vB_KvaP_F4M1D,Autographiviridae,#26AD98
MW380985,Aeromonas phage PVN05,Chaseviridae,#42DB2E
OL870611,Enterococcus phage UTI-EfS3,Herelleviridae,#EA8B1A
KF598865,Cyanophage PP,Podoviridae,#9A0C58
MH707428,Bacillus phage BSP11,Salasmaviridae,#91F04E
MN549361,Rhizobium phage RL2RES,Pootjesviridae,#1B5BA8
MN988486,Rhizobium phage RHph_Y68,Pootjesviridae,#1B5BA8
OR083247,Escherichia phage Bf23,Demerecviridae,#EABE70
MN549360,Rhizobium phage RL38J1,Pootjesviridae,#1B5BA8
MK764448,Flavobacterium phage FPSV-S27,Winoviridae,#0BD5E3
KC292022,Halorubrum tailed phage 5,Hafunaviridae,#E00FE5
MK937612,Mycobacterium phage LilhomieP,Vilmaviridae,#79A4A5
MN091625,Staphylococcus phage PALS_1,Herelleviridae,#EA8B1A
KC292027,Halovirus HCTV-5,Druskaviridae,#DD4879
OR413344,Salmonella phage EH3,Demerecviridae,#EABE70
OM937123,Escherichia phage CY1,Autographiviridae,#26AD98
MG592610,Vibrio phage 1.245.O._10N.261.54.C7,Schitoviridae,#CB874E
MZ334509,Haloarcula virus HJTV-1,Hafunaviridae,#E00FE5
MT152698,Halorubrum phage Hardycor1,Graaviviridae,#D55A47
KJ502657,Vibrio phage Vc1,Drexlerviridae,#86048D
KJ489397,Bacillus phage CAM003,Herelleviridae,#EA8B1A
KX467643,Sulfolobus islandicus filamentous virus 2,Lipothrixviridae,#833831
MT732444,Cellulophaga phage Nekkels_2,Assiduviridae,#A3D81F
OY978822,Klebsiella phage vB_Ko_K74PH129C2,Autographiviridae,#26AD98
MW344055,Vibrio phage GRLPWR,Demerecviridae,#EABE70
AF065411,Methanobacterium phage psiM2,Leisingerviridae,#3637DD
KF669662,Bacillus phage Spock,Herelleviridae,#EA8B1A
