locus_tag	ftype	length_bp	gene	EC_number	COG	product
KU878088_00001	CDS	204				unannotated protein
KU878088_00002	CDS	1113				unannotated protein
KU878088_00003	CDS	480				unannotated protein
KU878088_00004	CDS	549				unannotated protein
KU878088_00005	CDS	693				unannotated protein
KU878088_00006	CDS	270				unannotated protein
KU878088_00007	CDS	1686				unannotated protein
KU878088_00008	CDS	243				unannotated protein
KU878088_00009	CDS	492				unannotated protein
KU878088_00010	CDS	2547				unannotated protein
KU878088_00011	CDS	573				unannotated protein
KU878088_00012	CDS	1956				unannotated protein
KU878088_00013	CDS	636				unannotated protein
KU878088_00014	CDS	165				unannotated protein
KU878088_00015	CDS	450				unannotated protein
KU878088_00016	CDS	1218				unannotated protein
KU878088_00017	CDS	735				unannotated protein
KU878088_00018	CDS	324				unannotated protein
KU878088_00019	CDS	219				unannotated protein
KU878088_00020	CDS	645				unannotated protein
KU878088_00021	CDS	162				unannotated protein
KU878088_00022	CDS	723				unannotated protein
KU878088_00023	CDS	264				unannotated protein
KU878088_00024	CDS	2304				unannotated protein
KU878088_00025	CDS	798				unannotated protein
KU878088_00026	CDS	351				unannotated protein
KU878088_00027	CDS	945				unannotated protein
KU878088_00028	CDS	1218				unannotated protein
KU878088_00029	CDS	1425				unannotated protein
KU878088_00030	CDS	681				unannotated protein
KU878088_00031	CDS	1152				unannotated protein
KU878088_00032	CDS	447				unannotated protein
KU878088_00033	CDS	171				unannotated protein
KU878088_00034	CDS	1230				unannotated protein
KU878088_00035	CDS	1233				unannotated protein
KU878088_00036	CDS	1146				unannotated protein
KU878088_00037	CDS	450				unannotated protein
KU878088_00038	CDS	411				unannotated protein
KU878088_00039	CDS	516				unannotated protein
KU878088_00040	CDS	267				unannotated protein
KU878088_00041	CDS	903				unannotated protein
KU878088_00042	CDS	903				unannotated protein
KU878088_00043	CDS	447				unannotated protein
KU878088_00044	CDS	219				unannotated protein
KU878088_00045	CDS	2103				unannotated protein
KU878088_00046	CDS	483				unannotated protein
KU878088_00047	CDS	462				unannotated protein
KU878088_00048	CDS	192				unannotated protein
KU878088_00049	CDS	189				unannotated protein
KU878088_00050	CDS	372				unannotated protein
KU878088_00051	CDS	375				unannotated protein
KU878088_00052	CDS	1278				unannotated protein
KU878088_00053	CDS	1161				unannotated protein
KU878088_00054	CDS	342				unannotated protein
KU878088_00055	CDS	702				unannotated protein
KU878088_00056	CDS	693				unannotated protein
KU878088_00057	CDS	687				unannotated protein
KU878088_00058	CDS	1044				unannotated protein
KU878088_00059	CDS	2580				unannotated protein
KU878088_00060	CDS	276				unannotated protein
KU878088_00061	CDS	600				unannotated protein
KU878088_00062	CDS	270				unannotated protein
KU878088_00063	CDS	1011				unannotated protein
KU878088_00064	CDS	633				unannotated protein
KU878088_00065	CDS	693				unannotated protein
KU878088_00066	CDS	210				unannotated protein
KU878088_00067	CDS	627				unannotated protein
KU878088_00068	CDS	2250				unannotated protein
KU878088_00069	CDS	750				unannotated protein
KU878088_00070	CDS	792				unannotated protein
KU878088_00071	CDS	276				unannotated protein
KU878088_00072	CDS	216				unannotated protein
KU878088_00073	CDS	201				unannotated protein
KU878088_00074	CDS	561				unannotated protein
KU878088_00075	CDS	1329				unannotated protein
KU878088_00076	CDS	435				unannotated protein
KU878088_00077	CDS	423				unannotated protein
KU878088_00078	CDS	1272				unannotated protein
KU878088_00079	CDS	825				unannotated protein
KU878088_00080	CDS	234				unannotated protein
KU878088_00081	CDS	1005				unannotated protein
KU878088_00082	CDS	951				unannotated protein
KU878088_00083	CDS	402				unannotated protein
KU878088_00084	CDS	1647				unannotated protein
KU878088_00085	CDS	333				unannotated protein
KU878088_00086	CDS	258				unannotated protein
KU878088_00087	CDS	1266				unannotated protein
KU878088_00088	CDS	393				unannotated protein
KU878088_00089	CDS	147				unannotated protein
KU878088_00090	CDS	453				unannotated protein
KU878088_00091	CDS	1998				unannotated protein
KU878088_00092	CDS	186				unannotated protein
KU878088_00093	CDS	408				unannotated protein
KU878088_00094	CDS	165				unannotated protein
KU878088_00095	CDS	237				unannotated protein
KU878088_00096	CDS	282				unannotated protein
KU878088_00097	CDS	2046				unannotated protein
KU878088_00098	CDS	807				unannotated protein
KU878088_00099	CDS	204				unannotated protein
KU878088_00100	CDS	147				unannotated protein
KU878088_00101	CDS	537				unannotated protein
KU878088_00102	CDS	804				unannotated protein
KU878088_00103	CDS	138				unannotated protein
KU878088_00104	CDS	246				unannotated protein
KU878088_00105	CDS	297				unannotated protein
KU878088_00106	CDS	255				unannotated protein
KU878088_00107	CDS	1491				unannotated protein
KU878088_00108	CDS	219				unannotated protein
KU878088_00109	CDS	396				unannotated protein
KU878088_00110	CDS	345				unannotated protein
KU878088_00111	CDS	327				unannotated protein
KU878088_00112	CDS	711				unannotated protein
KU878088_00113	CDS	297				unannotated protein
KU878088_00114	CDS	693				unannotated protein
KU878088_00115	CDS	198				unannotated protein
KU878088_00116	CDS	561				unannotated protein
KU878088_00117	CDS	273				unannotated protein
KU878088_00118	CDS	459				unannotated protein
KU878088_00119	CDS	642				unannotated protein
KU878088_00120	CDS	1596				unannotated protein
KU878088_00121	CDS	972				unannotated protein
KU878088_00122	CDS	189				unannotated protein
KU878088_00123	CDS	714				unannotated protein
KU878088_00124	CDS	606				unannotated protein
KU878088_00125	CDS	1215				unannotated protein
KU878088_00126	CDS	771				unannotated protein
KU878088_00127	CDS	711				unannotated protein
KU878088_00128	CDS	747				unannotated protein
KU878088_00129	CDS	2964				unannotated protein
KU878088_00130	CDS	798				unannotated protein
KU878088_00131	CDS	2196				unannotated protein
KU878088_00132	CDS	717				unannotated protein
KU878088_00133	CDS	237				unannotated protein
KU878088_00134	CDS	594				unannotated protein
KU878088_00135	CDS	1665				unannotated protein
KU878088_00136	CDS	255				unannotated protein
KU878088_00137	CDS	381				unannotated protein
KU878088_00138	CDS	255				unannotated protein
KU878088_00139	CDS	471				unannotated protein
KU878088_00140	CDS	501				unannotated protein
KU878088_00141	CDS	2736				unannotated protein
KU878088_00142	CDS	420				unannotated protein
KU878088_00143	CDS	144				unannotated protein
KU878088_00144	CDS	687				unannotated protein
KU878088_00145	CDS	774				unannotated protein
KU878088_00146	CDS	180				unannotated protein
KU878088_00147	CDS	165				unannotated protein
KU878088_00148	CDS	1485				unannotated protein
KU878088_00149	CDS	909				unannotated protein
KU878088_00150	CDS	1173				unannotated protein
KU878088_00151	CDS	264				unannotated protein
KU878088_00152	CDS	462				unannotated protein
KU878088_00153	CDS	222				unannotated protein
KU878088_00154	CDS	726				unannotated protein
KU878088_00155	CDS	1926				unannotated protein
KU878088_00156	CDS	300				unannotated protein
KU878088_00157	CDS	1896				unannotated protein
KU878088_00158	CDS	591				unannotated protein
KU878088_00159	CDS	1434				unannotated protein
KU878088_00160	CDS	891				unannotated protein
KU878088_00161	CDS	558				unannotated protein
KU878088_00162	CDS	171				unannotated protein
KU878088_00163	CDS	288				unannotated protein
KU878088_00164	CDS	1026				unannotated protein
KU878088_00165	CDS	339				unannotated protein
KU878088_00166	CDS	519				unannotated protein
KU878088_00167	CDS	600				unannotated protein
KU878088_00168	CDS	1188				unannotated protein
KU878088_00169	CDS	810				unannotated protein
KU878088_00170	CDS	216				unannotated protein
KU878088_00171	CDS	330				unannotated protein
KU878088_00172	CDS	924				unannotated protein
KU878088_00173	CDS	351				unannotated protein
KU878088_00174	CDS	360				unannotated protein
KU878088_00175	CDS	291				unannotated protein
