hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
OGDKMA_00040	MZ333456	8	208	Menshen__NsnC_2525400098	9.000e-05	14.100	0.412	0.486	37	137
OGDKMA_00255	MZ333456	51	286	DISARM_2__drmMII	1.900e-35	114.500	0.531	0.629	7	186
OGDKMA_00255	MZ333456	51	286	Druantia_II__DruM	2.800e-50	163.500	0.837	0.993	2	285
OGDKMA_00255	MZ333456	51	286	RM_Type_II__Type_II_MTases	7.100e-10	30.300	0.503	0.545	6	161
OGDKMA_00255	MZ333456	51	286	RM_Type_II__Type_II_MTases	1.500e-23	75.200	0.508	0.594	4	173
OGDKMA_00255	MZ333456	51	286	RM_Type_II__Type_II_MTases	5.000e-32	103.500	0.511	0.608	7	180
OGDKMA_00255	MZ333456	51	286	RM_Type_II__Type_II_MTases	5.200e-47	152.500	0.828	0.972	7	284
OGDKMA_00260	MZ333456	52	249	RM_Type_II__Type_II_MTases	6.300e-21	66.600	0.672	0.956	3	240
OGDKMA_00260	MZ333456	52	249	RM_Type_II__Type_II_MTases	1.100e-39	128.400	0.680	0.984	2	246
OGDKMA_00260	MZ333456	52	249	RM_Type_II__Type_II_MTases	1.600e-51	167.300	0.678	0.984	2	246
