DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Type Annotation
COLOR,#ff0000

LEGEND_TITLE,Types
LEGEND_SHAPES,1,1,1,1,1,1,1
LEGEND_COLORS,#FF0000,#0000FF,#00FF00,#FFA500,#800080,#808080,#00FFFF
LEGEND_LABELS,gii,crispr,g2l,retron,DGR,Unknown,abi

DATA
sequence_id,#808080,file_name_no_ext
fig|670897.3.peg.2382/34-241,#FFA500,retron
fig|1423.436.peg.4365/46-236,#FFA500,retron
fig|1869214.4.peg.3809/33-239,#FFA500,retron
fig|1428.517.peg.2380/52-247,#FFA500,retron
fig|1690502.3.peg.467/62-267,#FFA500,retron
fig|869692.4.peg.2910/108-322,#FFA500,retron
WP_050516365.1/62-268,#FFA500,retron
fig|1396.1518.peg.4860/50-237,#FFA500,retron
fig|1650662.3.peg.4790/73-263,#FFA500,retron
fig|1232453.3.peg.2795/52-249,#FFA500,retron
fig|1605367.3.peg.1136/34-227,#FFA500,retron
WP_072832325.1/44-232,#FFA500,retron
fig|1029989.3.peg.5037/34-239,#FFA500,retron
SCI88558.1/44-237,#FFA500,retron
fig|1238430.3.peg.1911/33-239,#FFA500,retron
fig|720554.3.peg.188/55-249,#FFA500,retron
fig|1263833.3.peg.2872/59-264,#FFA500,retron
fig|573.10028.peg.542/59-272,#FFA500,retron
fig|1122203.4.peg.2283/39-230,#FFA500,retron
fig|1977087.12.peg.1756/216-419,#FFA500,retron
PIE57287.1/67-273,#0000FF,crispr
fig|1913989.202.peg.530/373-579,#0000FF,crispr
fig|65393.13.peg.5986/68-274,#0000FF,crispr
fig|1729650.4.peg.4513/85-291,#0000FF,crispr
fig|1809277.3.peg.3395/68-283,#0000FF,crispr
PPD32300.1/78-284,#0000FF,crispr
WP_028490526.1/66-269,#0000FF,crispr
WP_013659858.1/375-581,#0000FF,crispr
fig|1173022.3.peg.668/86-292,#0000FF,crispr
fig|1594576.4.peg.6931/68-274,#0000FF,crispr
