locus_tag	ftype	length_bp	gene	EC_number	COG	product
LC680884_00001	CDS	426				unannotated protein
LC680884_00002	CDS	1197				unannotated protein
LC680884_00003	CDS	117				unannotated protein
LC680884_00004	CDS	333				unannotated protein
LC680884_00005	CDS	1689				unannotated protein
LC680884_00006	CDS	825				unannotated protein
LC680884_00007	CDS	1386				unannotated protein
LC680884_00008	CDS	1038				unannotated protein
LC680884_00009	CDS	420				unannotated protein
LC680884_00010	CDS	2097				unannotated protein
LC680884_00011	CDS	1050				unannotated protein
LC680884_00012	CDS	531				unannotated protein
LC680884_00013	CDS	1134				unannotated protein
LC680884_00014	CDS	183				unannotated protein
LC680884_00015	CDS	1191				unannotated protein
LC680884_00016	CDS	891				unannotated protein
LC680884_00017	CDS	1119				unannotated protein
LC680884_00018	CDS	1035				unannotated protein
LC680884_00019	CDS	1263				unannotated protein
LC680884_00020	CDS	933				unannotated protein
LC680884_00021	CDS	2715				unannotated protein
LC680884_00022	CDS	831				unannotated protein
LC680884_00023	CDS	420				unannotated protein
LC680884_00024	CDS	507				unannotated protein
LC680884_00025	CDS	600				unannotated protein
LC680884_00026	CDS	390				unannotated protein
LC680884_00027	CDS	1029				unannotated protein
LC680884_00028	CDS	5778				unannotated protein
LC680884_00029	CDS	402				unannotated protein
LC680884_00030	CDS	357				unannotated protein
LC680884_00031	CDS	951				unannotated protein
LC680884_00032	CDS	498				unannotated protein
LC680884_00033	CDS	768				unannotated protein
LC680884_00034	CDS	354				unannotated protein
LC680884_00035	CDS	480				unannotated protein
LC680884_00036	CDS	879				unannotated protein
LC680884_00037	CDS	1773				unannotated protein
LC680884_00038	CDS	1173				unannotated protein
LC680884_00039	CDS	378				unannotated protein
LC680884_00040	CDS	1962				unannotated protein
LC680884_00041	CDS	582				unannotated protein
LC680884_00042	CDS	261				unannotated protein
LC680884_00043	CDS	2799				unannotated protein
LC680884_00044	CDS	678				unannotated protein
LC680884_00045	CDS	1047				unannotated protein
LC680884_00046	CDS	1755				unannotated protein
LC680884_00047	CDS	144				unannotated protein
LC680884_00048	CDS	516				unannotated protein
LC680884_00049	CDS	195				unannotated protein
LC680884_00050	CDS	369				unannotated protein
LC680884_00051	CDS	309				unannotated protein
LC680884_00052	CDS	225				unannotated protein
LC680884_00053	CDS	807				unannotated protein
LC680884_00054	CDS	153				unannotated protein
LC680884_00055	CDS	174				unannotated protein
LC680884_00056	CDS	309				unannotated protein
LC680884_00057	CDS	495				unannotated protein
LC680884_00058	CDS	129				unannotated protein
LC680884_00059	CDS	534				unannotated protein
LC680884_00060	CDS	414				unannotated protein
LC680884_00061	CDS	465				unannotated protein
LC680884_00062	CDS	153				unannotated protein
LC680884_00063	CDS	291				unannotated protein
LC680884_00064	CDS	360				unannotated protein
LC680884_00065	CDS	351				unannotated protein
LC680884_00066	CDS	924				unannotated protein
LC680884_00067	CDS	330				unannotated protein
LC680884_00068	CDS	216				unannotated protein
LC680884_00069	CDS	810				unannotated protein
LC680884_00070	CDS	1188				unannotated protein
LC680884_00071	CDS	597				unannotated protein
LC680884_00072	CDS	459				unannotated protein
LC680884_00073	CDS	339				unannotated protein
LC680884_00074	CDS	1026				unannotated protein
LC680884_00075	CDS	288				unannotated protein
LC680884_00076	CDS	171				unannotated protein
LC680884_00077	CDS	558				unannotated protein
LC680884_00078	CDS	891				unannotated protein
LC680884_00079	CDS	1434				unannotated protein
LC680884_00080	CDS	591				unannotated protein
LC680884_00081	CDS	1896				unannotated protein
LC680884_00082	CDS	300				unannotated protein
LC680884_00083	CDS	1926				unannotated protein
LC680884_00084	CDS	726				unannotated protein
LC680884_00085	CDS	222				unannotated protein
LC680884_00086	CDS	462				unannotated protein
LC680884_00087	CDS	264				unannotated protein
LC680884_00088	CDS	1173				unannotated protein
LC680884_00089	CDS	909				unannotated protein
LC680884_00090	CDS	1485				unannotated protein
LC680884_00091	CDS	165				unannotated protein
LC680884_00092	CDS	180				unannotated protein
LC680884_00093	CDS	774				unannotated protein
LC680884_00094	CDS	687				unannotated protein
LC680884_00095	CDS	144				unannotated protein
LC680884_00096	CDS	420				unannotated protein
LC680884_00097	CDS	2736				unannotated protein
LC680884_00098	CDS	501				unannotated protein
LC680884_00099	CDS	471				unannotated protein
LC680884_00100	CDS	255				unannotated protein
LC680884_00101	CDS	381				unannotated protein
LC680884_00102	CDS	255				unannotated protein
LC680884_00103	CDS	1665				unannotated protein
LC680884_00104	CDS	594				unannotated protein
LC680884_00105	CDS	237				unannotated protein
LC680884_00106	CDS	717				unannotated protein
LC680884_00107	CDS	2196				unannotated protein
LC680884_00108	CDS	798				unannotated protein
LC680884_00109	CDS	2964				unannotated protein
LC680884_00110	CDS	747				unannotated protein
LC680884_00111	CDS	711				unannotated protein
LC680884_00112	CDS	771				unannotated protein
