hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
ALMCIJ_00675	MW248466	135	911	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.100e-06	21.000	0.614	0.431	486	878
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	2.800e-32	105.800	0.843	0.567	197	480
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	1.900e-32	106.600	0.808	0.515	198	455
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	8.500e-35	114.500	0.933	0.629	178	492
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	3.500e-36	118.900	0.872	0.583	198	489
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	6.600e-40	131.200	0.808	0.519	197	456
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	2.800e-32	105.800	0.843	0.567	197	480
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	1.900e-32	106.600	0.808	0.515	198	455
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	8.500e-35	114.500	0.933	0.629	178	492
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	3.500e-36	118.900	0.872	0.583	198	489
ALMCIJ_01025	MW248466	205	501	Retron__RT_Tot	6.600e-40	131.200	0.808	0.519	197	456
