#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1575	2042	-	OPIPON_00005	NA	4.4		
contig_1	2376	3119	+	OPIPON_00010	NA	9.4		
contig_1	3205	3771	+	OPIPON_00015	21.3	6.3		
contig_1	3768	4562	+	OPIPON_00020	NA	5.6		
contig_1	4646	5215	-	OPIPON_00025	21.6	4.4		
contig_1	5245	5406	-	OPIPON_00030	6.2	4.7	PF00383.26|dCMP_cyt_deam_1	PFAM:PF00383.26
contig_1	5378	5752	-	OPIPON_00035	14.1	8.8	PF00383.26|dCMP_cyt_deam_1	PFAM:PF00383.26
contig_1	5880	7070	-	OPIPON_00040	47.6	5.6		
contig_1	7099	7503	-	OPIPON_00045	15.3	9.2	PF09967.12|DUF2201	PFAM:PF09967.12
contig_1	7513	7833	-	OPIPON_00050	12.3	10.4		
contig_1	7835	8257	-	OPIPON_00055	15.6	4.2		
contig_1	8254	8658	-	OPIPON_00060	15.8	6.4		
contig_1	8642	9163	-	OPIPON_00065	20.3	9.1		
contig_1	9216	9548	-	OPIPON_00070	12.9	4.1		
contig_1	9846	9950	-	OPIPON_00075	3.4	5.4		
contig_1	10099	10665	-	OPIPON_00080	21.9	7.8	PF00075.27|RNase_H	PFAM:PF00075.27
contig_1	10792	11541	+	OPIPON_00085	29.1	5.1		
contig_1	11595	12506	-	OPIPON_00090	35.0	4.4		
contig_1	12647	12865	-	OPIPON_00095	8.8	9.3		
contig_1	12993	13133	+	OPIPON_00100	5.1	10.0		
contig_1	13315	13584	-	OPIPON_00105	10.7	4.7		
contig_1	13615	14028	-	OPIPON_00110	16.4	4.8		
contig_1	14181	14687	+	OPIPON_00115	20.2	7.0		
contig_1	14760	15764	-	OPIPON_00120	40.1	8.5		
contig_1	15761	16696	-	OPIPON_00125	37.2	8.4		
contig_1	16720	17724	-	OPIPON_00130	39.4	9.3		
contig_1	17739	18212	-	OPIPON_00135	18.4	5.8		
contig_1	18265	18576	-	OPIPON_00140	12.1	9.5		
contig_1	18573	18893	-	OPIPON_00145	12.5	8.8		
contig_1	18918	19292	-	OPIPON_00150	14.9	5.2		
contig_1	19592	20458	-	OPIPON_00155	34.0	5.3		
contig_1	20483	21121	-	OPIPON_00160	26.1	6.3		
contig_1	21233	21544	-	OPIPON_00165	11.8	6.3		
contig_1	21637	22044	-	OPIPON_00170	16.0	9.1		
contig_1	22063	22896	-	OPIPON_00175	32.6	5.9		
contig_1	22919	23707	-	OPIPON_00180	31.4	5.1		
contig_1	23789	24967	-	OPIPON_00185	46.8	7.1		
contig_1	24993	25244	-	OPIPON_00190	9.8	4.5		
contig_1	25283	25492	-	OPIPON_00195	7.7	4.6		
contig_1	25534	25707	-	OPIPON_00200	6.6	10.2		
contig_1	25704	25838	-	OPIPON_00205	5.0	10.6		
contig_1	25966	26700	-	OPIPON_00210	28.5	4.6	PF00753.30|Lactamase_B, PF12706.10|Lactamase_B_2	PFAM:PF00753.30, PFAM:PF12706.10
contig_1	26943	28430	-	OPIPON_00215	59.0	6.0		
contig_1	28440	29045	-	OPIPON_00220	23.9	6.0		
contig_1	29149	29250	-	OPIPON_00225	3.8	10.0		
contig_1	29346	29978	-	OPIPON_00230	24.8	5.8		
contig_1	30077	30634	-	OPIPON_00235	22.3	4.8		
contig_1	30728	31075	-	OPIPON_00240	13.7	6.8		
contig_1	31898	32740	-	OPIPON_00245	34.9	5.3	PF00389.33|2-Hacid_dh	PFAM:PF00389.33
contig_1	32769	33458	-	OPIPON_00250	28.3	5.0		
contig_1	33484	34116	-	OPIPON_00255	25.8	4.8		
contig_1	34263	34964	-	OPIPON_00260	28.5	4.8		
contig_1	34992	35897	-	OPIPON_00265	36.9	5.3		
contig_1	35930	36976	-	OPIPON_00270	43.0	5.1		
contig_1	37127	37888	-	OPIPON_00275	30.9	4.8		
contig_1	38175	38546	-	OPIPON_00280	14.3	5.2		
contig_1	38546	39412	-	OPIPON_00285	34.0	8.3		
