uvig_id,UViG ID,Genome Name,Total Scaffolds,Lineage,Viral OTUs,geNomad Score,UViG Topology,UViG Source,Quality,Length,EstimatedCompleteness,Total CDS Count,Total tRNA Count,EstimatedContamination,UViG Origin,Ecosystem,Predicted Host Lineage,Host Detection Method
IMGVR_UViG_2013338002_000016,IMGVR_UViG_2013338002_000016,"Macropus eugenii forestomach microbial communities from Canberra, Australia - Macropus_eugenii_Sept07",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00678878,0.93,Direct terminal repeat,Metagenome,Low,11581,7.79,14,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2049941000_000851,IMGVR_UViG_2049941000_000851,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - 900 MB Assembly",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08602243,0.85,Provirus,Metagenome,High,141198,100,164,4,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2049941000_000860,IMGVR_UViG_2049941000_000860,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - 900 MB Assembly",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08602249,0.82,Provirus,Metagenome,High,89814,100,104,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2051223006_000041,IMGVR_UViG_2051223006_000041,"Human fecal microbial communities from Orebro University Hospital, Sweden - Sample 10374",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00681519,0.8,Linear,Metagenome,Low,15842,29.41,16,0,0,geNomad v1.1.0,Host-associated; Mammals: Human; Digestive system; Large intestine,;,
IMGVR_UViG_2061766007_000417,IMGVR_UViG_2061766007_000417,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00685031,0.98,Linear,Metagenome,Medium,22796,54.33,39,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_000764,IMGVR_UViG_2061766007_000764,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00614552,0.98,Linear,Metagenome,Low,16575,5.63,29,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_000843,IMGVR_UViG_2061766007_000843,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00683198,0.98,Linear,Metagenome,Low,13967,28.35,19,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__UBA1213;,k-mer match
IMGVR_UViG_2061766007_001957,IMGVR_UViG_2061766007_001957,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00684706,0.95,Linear,Metagenome,Low,4619,6.21,7,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__RUG592;,k-mer match
IMGVR_UViG_2061766007_002469,IMGVR_UViG_2061766007_002469,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00684975,0.91,Linear,Metagenome,Low,8588,11.8,19,0,33.14,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae;,k-mer match
IMGVR_UViG_2061766007_002511,IMGVR_UViG_2061766007_002511,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00685077,0.91,Linear,Metagenome,Low,9925,11.53,18,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_003563,IMGVR_UViG_2061766007_003563,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00683085,0.84,Linear,Metagenome,Low,4028,9.05,8,0,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_003626,IMGVR_UViG_2061766007_003626,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_00682088,0.82,Linear,Metagenome,Low,96271,44.69,78,15,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
IMGVR_UViG_2061766007_004147,IMGVR_UViG_2061766007_004147,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",1,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ;,vOTU_08595101,0.89,Provirus,Metagenome,Medium,87428,89.07,106,1,0,geNomad v1.1.0,Host-associated; Mammals; Digestive system; Stomach,;,
