hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	1.100e-31	104.100	0.782	0.502	198	448
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	7.200e-33	107.800	0.811	0.548	196	469
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	8.300e-36	117.800	0.946	0.638	173	491
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	3.800e-36	118.800	0.872	0.592	193	488
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	2.100e-39	129.600	0.804	0.518	195	453
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	1.100e-31	104.100	0.782	0.502	198	448
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	7.200e-33	107.800	0.811	0.548	196	469
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	8.300e-36	117.800	0.946	0.638	173	491
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	3.800e-36	118.800	0.872	0.592	193	488
JCCBMO_00075	MN091626	15	500	Retron__RT_Tot	2.100e-39	129.600	0.804	0.518	195	453
