#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	390	539	-	IKAEJK_00005	6.1	8.5		
contig_1	7186	7455	+	IKAEJK_00045	10.4	5.2		RefSeq:WP_006640590.1, SO:0001217, UniParc:UPI0002B9725B, UniRef:UniRef100_M5NWK5, UniRef:UniRef50_A0A5J6T6A9, UniRef:UniRef90_A0A109WGE9
contig_1	7489	7692	+	IKAEJK_00050	7.8	6.6		RefSeq:WP_041336989.1, SO:0001217, UniParc:UPI00059E63E1, UniRef:UniRef100_UPI00059E63E1, UniRef:UniRef50_UPI00178C9672, UniRef:UniRef90_UPI00178C9672
contig_1	13028	13420	+	IKAEJK_00125	15.3	9.8		
contig_1	15907	16104	+	IKAEJK_00155	7.8	7.8		SO:0001217, UniParc:UPI0007724D94, UniRef:UniRef100_A0A7G9US61, UniRef:UniRef50_I2C5N9, UniRef:UniRef90_A0A7G9US61
contig_1	24764	24958	+	IKAEJK_00235	7.4	6.5		SO:0001217, UniRef:UniRef50_UPI00202A80E4, UniRef:UniRef90_UPI001B9D122E
contig_1	25009	25401	+	IKAEJK_00240	15.5	8.7		
contig_1	26389	27006	+	IKAEJK_00255	24.5	5.1		RefSeq:WP_041335826.1, SO:0001217, UniParc:UPI00059D0EB5, UniRef:UniRef100_UPI00059D0EB5, UniRef:UniRef50_UPI001E65350E, UniRef:UniRef90_UPI0009880753
contig_1	27081	27281	+	IKAEJK_00260	7.9	9.2		RefSeq:WP_041335823.1, SO:0001217, UniParc:UPI00059CF98F, UniRef:UniRef100_UPI001293FF34, UniRef:UniRef50_UPI001293FF34, UniRef:UniRef90_UPI001293FF34
contig_1	27700	28182	+	IKAEJK_00275	19.1	8.4		
contig_1	28533	28634	+	IKAEJK_00285	3.9	4.9		
contig_1	29288	29548	+	IKAEJK_00295	9.8	4.1		RefSeq:WP_041054535.1, SO:0001217, UniParc:UPI000597D467, UniRef:UniRef100_UPI000597D467, UniRef:UniRef50_UPI0002DE1A0B, UniRef:UniRef90_UPI00081D1BA4
contig_1	38618	39088	+	IKAEJK_00370	18.7	9.5		RefSeq:WP_041338498.1, SO:0001217, UniParc:UPI00059BF468, UniRef:UniRef100_UPI00059BF468, UniRef:UniRef50_UPI000DE5C1BB, UniRef:UniRef90_UPI000DE5C1BB
contig_1	49727	49987	+	IKAEJK_00425	10.2	9.7		
contig_1	58715	58897	-	IKAEJK_00510	7.1	5.6		
contig_1	62523	62651	+	IKAEJK_00550	5.0	6.0		
contig_1	70492	70710	+	IKAEJK_00625	8.1	5.1		
contig_1	71187	71471	-	IKAEJK_00640	10.7	9.1		
contig_1	93836	94147	-	IKAEJK_00775	12.1	5.1		
