intronID,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target
IMGVR_UViG_2013338002_000016|2013338002|MeugFWYF_C1926_II_7017,IMGVR_UViG_2013338002_000016|2013338002|MeugFWYF_C1926,-,collapsed_g2,RF00029,cm,1,93,7017,9668,+,no,1,0.52,0.0,52.5,0.0001,!,-
IMGVR_UViG_2049941000_000851|2049941000|900MB_Assembly_NODE_1028211_len_221071_cov_3_932348|5864-147061_II_84282,IMGVR_UViG_2049941000_000851|2049941000|900MB_Assembly_NODE_1028211_len_221071_cov_3_932348|5864-147061,-,Intron_gpII,RF00029,cm,1,93,84282,84162,-,no,1,0.50,0.0,53.6,5.3e-05,!,-
IMGVR_UViG_2049941000_000860|2049941000|900MB_Assembly_NODE_29972_len_476223_cov_3_038222|374565-464378_II_51469,IMGVR_UViG_2049941000_000860|2049941000|900MB_Assembly_NODE_29972_len_476223_cov_3_038222|374565-464378,-,group-II-D1D4-5,RF02004,cm,1,201,51469,51640,+,no,1,0.52,0.0,41.6,0.0086,!,-
IMGVR_UViG_2051223006_000041|2051223006|mhc6a_MHC6A_contig34076_II_12050,IMGVR_UViG_2051223006_000041|2051223006|mhc6a_MHC6A_contig34076,-,collapsed_g2,RF00029,cm,1,93,12050,12658,+,no,1,0.50,0.0,44.8,0.0079,!,-
IMGVR_UViG_2061766007_000417|2061766007|rumenHiSeq_NODE_354762_len_22746_cov_1_644245_II_20272,IMGVR_UViG_2061766007_000417|2061766007|rumenHiSeq_NODE_354762_len_22746_cov_1_644245,-,collapsed_g2,RF00029,cm,1,93,20272,22132,+,no,1,0.50,0.0,49.8,0.00045,!,-
IMGVR_UViG_2061766007_000764|2061766007|rumenHiSeq_NODE_4193526_len_16525_cov_0_720061_II_10457,IMGVR_UViG_2061766007_000764|2061766007|rumenHiSeq_NODE_4193526_len_16525_cov_0_720061,-,Intron_gpII,RF00029,cm,1,93,10457,10527,+,no,1,0.46,0.0,58.6,3.1e-06,!,-
IMGVR_UViG_2061766007_000843|2061766007|rumenHiSeq_NODE_4363527_len_13917_cov_1_318891_II_8618,IMGVR_UViG_2061766007_000843|2061766007|rumenHiSeq_NODE_4363527_len_13917_cov_1_318891,-,collapsed_g2,RF00029,cm,1,93,8618,11359,+,no,1,0.48,0.0,48.6,0.0009,!,-
IMGVR_UViG_2061766007_001957|2061766007|rumenHiSeq_NODE_4378347_len_4569_cov_1_595097_II_3700,IMGVR_UViG_2061766007_001957|2061766007|rumenHiSeq_NODE_4378347_len_4569_cov_1_595097,-,Intron_gpII,RF00029,cm,1,93,3700,3796,+,no,1,0.44,0.0,63.7,1.8e-07,!,-
IMGVR_UViG_2061766007_002469|2061766007|rumenHiSeq_NODE_4004771_len_8538_cov_1_738346_II_4124,IMGVR_UViG_2061766007_002469|2061766007|rumenHiSeq_NODE_4004771_len_8538_cov_1_738346,-,Intron_gpII,RF00029,cm,1,93,4124,4220,+,no,1,0.55,0.0,51.2,0.0002,!,-
IMGVR_UViG_2061766007_002511|2061766007|rumenHiSeq_NODE_4131379_len_9875_cov_1_571443_II_3747,IMGVR_UViG_2061766007_002511|2061766007|rumenHiSeq_NODE_4131379_len_9875_cov_1_571443,-,group-II-D1D4-5,RF02004,cm,1,201,3747,3940,+,no,1,0.49,0.0,180.0,3.2e-38,!,-
IMGVR_UViG_2061766007_002543|2061766007|rumenHiSeq_NODE_575591_len_17535_cov_11_325235_II_11409,IMGVR_UViG_2061766007_002543|2061766007|rumenHiSeq_NODE_575591_len_17535_cov_11_325235,-,group-II-D1D4-1,RF01998,cm,1,84,11409,11472,+,no,1,0.56,0.0,53.4,0.00036,!,-
IMGVR_UViG_2061766007_002654|2061766007|rumenHiSeq_NODE_203564_len_6247_cov_0_895470_II_3582,IMGVR_UViG_2061766007_002654|2061766007|rumenHiSeq_NODE_203564_len_6247_cov_0_895470,-,group-II-D1D4-3,RF02001,cm,23,171,3582,3731,+,no,1,0.45,0.0,95.3,1.8e-15,!,-
IMGVR_UViG_2061766007_003563|2061766007|rumenHiSeq_NODE_2381432_len_3978_cov_1_655606_II_936,IMGVR_UViG_2061766007_003563|2061766007|rumenHiSeq_NODE_2381432_len_3978_cov_1_655606,-,Intron_gpII,RF00029,cm,1,93,936,840,-,no,1,0.56,0.0,53.1,6.8e-05,!,-
IMGVR_UViG_2061766007_003626|2061766007|rumenHiSeq_NODE_3811888_len_96221_cov_1_746022_II_82824,IMGVR_UViG_2061766007_003626|2061766007|rumenHiSeq_NODE_3811888_len_96221_cov_1_746022,-,collapsed_g2,RF00029,cm,1,93,82824,83349,-,no,1,0.49,0.0,57.5,5.8e-06,!,-
IMGVR_UViG_2061766007_004147|2061766007|rumenHiSeq_NODE_4018522_len_425368_cov_4_472645|332329-419756_II_45113,IMGVR_UViG_2061766007_004147|2061766007|rumenHiSeq_NODE_4018522_len_425368_cov_4_472645|332329-419756,-,Intron_gpII,RF00029,cm,1,93,45113,45017,-,no,1,0.58,0.0,53.4,5.8e-05,!,-
IMGVR_UViG_2061766007_004164|2061766007|rumenHiSeq_NODE_3811888_len_96221_cov_1_746022|327-85679_II_82498,IMGVR_UViG_2061766007_004164|2061766007|rumenHiSeq_NODE_3811888_len_96221_cov_1_746022|327-85679,-,collapsed_g2,RF00029,cm,1,93,82498,83023,-,no,1,0.49,0.0,57.5,5.8e-06,!,-
IMGVR_UViG_2061766007_004184|2061766007|rumenHiSeq_NODE_2445301_len_77336_cov_2_483979|37018-77386_II_39703,IMGVR_UViG_2061766007_004184|2061766007|rumenHiSeq_NODE_2445301_len_77336_cov_2_483979|37018-77386,-,Intron_gpII,RF00029,cm,1,93,39703,39799,+,no,1,0.61,0.0,53.7,5.1e-05,!,-
IMGVR_UViG_2061766007_004187|2061766007|rumenHiSeq_NODE_835816_len_57920_cov_4_885981|14193-57969_II_20560,IMGVR_UViG_2061766007_004187|2061766007|rumenHiSeq_NODE_835816_len_57920_cov_4_885981|14193-57969,-,collapsed_g2,RF00029,cm,1,93,20560,23187,+,no,1,0.50,0.0,53.6,5.3e-05,!,-
IMGVR_UViG_2061766007_004283|2061766007|rumenHiSeq_NODE_3675726_len_135790_cov_2_086582|3-51799_II_20124,IMGVR_UViG_2061766007_004283|2061766007|rumenHiSeq_NODE_3675726_len_135790_cov_2_086582|3-51799,-,Intron_gpII,RF00029,cm,1,93,20124,20221,+,no,1,0.56,0.0,46.4,0.0032,!,-
IMGVR_UViG_2065487002_000008|2065487002|mockstg_il_velvet_contig_39185_II_3624,IMGVR_UViG_2065487002_000008|2065487002|mockstg_il_velvet_contig_39185,-,collapsed_g2,RF00029,cm,1,93,3624,5362,-,no,1,0.51,0.0,52.5,9.6e-05,!,-
IMGVR_UViG_2065487003_000011|2065487003|mockstg_il_soap_contig_90387_II_207,IMGVR_UViG_2065487003_000011|2065487003|mockstg_il_soap_contig_90387,-,collapsed_g2,RF00029,cm,1,93,207,2202,+,no,1,0.51,0.0,52.5,9.6e-05,!,-
IMGVR_UViG_2065487005_000002|2065487005|mockstg_il_ca_ctg120028279751_II_1660,IMGVR_UViG_2065487005_000002|2065487005|mockstg_il_ca_ctg120028279751,-,Intron_gpII,RF00029,cm,1,93,1660,1741,+,no,1,0.51,0.0,52.5,9.6e-05,!,-
IMGVR_UViG_2084038002_000028|2084038002|EBI1_NODE_14826_len_19032_cov_19_254150_II_1370,IMGVR_UViG_2084038002_000028|2084038002|EBI1_NODE_14826_len_19032_cov_19_254150,-,collapsed_g2,RF01998,cm,1,84,1370,1666,+,no,1,0.44,0.0,48.8,0.0041,!,-
IMGVR_UViG_2124908011_000131|2124908011|s300_5936820_II_5867,IMGVR_UViG_2124908011_000131|2124908011|s300_5936820,-,group-II-D1D4-3,RF02001,cm,1,171,5867,5696,-,no,1,0.45,0.0,141.0,1.1e-26,!,-
IMGVR_UViG_2140918008_000133|2140918008|ConsensusfromContig203193_II_348,IMGVR_UViG_2140918008_000133|2140918008|ConsensusfromContig203193,-,collapsed_g2,RF02003,cm,1,138,348,611,+,no,1,0.64,1.0,90.0,8.6e-15,!,-
IMGVR_UViG_2140918025_000079|2140918025|NODE_520905_length_4655_cov_32.782169_II_4486,IMGVR_UViG_2140918025_000079|2140918025|NODE_520905_length_4655_cov_32.782169,-,group-II-D1D4-2,RF01999,cm,1,118,4486,4369,-,no,1,0.57,0.0,72.2,1.5e-09,!,-
IMGVR_UViG_2149837022_000181|2149837022|STU__NODE_7180_len_15090_cov_16_943075_II_10069,IMGVR_UViG_2149837022_000181|2149837022|STU__NODE_7180_len_15090_cov_16_943075,-,Intron_gpII,RF00029,cm,1,93,10069,9972,-,no,1,0.50,0.0,63.8,1.7e-07,!,-
IMGVR_UViG_2149837022_000199|2149837022|STU__NODE_629_len_6402_cov_12_196970_II_5404,IMGVR_UViG_2149837022_000199|2149837022|STU__NODE_629_len_6402_cov_12_196970,-,collapsed_g2,RF00029,cm,1,93,5404,5846,-,no,1,0.54,0.0,52.8,8.5e-05,!,-
IMGVR_UViG_2149837023_000078|2149837023|STU__NODE_5188_len_18748_cov_26_943727_II_13595,IMGVR_UViG_2149837023_000078|2149837023|STU__NODE_5188_len_18748_cov_26_943727,-,Intron_gpII,RF00029,cm,1,93,13595,13715,+,no,1,0.55,0.0,49.9,0.00042,!,-
IMGVR_UViG_2149837023_000086|2149837023|STU__NODE_3519_len_5289_cov_122_175461_II_5315,IMGVR_UViG_2149837023_000086|2149837023|STU__NODE_3519_len_5289_cov_122_175461,-,Intron_gpII,RF00029,cm,1,93,5315,5239,-,no,1,0.53,0.0,61.6,5.6e-07,!,-
IMGVR_UViG_2149837024_000112|2149837024|STU__NODE_1794_len_10916_cov_568_307983_II_1206,IMGVR_UViG_2149837024_000112|2149837024|STU__NODE_1794_len_10916_cov_568_307983,-,group-II-D1D4-3,RF02001,cm,1,171,1206,1053,-,no,1,0.44,0.0,68.0,9.1e-09,!,-
IMGVR_UViG_2199352008_000234|2199352008|2200191195_II_5109,IMGVR_UViG_2199352008_000234|2199352008|2200191195,-,Intron_gpII,RF00029,cm,1,93,5109,4995,-,no,1,0.52,0.0,63.2,2.3e-07,!,-
IMGVR_UViG_2199352026_000034|2199352026|rumenmetagenome__Contig_11127_II_24735,IMGVR_UViG_2199352026_000034|2199352026|rumenmetagenome__Contig_11127,-,collapsed_g2,RF00029,cm,1,93,24735,27148,-,no,1,0.53,0.0,57.9,4.8e-06,!,-
