locus_tag	ftype	length_bp	gene	EC_number	COG	product
OQ555808_00001	CDS	129				unannotated protein
OQ555808_00002	CDS	186				unannotated protein
OQ555808_00003	CDS	255				unannotated protein
OQ555808_00004	CDS	228				unannotated protein
OQ555808_00005	tRNA	74				tRNA-Trp(cca)
OQ555808_00006	CDS	204				unannotated protein
OQ555808_00007	CDS	228				unannotated protein
OQ555808_00008	CDS	1422				unannotated protein
OQ555808_00009	CDS	1569				unannotated protein
OQ555808_00010	CDS	2571				unannotated protein
OQ555808_00011	CDS	189				unannotated protein
OQ555808_00012	CDS	543				unannotated protein
OQ555808_00013	CDS	933				unannotated protein
OQ555808_00014	CDS	381				unannotated protein
OQ555808_00015	CDS	354				unannotated protein
OQ555808_00016	CDS	282				unannotated protein
OQ555808_00017	CDS	420				unannotated protein
OQ555808_00018	CDS	612				unannotated protein
OQ555808_00019	CDS	447				unannotated protein
OQ555808_00020	CDS	228				unannotated protein
OQ555808_00021	CDS	3834				unannotated protein
OQ555808_00022	CDS	1137				unannotated protein
OQ555808_00023	CDS	1767				unannotated protein
OQ555808_00024	CDS	477				unannotated protein
OQ555808_00025	CDS	1083				unannotated protein
OQ555808_00026	CDS	309				unannotated protein
OQ555808_00027	CDS	2433				unannotated protein
OQ555808_00028	CDS	1014				unannotated protein
OQ555808_00029	CDS	372				unannotated protein
OQ555808_00030	CDS	1656				unannotated protein
OQ555808_00031	CDS	861				unannotated protein
OQ555808_00032	CDS	441				unannotated protein
OQ555808_00033	CDS	339				unannotated protein
OQ555808_00034	CDS	273				unannotated protein
OQ555808_00035	CDS	1209				unannotated protein
OQ555808_00036	CDS	432				unannotated protein
OQ555808_00037	CDS	354				unannotated protein
OQ555808_00038	CDS	690				unannotated protein
OQ555808_00039	CDS	399				unannotated protein
OQ555808_00040	CDS	855				unannotated protein
OQ555808_00041	CDS	303				unannotated protein
OQ555808_00042	CDS	1089				unannotated protein
OQ555808_00043	CDS	840				unannotated protein
OQ555808_00044	CDS	378				unannotated protein
OQ555808_00045	CDS	267				unannotated protein
OQ555808_00046	CDS	342				unannotated protein
OQ555808_00047	CDS	168				unannotated protein
OQ555808_00048	CDS	213				unannotated protein
OQ555808_00049	CDS	792				unannotated protein
OQ555808_00050	CDS	264				unannotated protein
OQ555808_00051	CDS	945				unannotated protein
OQ555808_00052	CDS	171				unannotated protein
OQ555808_00053	CDS	351				unannotated protein
OQ555808_00054	CDS	381				unannotated protein
OQ555808_00055	CDS	279				unannotated protein
OQ555808_00056	CDS	195				unannotated protein
OQ555808_00057	CDS	555				unannotated protein
OQ555808_00058	CDS	267				unannotated protein
OQ555808_00059	CDS	321				unannotated protein
OQ555808_00060	CDS	165				unannotated protein
OQ555808_00061	CDS	888				unannotated protein
OQ555808_00062	CDS	201				unannotated protein
OQ555808_00063	CDS	480				unannotated protein
OQ555808_00064	CDS	120				unannotated protein
OQ555808_00065	CDS	510				unannotated protein
OQ555808_00066	CDS	246				unannotated protein
OQ555808_00067	CDS	372				unannotated protein
OQ555808_00068	CDS	2619				unannotated protein
OQ555808_00069	CDS	699				unannotated protein
OQ555808_00070	CDS	462				unannotated protein
OQ555808_00071	CDS	1113				unannotated protein
OQ555808_00072	CDS	234				unannotated protein
OQ555808_00073	CDS	273				unannotated protein
OQ555808_00074	CDS	186				unannotated protein
OQ555808_00075	CDS	255				unannotated protein
OQ555808_00076	CDS	279				unannotated protein
OQ555808_00077	CDS	132				unannotated protein
OQ555808_00078	CDS	894				unannotated protein
OQ555808_00079	CDS	375				unannotated protein
OQ555808_00080	CDS	318				unannotated protein
OQ555808_00081	CDS	177				unannotated protein
OQ555808_00082	CDS	153				unannotated protein
OQ555808_00083	CDS	1188				unannotated protein
OQ555808_00084	CDS	399				unannotated protein
OQ555808_00085	CDS	552				unannotated protein
OQ555808_00086	CDS	552				unannotated protein
OQ555808_00087	CDS	162				unannotated protein
OQ555808_00088	CDS	816				unannotated protein
OQ555808_00089	CDS	198				unannotated protein
OQ555808_00090	CDS	216				unannotated protein
OQ555808_00091	CDS	420				unannotated protein
OQ555808_00092	CDS	1338				unannotated protein
OQ555808_00093	CDS	231				unannotated protein
OQ555808_00094	CDS	186				unannotated protein
OQ555808_00095	CDS	303				unannotated protein
