gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
TNWEWLUF_CDS_0001	1071	1	-	MK448888	-855885009.0754004	1	157.0	0.294	3.6709999999999997e-44	p428256 VI_04636	1	267.103027	1.045373751762503e-78	No_custom_HMM	No_custom_HMM	No_custom_HMM	1	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0002	1597	1193	-	MK448888	-7379.151225843858	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	2700	79.463112	6.143107367148822e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	2700	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0003	2030	1650	-	MK448888	-2468.373875186924	87	63.0	0.318	6.223e-15	NC_028929_p34	87	114.924477	8.863986254817571e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	87	PHANOTATE_1.5.1	CDS	#838383	metallo-protease	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0004	2399	2037	-	MK448888	-948.0854022137028	18248	39.0	0.374	2.392e-06	NC_028854_p38	8	79.2687	7.285930997060124e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	18248	PHANOTATE_1.5.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0005	2548	2703	+	MK448888	-0.3573975796685339	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0006	2685	2849	+	MK448888	-335.0158545815961	6383	76.0	0.907	1.671e-21	p155039 VI_05272	6383	113.339447	8.700672355494439e-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	6383	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0007	3302	2832	-	MK448888	-267515.52590475825	7137	311.0	0.943	8.256e-101	p250857 VI_04968	7137	289.734924	1.0786559599359586e-86	No_custom_HMM	No_custom_HMM	No_custom_HMM	7137	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0008	3264	3572	+	MK448888	-246.60326415122296	1468	45.0	0.429	4.068e-10	p307668 VI_06058	1468	62.047836	5.915532313158406e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	1468	PHANOTATE_1.5.1	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0009	3575	4285	+	MK448888	-2665521.0801085355	463	214.0	0.485	4.098e-65	NC_007734_p32	463	313.183197	2.521209797209494e-93	No_custom_HMM	No_custom_HMM	No_custom_HMM	463	PHANOTATE_1.5.1	CDS	#a861e3	anti-repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TNWEWLUF_CDS_0010	4345	4629	+	MK448888	-122.48496686779022	668	72.0	0.453	4.629e-19	p164379 VI_04615	668	101.0028	1.2108595914003983e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	668	PHANOTATE_1.5.1	CDS	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
