gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
EWAKPAGN_CDS_0001	3	383	+	MN270259	-735.4676850094017	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0002	391	522	+	MN270259	-0.2357122903830674	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0003	814	539	-	MN270259	-23.175978097405864	1268	67.0	0.507	3.579e-14	p9287 VI_06867	1268	53.240749	4.157583242401826e-14	No_custom_HMM	No_custom_HMM	No_custom_HMM	1268	PHANOTATE_1.5.1	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0004	947	819	-	MN270259	-37.699900938776246	38371	102.0	1.0	5.632e-30	KC581799_p57	38371	104.713615	3.255815864559879e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	38371	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0005	1164	937	-	MN270259	-478.16604933310407	27023	174.0	1.0	2.05e-54	KC581799_p56	27023	167.751144	8.401595975401665e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	27023	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0006	1856	1167	-	MN270259	-749996.8390203728	6201	103.0	0.427	1.508e-28	p89843 VI_01594	4	151.543289	6.296338884023073e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	6201	PHANOTATE_1.5.1	CDS	#a861e3	CI-like repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0007	3042	1981	-	MN270259	-46709503061.40441	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0008	3069	4181	+	MN270259	-527096286.76308256	116	159.0	0.383	1.078e-45	p321505 VI_05690	116	280.689209	5.167105891404766e-83	No_custom_HMM	No_custom_HMM	No_custom_HMM	116	PHANOTATE_1.5.1	CDS	#838383	DNA methyltransferase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0009	5354	4305	-	MN270259	-638593463557.8713	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EWAKPAGN_CDS_0010	5335	5445	+	MN270259	-5.210969902283755	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
