# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	178	2721	+	CDEBLL_00005		Normocyte binding protein 2b	SO:0001217, UniRef:UniRef50_A0A7T8ESN5, UniRef:UniRef90_A0A7T7K7R8
contig_1	cds	2727	3563	+	CDEBLL_00010		Structural protein	SO:0001217, UniRef:UniRef50_A0A7T7K8N2, UniRef:UniRef90_A0A7T7K8N2
contig_1	cds	3605	3823	-	CDEBLL_00015		Phage protein	SO:0001217, UniParc:UPI001AF4649F, UniRef:UniRef100_A0A8B6MGN1, UniRef:UniRef50_A0A7S9SVJ2, UniRef:UniRef90_A0A7T7K7J3
contig_1	cds	3893	4561	+	CDEBLL_00020		PG-binding-1 domain-containing protein	SO:0001217, UniParc:UPI001AF67966, UniRef:UniRef100_A0A8B6MGN2, UniRef:UniRef50_A0A7S9XG71, UniRef:UniRef90_A0A7S9XG71
contig_1	cds	4579	5163	+	CDEBLL_00025		DUF4065 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7S9XHU7, UniRef:UniRef90_A0A8B6MGN3
contig_1	cds	5539	6252	-	CDEBLL_00030		ELMO domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7T7GSJ9, UniRef:UniRef90_A0A7T7GSJ9
contig_1	cds	6277	6912	-	CDEBLL_00035		hypothetical protein	
contig_1	cds	7062	7802	-	CDEBLL_00040		LAGLIDADG homing endonuclease	SO:0001217, UniRef:UniRef50_A0A7T7GSP1, UniRef:UniRef90_A0A7T7GSP1
contig_1	cds	8051	8290	-	CDEBLL_00045		hypothetical protein	
contig_1	cds	8400	9422	+	CDEBLL_00050		Viral A-type inclusion protein	SO:0001217, UniRef:UniRef50_A0A7S9XGU2, UniRef:UniRef90_A0A7T7GSL7
contig_1	cds	9400	10086	+	CDEBLL_00055		Merozoite surface protein 7	SO:0001217, UniRef:UniRef50_A0A7T8ET73, UniRef:UniRef90_A0A856LZT3
contig_1	cds	10265	11869	+	CDEBLL_00060		Major capsid protein	SO:0001217, UniRef:UniRef50_A0A8B6MGN6, UniRef:UniRef90_A0A8B6MGN6
contig_1	cds	11963	13117	+	CDEBLL_00065		EF-hand domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7T8IXB6, UniRef:UniRef90_A0A7T7GSK3
contig_1	cds	13143	15176	+	CDEBLL_00070		Terminase large subunit	SO:0001217, UniRef:UniRef50_A0A7S9SVB0
contig_1	cds	15355	16146	+	CDEBLL_00075		Structural protein	SO:0001217, UniRef:UniRef50_A0A7S9SVD6, UniRef:UniRef90_A0A7S9SVD6
contig_1	cds	16171	16917	+	CDEBLL_00080		Viral A-type inclusion protein	SO:0001217, UniParc:UPI001AF31B19, UniRef:UniRef100_A0A8B6MGP2, UniRef:UniRef50_A0A7S9SV16, UniRef:UniRef90_A0A8B6MGP2
contig_1	cds	16960	17199	+	CDEBLL_00085		Glutaredoxin-like protein	SO:0001217, UniParc:UPI001AFAFD4F, UniRef:UniRef100_A0A8B6MGP3, UniRef:UniRef50_A0A8B6MGP3, UniRef:UniRef90_A0A8B6MGP3
contig_1	cds	17224	17424	+	CDEBLL_00090		Phage protein	SO:0001217, UniRef:UniRef50_A0A7T7K8N7, UniRef:UniRef90_A0A7T7K8N7
contig_1	cds	17512	17916	+	CDEBLL_00095		Ribonucleotide reduction protein	KEGG:K03647, SO:0001217, UniParc:UPI001AF61D56, UniRef:UniRef100_A0A856LZU5, UniRef:UniRef50_A0A856LZU5, UniRef:UniRef90_A0A856LZU5
contig_1	cds	17943	20144	+	CDEBLL_00100	nrdE	class 1b ribonucleoside-diphosphate reductase subunit alpha	SO:0001217, UniParc:UPI001AFB241F, UniRef:UniRef100_A0A8B6MGP4, UniRef:UniRef50_A0A7V6HL87, UniRef:UniRef90_A0A7S9XG75
contig_1	cds	20160	20378	+	CDEBLL_00105		DUF1330 domain-containing protein	SO:0001217, UniParc:UPI001AF3954F, UniRef:UniRef100_A0A8B6MGP5, UniRef:UniRef50_A0A7S9XHV1, UniRef:UniRef90_A0A8B6MGP5
contig_1	cds	20404	21474	+	CDEBLL_00110	nrdF	class 1b ribonucleoside-diphosphate reductase subunit beta	SO:0001217, UniParc:UPI001AF4A54B, UniRef:UniRef100_A0A8B6MGP6, UniRef:UniRef50_A0A7S9SV00, UniRef:UniRef90_A0A7S9SV00
contig_1	cds	21665	22411	+	CDEBLL_00115		CRISPR-associated protein Cas7	SO:0001217, UniParc:UPI001AF11534, UniRef:UniRef100_A0A7T7GSQ5, UniRef:UniRef50_A0A7T7GSQ5, UniRef:UniRef90_A0A7T7GSQ5
contig_1	cds	22435	22629	+	CDEBLL_00120		hypothetical protein	SO:0001217, UniParc:UPI001AF31932, UniRef:UniRef100_A0A8B6MGP8, UniRef:UniRef50_A0A7S9XGU5, UniRef:UniRef90_A0A8B6MGP8
contig_1	cds	22758	25910	+	CDEBLL_00125		Structural protein	SO:0001217, UniRef:UniRef50_A0A8B6MGP9, UniRef:UniRef90_A0A8B6MGP9
contig_1	cds	26064	26870	+	CDEBLL_00130		Capsid protein	SO:0001217, UniRef:UniRef50_A0A141HS94, UniRef:UniRef90_A0A8B6MGQ0
contig_1	cds	26933	29098	-	CDEBLL_00135		DUF5011 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7S9SVF9, UniRef:UniRef90_A0A8B6MGQ1
