genome,accession,target_name,query_name,E-value,description_of_target,genome_start,genome_end,strand,intronID,source
EU982300,PF00717.26,Peptidase_S24,orf15,1.3999999999999999e-18,Peptidase S24-like,841,1707,+,EU982300_II_5275,.tblout
EU982300,PF12324.11,HTH_15,orf189,0.0057,Helix-turn-helix domain of alkylmercury lyase,1776,1342,-,EU982300_II_5275,.tblout
EU982300,PF10122.12,Mu-like_Com,orf23,1.5e-18,Mu-like prophage protein Com,2026,2331,+,EU982300_II_5275,.tblout
EU982300,PF16085.8,Phage_holin_3_5,orf31,8.099999999999999e-57,"Bacteriophage holin Hol, superfamily III",3023,3394,+,EU982300_II_5275,.tblout
EU982300,PF09536.13,DUF2378,orf32,0.0075,Protein of unknown function (DUF2378),3046,3435,+,EU982300_II_5275,.tblout
EU982300,PF10122.12,Mu-like_Com,orf34,4e-14,Mu-like prophage protein Com,3288,3617,+,EU982300_II_5275,.tblout
EU982300,PF14859.9,Colicin_M,orf41,5.8999999999999986e-158,Colicin M,3577,4434,+,EU982300_II_5275,.tblout
EU982300,PF08388.14,GIIM,orf55,5e-16,"Group II intron, maturase-specific domain",5409,5573,+,EU982300_II_5275,.tblout
EU982300,PF10948.11,DUF2635,orf73,3e-18,Protein of unknown function (DUF2635),6738,7046,+,EU982300_II_5275,.tblout
EU982300,PF04984.17,Phage_sheath_1,orf87,1.7000000000000002e-18,Phage tail sheath protein subtilisin-like domain,6956,8542,+,EU982300_II_5275,.tblout
EU982300,PF10618.12,Tail_tube,orf93,1.3e-30,Phage tail tube protein,8567,8956,+,EU982300_II_5275,.tblout
EU982300,PF10109.12,Phage_TAC_7,orf96,1.8e-19,"Phage tail assembly chaperone proteins, E, or 41 or 14",8908,9249,+,EU982300_II_5275,.tblout
EU982300,PF07699.16,Ephrin_rec_like,orf98,0.0076,Tyrosine-protein kinase ephrin type A/B receptor-like,9307,9435,+,EU982300_II_5275,.tblout
EU982300,PF10122.12,Mu-like_Com,orf17,1.5e-18,Mu-like prophage protein Com,2026,2331,+,EU982300_II_5809,.tblout
EU982300,PF12324.11,HTH_15,orf188,0.0057,Helix-turn-helix domain of alkylmercury lyase,1776,1342,-,EU982300_II_5809,.tblout
EU982300,PF16085.8,Phage_holin_3_5,orf25,8.099999999999999e-57,"Bacteriophage holin Hol, superfamily III",3023,3394,+,EU982300_II_5809,.tblout
EU982300,PF09536.13,DUF2378,orf26,0.0075,Protein of unknown function (DUF2378),3046,3435,+,EU982300_II_5809,.tblout
EU982300,PF10122.12,Mu-like_Com,orf28,4e-14,Mu-like prophage protein Com,3288,3617,+,EU982300_II_5809,.tblout
