gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
EAUZPXBS_CDS_0001	2	121	+	NC_007581	-1.3640379852289193	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0002	424	287	-	NC_007581	-15.752560683391984	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0003	661	509	-	NC_007581	-0.3118030884817481	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0004	655	762	+	NC_007581	-0.0966565140896064	7712	55.0	0.803	2.263e-13	p34204 VI_05887	7712	64.054169	2.435144141857964e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	7712	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0005	835	942	+	NC_007581	-1.245144432348957	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0006	1240	1091	-	NC_007581	-1.0576151766666626	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0007	1287	1391	+	NC_007581	-4.749427098683935	34891	90.0	1.0	3.014e-25	p335823 VI_05777	34891	78.19075	8.097731524001759e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	34891	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0008	1411	1704	+	NC_007581	-325.8249482026473	38336	242.0	1.0	1.769e-77	p335822 VI_05777	38336	216.528397	6.208608059786568e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	38336	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0009	1735	1833	+	NC_007581	-0.0615313397834778	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0010	1908	2540	+	NC_007581	-281242.05235307926	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0011	2549	2638	+	NC_007581	-0.114480155505616	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0012	2679	3095	+	NC_007581	-2452.174820537453	3532	144.0	0.56	1.81e-40	NC_023719_p372	3532	155.836258	2.8163736211993937e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	3532	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0013	3136	3408	+	NC_007581	-545.2922756309564	3532	95.0	0.663	7.978e-24	NC_023719_p372	3532	88.346977	1.0252058990999952e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	3532	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0014	3771	3604	-	NC_007581	-1.3578785867734349	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0015	3772	4173	+	NC_007581	-5468.218859476008	2577	189.0	0.705	5.8850000000000004e-58	p20485 VI_01658	2577	181.017303	2.230393474162514e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	2577	PHANOTATE_1.5.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0016	4191	5672	+	NC_007581	-1.0163054904719495e+19	506	464.0	0.505	9.508e-147	NC_007581_p21	506	217.654724	5.8536783067074784e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	506	PHANOTATE_1.5.1	CDS	#fea328	transposase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0017	5848	6057	+	NC_007581	-1.0584343133676926	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0018	6093	6209	+	NC_007581	-5.490774984857602	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0019	6269	7951	+	NC_007581	-2.6293767003800545e+20	9133	169.0	0.447	2.655e-49	p220080 VI_11834	9133	895.013611	1.7506960955487426e-268	No_custom_HMM	No_custom_HMM	No_custom_HMM	9133	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
EAUZPXBS_CDS_0020	8011	8799	+	NC_007581	-36497028134.10138	518	79.0	0.448	2.467e-19	p355696 VI_01100	373	159.137573	3.646791059572e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	518	PHANOTATE_1.5.1	CDS	#a861e3	Rha-like transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
