# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	462	+	OGDKMA_00005		Terminase small subunit	RefSeq:WP_002399183.1, SO:0001217, UniParc:UPI0001CE4FA2, UniRef:UniRef100_A0A8S6WMV4, UniRef:UniRef50_D4CPK6, UniRef:UniRef90_A0A828QPS1
contig_1	cds	452	1726	+	OGDKMA_00010		PBSX family phage terminase large subunit	SO:0001217, UniRef:UniRef50_P54308, UniRef:UniRef90_A0A1B1UZZ1
contig_1	cds	1739	3214	+	OGDKMA_00015		Phage portal protein	RefSeq:WP_010784915.1, SO:0001217, UniParc:UPI000310F34E, UniRef:UniRef100_UPI000310F34E, UniRef:UniRef50_A0A8S6WGG5, UniRef:UniRef90_A0A8S6WGG5
contig_1	cds	3189	4973	+	OGDKMA_00020		Phage head morphogeneis protein, SPP1 gp7 family	SO:0001217, UniRef:UniRef50_A0A640NPC0, UniRef:UniRef90_A0A8S6WKV3
contig_1	cds	4974	5204	+	OGDKMA_00025		Coenzyme F420 hydrogenase domain protein	SO:0001217, UniRef:UniRef50_A0A2R6UDL5, UniRef:UniRef90_A0A855P1P8
contig_1	cds	5261	5581	+	OGDKMA_00030		Conserved domain protein	RefSeq:WP_083578476.1, SO:0001217, UniParc:UPI0009FABA85, UniRef:UniRef100_UPI0009FABA85, UniRef:UniRef50_R3I0L8, UniRef:UniRef90_A0A640NQJ5
contig_1	cds	5586	5912	+	OGDKMA_00035		DUF3849 domain-containing protein	SO:0001217, UniRef:UniRef50_U2UXG4, UniRef:UniRef90_R3KCP1
contig_1	cds	6053	6679	+	OGDKMA_00040		DUF4355 domain-containing protein	RefSeq:WP_002395888.1, SO:0001217, UniParc:UPI0001F0B959, UniRef:UniRef100_UPI0001F0B959, UniRef:UniRef50_R3KC35, UniRef:UniRef90_R3KC35
contig_1	cds	6693	7595	+	OGDKMA_00045		Phage major capsid protein	SO:0001217, UniRef:UniRef50_A0A242AZ03, UniRef:UniRef90_R3KRS5
contig_1	cds	7619	7855	+	OGDKMA_00050		YolD-like protein	RefSeq:WP_002411135.1, SO:0001217, UniParc:UPI0001F0CDC3, UniRef:UniRef100_A0A828QPT3, UniRef:UniRef50_A0A1V8YP08, UniRef:UniRef90_R3I0L3
contig_1	cds	7864	8208	+	OGDKMA_00055		Phage protein	SO:0001217, UniRef:UniRef50_R3I7M2, UniRef:UniRef90_R3I000
contig_1	cds	8229	8582	+	OGDKMA_00060		head-tail adaptor	SO:0001217, UniRef:UniRef50_UPI00156032EA, UniRef:UniRef90_UPI000F64BD3D
contig_1	cds	8575	8973	+	OGDKMA_00065		HK97 gp10 family phage protein	SO:0001217, UniRef:UniRef50_R2VHM1, UniRef:UniRef90_A0A059N098
contig_1	cds	8977	9351	+	OGDKMA_00070		Phage protein	RefSeq:WP_002364487.1, SO:0001217, UniParc:UPI0001B2B499, UniRef:UniRef100_A0A8S6WGG3, UniRef:UniRef50_R3KRS2, UniRef:UniRef90_R3KJ02
contig_1	cds	9352	10194	+	OGDKMA_00075		Phage major tail protein, phi13 family	RefSeq:WP_085443619.1, SO:0001217, UniParc:UPI000A19DC32, UniRef:UniRef100_UPI000A19DC32, UniRef:UniRef50_R3KYT5, UniRef:UniRef90_A0A125W444
contig_1	cds	10194	10598	+	OGDKMA_00080		Tail assembly chaperone	SO:0001217, UniRef:UniRef50_R3HZZ7, UniRef:UniRef90_R3HZZ7
contig_1	cds	10820	13744	+	OGDKMA_00085		Phage-related protein	COG:COG5412, COG:X, SO:0001217, UniRef:UniRef50_A0A242AZ96, UniRef:UniRef90_A0A8S6WLA7
contig_1	cds	13731	14468	+	OGDKMA_00090	yomH	Phage-related protein YomH	COG:COG4722, COG:X, SO:0001217, UniRef:UniRef50_R2VHM6, UniRef:UniRef90_Q833F7
contig_1	cds	14465	16939	+	OGDKMA_00095		CHAP domain-containing protein	SO:0001217, UniRef:UniRef50_A0A855P295, UniRef:UniRef90_A0A855P295
contig_1	cds	16981	17385	+	OGDKMA_00100		Minor structural protein	SO:0001217, UniRef:UniRef50_F3YBM7
contig_1	cds	17404	18312	+	OGDKMA_00105		BppU-N domain-containing protein	SO:0001217, UniRef:UniRef50_R3L5U4, UniRef:UniRef90_R3I0K3
contig_1	cds	18305	18622	+	OGDKMA_00110		CBS domain-containing protein	RefSeq:WP_010829943.1, SO:0001217, UniParc:UPI00032E7AAA, UniRef:UniRef100_UPI00032E7AAA, UniRef:UniRef50_R3KR23, UniRef:UniRef90_UPI00066882F4
contig_1	cds	18615	18932	+	OGDKMA_00115		Major tail protein	SO:0001217, UniRef:UniRef50_R3J3I0, UniRef:UniRef90_UPI00157112F2
contig_1	cds	18932	19483	+	OGDKMA_00120		Mtd-N domain-containing protein	SO:0001217, UniRef:UniRef50_Q830H7, UniRef:UniRef90_Q830H7
contig_1	cds	19498	19872	+	OGDKMA_00125		Phage protein	SO:0001217, UniRef:UniRef50_R2QIF8, UniRef:UniRef90_E2YRZ4
contig_1	cds	19872	20009	+	OGDKMA_00130	xkdX	XkdX family protein	RefSeq:WP_002380794.1, SO:0001217, UniParc:UPI000005C6A2, UniRef:UniRef100_A0A4U4BQK6, UniRef:UniRef50_R2QMI5, UniRef:UniRef90_R3GS14
contig_1	cds	20044	20277	+	OGDKMA_00135		Holin	RefSeq:WP_002367247.1, SO:0001217, UniParc:UPI0001B2BBD0, UniRef:UniRef100_E0HBZ0, UniRef:UniRef50_E0HBZ0, UniRef:UniRef90_E0HBZ0
contig_1	cds	20280	20483	+	OGDKMA_00140		Holin	SO:0001217, UniRef:UniRef50_A0A242K812, UniRef:UniRef90_A0A0M2AAC9
contig_1	cds	20488	21747	+	OGDKMA_00145		GH25 family lysozyme	KEGG:K07273, SO:0001217, UniRef:UniRef50_A0A2Z6BEJ9, UniRef:UniRef90_UPI000DE9DB9A
contig_1	cds	21910	23280	+	OGDKMA_00150		Beta-carotene 15,15'-monooxygenase	SO:0001217, UniRef:UniRef50_I6SE20, UniRef:UniRef90_A0A8I1FA93
contig_1	cds	23617	24780	-	OGDKMA_00155		Site-specific recombinase, phage integrase family	RefSeq:WP_010815116.1, SO:0001217, UniParc:UPI000330558C, UniRef:UniRef100_A0A855PAW8, UniRef:UniRef50_R3JGB8, UniRef:UniRef90_E0HCG4
contig_1	cds	24783	25022	-	OGDKMA_00160		Type I site-specific deoxyribonuclease	RefSeq:WP_002395684.1, SO:0001217, UniParc:UPI0001F0AEFA, UniRef:UniRef100_UPI0001F0AEFA, UniRef:UniRef50_E0HCG5, UniRef:UniRef90_E0HCG5
contig_1	cds	25024	25263	-	OGDKMA_00165		Pyridoxamine 5'-phosphate oxidase family protein	RefSeq:WP_002395685.1, SO:0001217, UniParc:UPI0001E197E8, UniRef:UniRef100_E0HCG6, UniRef:UniRef50_E0HCG6, UniRef:UniRef90_E0HCG6
contig_1	cds	25327	25755	-	OGDKMA_00170		Peptidase-M78 domain-containing protein	RefSeq:WP_002395686.1, SO:0001217, UniParc:UPI0001F0AEFB, UniRef:UniRef100_UPI0001F0AEFB, UniRef:UniRef50_S5N7Y8, UniRef:UniRef90_E0HCG7
contig_1	cds	25770	26183	-	OGDKMA_00175		DNA-binding helix-turn-helix protein	RefSeq:WP_002395687.1, SO:0001217, UniParc:UPI0001F0AEFC, UniRef:UniRef100_UPI0001F0AEFC, UniRef:UniRef50_S1R835, UniRef:UniRef90_A0A059MZ59
contig_1	cds	26415	26624	+	OGDKMA_00180		XRE family transcriptional regulator	RefSeq:WP_010815120.1, SO:0001217, UniParc:UPI00032D8E15, UniRef:UniRef100_A0A855P6U1, UniRef:UniRef50_A0A0R2IE06, UniRef:UniRef90_A0A855P6U1
contig_1	cds	26628	26912	+	OGDKMA_00185		DNA-binding protein	RefSeq:WP_010815121.1, SO:0001217, UniParc:UPI00032E806D, UniRef:UniRef100_A0A855P0W1, UniRef:UniRef50_V5XSK4, UniRef:UniRef90_E0HCH0
contig_1	cds	26928	27626	+	OGDKMA_00190		Phage regulatory protein	SO:0001217, UniRef:UniRef50_A0A6P1PL88, UniRef:UniRef90_A0A7Z8SVU7
contig_1	cds	27639	27812	+	OGDKMA_00195		DUF2892 domain-containing protein	SO:0001217, UniRef:UniRef50_R3GR71, UniRef:UniRef90_R3GR71
contig_1	cds	27809	27919	+	OGDKMA_00200		Recombinase	SO:0001217, UniRef:UniRef50_R3J309, UniRef:UniRef90_A0A6I4XZ31
contig_1	cds	27920	28075	+	OGDKMA_00205		AMP-binding-C domain-containing protein	SO:0001217, UniRef:UniRef50_S4FS29, UniRef:UniRef90_UPI000A4004F6
contig_1	cds	28131	28550	+	OGDKMA_00210		Sporulation protein	SO:0001217, UniRef:UniRef50_E6I947, UniRef:UniRef90_E6I947
contig_1	cds	28534	28770	+	OGDKMA_00215		DUF1292 domain-containing protein	SO:0001217, UniRef:UniRef50_U6RYQ2, UniRef:UniRef90_V7ZNK2
contig_1	cds	28771	29457	+	OGDKMA_00220		Erf family protein	RefSeq:WP_002415151.1, SO:0001217, UniParc:UPI00027C7C88, UniRef:UniRef100_UPI00027C7C88, UniRef:UniRef50_E6I945, UniRef:UniRef90_E6I945
contig_1	cds	29470	30363	+	OGDKMA_00225		DUF1351 domain-containing protein	RefSeq:WP_002415152.1, SO:0001217, UniParc:UPI00027C7C89, UniRef:UniRef100_UPI00027C7C89, UniRef:UniRef50_E6I944, UniRef:UniRef90_E6I944
contig_1	cds	30360	31040	+	OGDKMA_00230		Phage protein	SO:0001217, UniRef:UniRef50_V5XTU7, UniRef:UniRef90_S4FS23
contig_1	cds	31044	31997	+	OGDKMA_00235		Phage-rep-org-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8S0MTL4, UniRef:UniRef90_A0A8S0MTL4
contig_1	cds	31994	32296	+	OGDKMA_00240	mazG	MazG domain-containing protein	SO:0001217, UniParc:UPI0001E19B53, UniRef:UniRef100_E0H9A0, UniRef:UniRef50_B9EBQ2, UniRef:UniRef90_S4D206
contig_1	cds	32318	32842	+	OGDKMA_00245	pcfR	PcfR	SO:0001217, UniRef:UniRef50_R3KCQ4, UniRef:UniRef90_E0H999
contig_1	cds	32968	33195	+	OGDKMA_00250		DNA-binding protein	SO:0001217, UniRef:UniRef50_Q835D9, UniRef:UniRef90_Q835D9
contig_1	cds	33252	34112	+	OGDKMA_00255	dcm	DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A899NEM2, UniRef:UniRef90_V7ZJJ8
contig_1	cds	34170	34919	+	OGDKMA_00260		site-specific DNA-methyltransferase	SO:0001217, UniRef:UniRef50_A0A7K4MXC2, UniRef:UniRef90_UPI0018A75646
contig_1	cds	35222	35332	+	OGDKMA_00265		hypothetical protein	
contig_1	cds	35329	35679	+	OGDKMA_00270		Phage protein	SO:0001217, UniRef:UniRef50_A0A125W5E2, UniRef:UniRef90_A0A125W5E2
contig_1	cds	35679	35921	+	OGDKMA_00275		Phage protein	SO:0001217, UniRef:UniRef50_E6EVH9, UniRef:UniRef90_E6EVH9
contig_1	cds	35918	36154	+	OGDKMA_00280		hypothetical protein	RefSeq:WP_078122596.1, SO:0001217, UniParc:UPI000990CE38, UniRef:UniRef100_A0A2Z6BKC7, UniRef:UniRef50_R3W2Y4, UniRef:UniRef90_A0A125W5R8
contig_1	cds	36160	36483	+	OGDKMA_00285		Phage protein	SO:0001217, UniRef:UniRef50_A0A8S6Y1G4
contig_1	cds	36480	36833	+	OGDKMA_00290		DNA topoisomerase domain protein	SO:0001217, UniRef:UniRef50_A0A8S6X1Y2, UniRef:UniRef90_Q835D5
contig_1	cds	36830	37330	+	OGDKMA_00295		Phage protein	SO:0001217, UniRef:UniRef50_D2IYV1
contig_1	cds	37331	37516	+	OGDKMA_00300		DUF1980 domain-containing protein	SO:0001217, UniParc:UPI0001BEF4AF, UniRef:UniRef100_D2IZZ1, UniRef:UniRef50_E2YRX0, UniRef:UniRef90_A0A4U3MMY9
contig_1	cds	37513	37713	+	OGDKMA_00305		Phage protein	SO:0001217, UniParc:UPI0001BEF48D, UniRef:UniRef100_D2IZS5, UniRef:UniRef50_Q830F8, UniRef:UniRef90_E6I930
contig_1	sorf	37706	37795	+	OGDKMA_00310		DUF3175 domain-containing protein	SO:0001217, UniParc:UPI000330289A, UniRef:UniRef100_C9E2P4, UniRef:UniRef50_A0A2Z6BSF4, UniRef:UniRef90_C9E2P4
contig_1	cds	37858	38274	+	OGDKMA_00315		Transcriptional regulator	RefSeq:WP_010711654.1, SO:0001217, UniParc:UPI0003303D24, UniRef:UniRef100_V7ZL90, UniRef:UniRef50_A0A1I4J5Q5, UniRef:UniRef90_D2IZS6
contig_1	tRNA	39028	39100	+	OGDKMA_00320		tRNA-Xxx	
