hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	1.100e-31	104.300	0.782	0.502	198	448
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	5.300e-33	108.400	0.814	0.550	196	470
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	7.500e-36	118.100	0.942	0.636	174	491
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	2.400e-36	119.600	0.875	0.594	193	489
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	1.800e-39	129.900	0.801	0.516	195	452
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	1.100e-31	104.300	0.782	0.502	198	448
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	5.300e-33	108.400	0.814	0.550	196	470
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	7.500e-36	118.100	0.942	0.636	174	491
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	2.400e-36	119.600	0.875	0.594	193	489
DBILCEMK_CDS_0169	phanotate	169	500	Retron__RT_Tot	1.800e-39	129.900	0.801	0.516	195	452
