#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	12	608	+	IKJIEE_00005	22.0	10.2		
contig_1	3135	3380	-	IKJIEE_00020	9.3	10.0		
contig_1	3884	4333	-	IKJIEE_00030	17.3	6.5		
contig_1	4337	4558	+	IKJIEE_00035	8.4	9.2		
contig_1	7732	7965	+	IKJIEE_00050	9.3	9.3		
contig_1	7938	8204	+	IKJIEE_00055	10.0	8.4		
contig_1	8197	9033	+	IKJIEE_00060	31.4	8.8		
contig_1	9241	9471	+	IKJIEE_00065	9.0	6.7		
contig_1	9560	10282	-	IKJIEE_00070	26.8	5.1		
contig_1	10301	10543	+	IKJIEE_00075	9.1	9.9		
contig_1	12425	12613	-	IKJIEE_00090	7.2	9.4		
contig_1	13152	13343	+	IKJIEE_00100	7.6	9.5		
contig_1	13348	13506	+	IKJIEE_00105	6.2	9.5		
contig_1	16008	16109	-	IKJIEE_00125	3.6	9.8		
contig_1	17564	17671	-	IKJIEE_00140	4.0	10.0		
contig_1	17668	17922	-	IKJIEE_00145	9.9	9.5		
contig_1	24644	25942	-	IKJIEE_00180	49.7	5.5	PF01624.23|MutS_I	PFAM:PF01624.23
