#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1521	2000	+	JDDKHI_00015	18.6	7.9		SO:0001217, UniParc:UPI0007DD665B, UniRef:UniRef100_A0A172JHQ8, UniRef:UniRef50_A0A172JHQ8, UniRef:UniRef90_A0A172JHQ8
contig_1	5279	5521	+	JDDKHI_00040	9.2	9.5		SO:0001217, UniParc:UPI0007DD1C1A, UniRef:UniRef100_A0A223LDA9, UniRef:UniRef50_A0A223LDA9, UniRef:UniRef90_A0A223LDA9
contig_1	14946	15164	+	JDDKHI_00095	8.5	5.8		SO:0001217, UniParc:UPI0007DD3A7F, UniRef:UniRef100_A0A172JHS4, UniRef:UniRef50_A0A172JHS4, UniRef:UniRef90_A0A172JHS4
contig_1	24579	25259	+	JDDKHI_00150	27.5	5.9		SO:0001217, UniParc:UPI0007DD37AF, UniRef:UniRef100_A0A172JHS8, UniRef:UniRef50_A0A172JHS8, UniRef:UniRef90_A0A172JHS8
contig_1	29695	30840	+	JDDKHI_00180	45.1	5.8		SO:0001217, UniParc:UPI0007DCF42A, UniRef:UniRef100_A0A172JHU6, UniRef:UniRef50_A0A223LDD9, UniRef:UniRef90_A0A223LDD9
contig_1	58757	58972	-	JDDKHI_00360	8.5	5.1		SO:0001217, UniParc:UPI0007DD1E9A, UniRef:UniRef100_A0A172JHX9, UniRef:UniRef50_A0A223LDH4, UniRef:UniRef90_A0A223LDH4
contig_1	72589	72735	+	JDDKHI_00445	5.8	9.6		SO:0001217, UniParc:UPI000B9D7474, UniRef:UniRef100_A0A223LDI6, UniRef:UniRef50_A0A223LDI6, UniRef:UniRef90_A0A223LDI6
contig_1	75538	75945	+	JDDKHI_00465	16.0	4.9		SO:0001217, UniParc:UPI0007DD7A2B, UniRef:UniRef100_A0A172JHY5, UniRef:UniRef50_A0A172JHY5, UniRef:UniRef90_A0A172JHY5
contig_1	80177	80323	+	JDDKHI_00500	5.5	9.4		SO:0001217, UniParc:UPI0007DD086B, UniRef:UniRef100_A0A172JI02, UniRef:UniRef50_A0A172JI02, UniRef:UniRef90_A0A172JI02
contig_1	85631	85975	+	JDDKHI_00550	13.2	5.7		SO:0001217, UniParc:UPI0007DD90C6, UniRef:UniRef100_A0A172JI13, UniRef:UniRef50_A0A172JI13, UniRef:UniRef90_A0A172JI13
contig_1	111835	112335	-	JDDKHI_00700	20.5	9.7		SO:0001217, UniParc:UPI0007DD84DD, UniRef:UniRef100_A0A223LCZ0, UniRef:UniRef50_A0A223LCZ0, UniRef:UniRef90_A0A223LCZ0
contig_1	118020	118199	-	JDDKHI_00730	7.2	9.7		SO:0001217, UniParc:UPI000B9D5F0F, UniRef:UniRef100_A0A223LCT2, UniRef:UniRef50_A0A223LCT2, UniRef:UniRef90_A0A223LCT2
contig_1	133600	133887	+	JDDKHI_00815	11.3	6.7		SO:0001217, UniParc:UPI0007DD8A45, UniRef:UniRef100_A0A172JI61, UniRef:UniRef50_A0A172JI61, UniRef:UniRef90_A0A172JI61
contig_1	146620	147135	+	JDDKHI_00950	20.0	5.3		SO:0001217, UniParc:UPI0007DD5C54, UniRef:UniRef100_A0A172JI90, UniRef:UniRef50_A0A223LD33, UniRef:UniRef90_A0A223LD33
contig_1	177136	177966	-	JDDKHI_01075	32.1	5.5		SO:0001217, UniParc:UPI0007DCD170, UniRef:UniRef100_A0A172JIA4, UniRef:UniRef50_A0A172JIA4, UniRef:UniRef90_A0A172JIA4
contig_1	198881	198997	-	JDDKHI_01170	4.4	9.9		
contig_1	202537	203262	+	JDDKHI_01195	28.3	8.7		SO:0001217, UniParc:UPI0007DDC12A, UniRef:UniRef100_A0A172JIE1, UniRef:UniRef50_A0A223LEK9, UniRef:UniRef90_A0A223LEK9
contig_1	224936	225277	-	JDDKHI_01370	13.8	9.6		SO:0001217, UniParc:UPI0007DD51A7, UniRef:UniRef100_A0A172JIH9, UniRef:UniRef50_A0A172JIH9, UniRef:UniRef90_A0A172JIH9
contig_1	250026	250220	-	JDDKHI_01480	7.4	10.7		SO:0001217, UniParc:UPI0007DE0575, UniRef:UniRef100_A0A172JII2, UniRef:UniRef50_A0A172JII2, UniRef:UniRef90_A0A172JII2
contig_1	250237	250944	-	JDDKHI_01485	27.1	9.7		SO:0001217, UniParc:UPI0007DDADF8, UniRef:UniRef100_A0A223LCR2, UniRef:UniRef50_A0A223LCR2, UniRef:UniRef90_A0A223LCR2
