gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
NJJDPTYF_CDS_0001	405	52	-	EU982300	-20.6624660731232	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0002	610	407	-	EU982300	-0.1996676244873891	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0003	901	629	-	EU982300	-3.5620148998676324	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0004	906	1709	+	EU982300	-3893.009694524701	6201	120.0	0.592	5.523e-35	p89843 VI_01594	4	167.497787	8.995380284331168e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	6201	PHANOTATE_1.5.1	CDS	#a861e3	CI-like repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0005	1832	1951	+	EU982300	-1.0656237607212211	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0006	2025	2333	+	EU982300	-11.099338458526738	6417	70.0	0.604	4.853e-19	p208507 VI_07431	6417	68.096519	9.66665812400525e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	6417	PHANOTATE_1.5.1	CDS	#838383	translational regulator	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0007	2330	2998	+	EU982300	-181.87607432968352	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0008	3158	3286	+	EU982300	-0.2705975214416587	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0009	3305	3619	+	EU982300	-14.302549897798857	6417	66.0	0.617	1.606e-17	p208507 VI_07431	6417	61.72044	9.454689076227371e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	6417	PHANOTATE_1.5.1	CDS	#838383	translational regulator	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
NJJDPTYF_CDS_0010	3771	4436	+	EU982300	-251.15443639430487	37466	116.0	0.431	1.5520000000000002e-31	p398395 VI_08947	37466	137.399872	1.3409614407467161e-39	No_custom_HMM	No_custom_HMM	No_custom_HMM	37466	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
