hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JEDAHN_00040	AP008983	8	560	RM_Type_II__Type_II_MTases	4.600e-09	29.100	0.516	0.304	51	220
JEDAHN_00040	AP008983	8	560	RM_Type_II__Type_II_MTases	2.500e-09	29.800	0.566	0.357	15	214
JEDAHN_00040	AP008983	8	560	RM_Type_II__Type_II_MTases	3.600e-12	39.400	0.637	0.388	39	255
JEDAHN_00040	AP008983	8	560	RM_Type_II__Type_II_MTases	1.000e-15	50.900	0.639	0.412	48	278
JEDAHN_00070	AP008983	14	214	cas5_I-B_1	4.600e-12	39.400	0.448	0.453	8	104
JEDAHN_00075	AP008983	15	251	cas6_I_II_III_IV_V_VI_10	9.200e-33	107.800	0.988	0.960	4	244
JEDAHN_00075	AP008983	15	251	cas6_I_II_III_IV_V_VI_7	3.100e-14	47.400	0.995	0.741	59	244
JEDAHN_00075	AP008983	15	251	cas6_I_II_III_IV_V_VI_20	5.200e-22	72.400	0.993	0.570	103	245
JEDAHN_00100	AP008983	20	345	cas7_I-B_6	1.100e-15	51.100	0.895	0.829	33	318
JEDAHN_00100	AP008983	20	345	cas7_I-B_1	1.700e-13	43.900	0.687	0.583	63	263
JEDAHN_00205	AP008983	41	370	DISARM_2__drmMII	5.100e-41	134.500	0.949	0.978	1	362
JEDAHN_00205	AP008983	41	370	Druantia_II__DruM	1.400e-54	179.300	0.819	0.976	1	361
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	2.800e-12	39.700	0.459	0.443	4	167
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	7.300e-13	41.700	0.620	0.581	5	219
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	7.000e-20	64.900	0.410	0.414	29	181
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	5.600e-42	137.800	0.956	0.978	1	362
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	1.000e-47	156.700	1.071	0.976	1	361
JEDAHN_00205	AP008983	41	370	RM_Type_II__Type_II_MTases	3.000e-73	240.400	0.828	0.978	1	362
JEDAHN_00210	AP008983	42	362	cas12f2_V-F_1	2.100e-52	171.900	0.762	0.986	5	361
JEDAHN_00300	AP008983	60	746	recD_IV-D_1	4.000e-54	177.500	0.858	0.870	90	738
JEDAHN_00525	AP008983	105	450	Lamassu-Fam__LmuA_effector_Hydrolase	2.200e-15	50.000	0.435	0.347	165	320
JEDAHN_00620	AP008983	123	173	RosmerTA__RmrA_2677172838	9.300e-14	44.500	0.413	0.983	3	172
JEDAHN_00750	AP008983	146	387	cas12f2_V-F_1	1.800e-31	102.800	0.573	0.780	76	377
JEDAHN_00900	AP008983	175	387	cas12f2_V-F_1	1.800e-31	102.800	0.573	0.780	76	377
JEDAHN_00945	AP008983	184	592	Gabija__GajB_2	3.300e-82	270.400	0.726	0.975	3	579
