locus_tag	ftype	length_bp	gene	EC_number	COG	product
EU982300_00001	CDS	354				unannotated protein
EU982300_00002	CDS	753				unannotated protein
EU982300_00003	CDS	183				unannotated protein
EU982300_00004	CDS	645				unannotated protein
EU982300_00005	CDS	351				unannotated protein
EU982300_00006	CDS	816				unannotated protein
EU982300_00007	CDS	429				unannotated protein
EU982300_00008	CDS	102				unannotated protein
EU982300_00009	CDS	585				unannotated protein
EU982300_00010	CDS	183				unannotated protein
EU982300_00011	CDS	1497				unannotated protein
EU982300_00012	CDS	348				unannotated protein
EU982300_00013	CDS	297				unannotated protein
EU982300_00014	CDS	1575				unannotated protein
EU982300_00015	CDS	1239				unannotated protein
EU982300_00016	CDS	1041				unannotated protein
EU982300_00017	CDS	510				unannotated protein
EU982300_00018	CDS	399				unannotated protein
EU982300_00019	CDS	1041				unannotated protein
EU982300_00020	CDS	600				unannotated protein
EU982300_00021	CDS	1155				unannotated protein
EU982300_00022	CDS	510				unannotated protein
EU982300_00023	CDS	1095				unannotated protein
EU982300_00024	CDS	561				unannotated protein
EU982300_00025	CDS	912				unannotated protein
EU982300_00026	CDS	432				unannotated protein
EU982300_00027	CDS	564				unannotated protein
EU982300_00028	CDS	537				unannotated protein
EU982300_00029	CDS	501				unannotated protein
