gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
YCBIPMJO_CDS_0001	1	402	+	MT835550	-24.016607394006865	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0002	399	1013	+	MT835550	-239.0148138270849	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0003	1028	1459	+	MT835550	-11.701322461384812	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0004	1452	1712	+	MT835550	-27.657591231416195	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0005	1772	2410	+	MT835550	-464.8627891984856	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0006	2416	2877	+	MT835550	-90.05433388174842	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0007	2874	3500	+	MT835550	-237.0382900501844	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0008	3632	4312	+	MT835550	-244.1147054621352	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0009	4343	5083	+	MT835550	-85.71353867824017	33510	132.0	0.36	1.041e-37	p203864 VI_05829	33510	155.81958	2.5229055109857188e-45	No_custom_HMM	No_custom_HMM	No_custom_HMM	33510	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0010	5169	5384	+	MT835550	-14.992369149701473	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0011	5381	5920	+	MT835550	-49.49354404651391	31729	40.0	0.2	7.84e-07	p75797 VI_12017	31729	49.676937	8.647529327881504e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	31729	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0012	6379	5966	-	MT835550	-70.77203396242881	11671	65.0	0.364	4.598e-16	p36461 VI_11179	11671	83.204018	3.75867159631829e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	11671	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0013	6455	6847	+	MT835550	-19.94631768019897	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0014	6858	7193	+	MT835550	-16.053015610606316	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0015	7159	7422	+	MT835550	-9.676908970947483	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0016	7419	8843	+	MT835550	-96602.27741155447	6397	41.0	0.352	9.939e-07	KY554769_p129	6397	137.73111	8.192247689707682e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	6397	PHANOTATE_1.5.1	CDS	#ffdf59	ribonucleotide reductase large subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0017	8812	9081	+	MT835550	-2.9287975963388737	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0018	9258	9353	+	MT835550	-0.2153261284444588	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0019	9372	9788	+	MT835550	-53.90459014002951	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0020	10025	11602	+	MT835550	-2018991.8143560751	1423	256.0	0.388	6.066e-77	p68421 VI_04962	1423	363.406097	5.820866944605757e-108	No_custom_HMM	No_custom_HMM	No_custom_HMM	1423	PHANOTATE_1.5.1	CDS	#ffdf59	Reverse transcriptase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0021	11610	11876	+	MT835550	-18.5352454078266	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0022	11890	12060	+	MT835550	-2.938159612540113	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0023	12094	12426	+	MT835550	-7.942839175439264	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0024	12531	12929	+	MT835550	-19.25043159158912	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0025	12938	13612	+	MT835550	-51.03079356210856	31729	66.0	0.251	1.208e-15	p75797 VI_12017	31729	74.138504	2.719942262746574e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	31729	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0026	13614	13859	+	MT835550	-17.982023041918932	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0027	13856	14077	+	MT835550	-10.463434368708542	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0028	14074	14490	+	MT835550	-24.999873300383143	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0029	14521	14625	+	MT835550	-0.0731145702963056	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0030	14631	15014	+	MT835550	-253.1361434436708	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0031	15114	15554	+	MT835550	-79.14332520526581	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0032	15651	15758	+	MT835550	-2.740597571812809	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0033	16351	15755	-	MT835550	-148.30271903252802	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0034	17071	16421	-	MT835550	-728.496158419438	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	26245	37.12516	6.212770567658335e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	26245	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0035	17524	17246	-	MT835550	-32.77748937816709	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0036	17936	17538	-	MT835550	-13.161527976791168	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0037	18537	17965	-	MT835550	-116.666946065381	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0038	19565	18438	-	MT835550	-4836.89286768172	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0039	19995	19519	-	MT835550	-0.3622593002266124	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0040	20381	20022	-	MT835550	-15.754959120955522	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0041	20765	20454	-	MT835550	-17.228059530392805	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0042	20695	23265	+	MT835550	-2525142360.4289746	12316	464.0	0.352	2.608e-142	p307937 VI_04301	12316	467.406342	1.8883042063898904e-139	No_custom_HMM	No_custom_HMM	No_custom_HMM	12316	PHANOTATE_1.5.1	CDS	#838383	ATPase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0043	23295	23690	+	MT835550	-77.8201133457656	11671	39.0	0.38	4.299e-07	p36461 VI_11179	11671	57.022034	4.4323445150135855e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	11671	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YCBIPMJO_CDS_0044	23748	23921	+	MT835550	-0.3069988228620004	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
