# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	52	405	-	IOJLKF_00005		DUF3077 domain-containing protein	RefSeq:WP_003198296.1, SO:0001217, UniParc:UPI000180E7C1, UniRef:UniRef100_I4L070, UniRef:UniRef50_G8QC32, UniRef:UniRef90_G8QC32
contig_1	ncRNA	452	538	-	IOJLKF_00010	C4	C4 antisense RNA	RFAM:RF01695, SO:0000644
contig_1	cds	957	1709	+	IOJLKF_00015		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0C5E043, UniRef:UniRef90_A0A0C5E043
contig_1	cds	1688	1837	-	IOJLKF_00020		hypothetical protein	
contig_1	cds	2025	2333	+	IOJLKF_00025		Translational regulator, Com family	SO:0001217, UniParc:UPI000180E7C3, UniRef:UniRef100_I4L0H0, UniRef:UniRef50_I4L0H0, UniRef:UniRef90_I4L0H0
contig_1	cds	2354	2998	+	IOJLKF_00030		Signal peptide protein	RefSeq:WP_003198300.1, SO:0001217, UniParc:UPI000180E7C4, UniRef:UniRef100_I4KYV7, UniRef:UniRef50_A0A077LK30, UniRef:UniRef90_I4KYV7
contig_1	cds	3018	3293	-	IOJLKF_00035		hypothetical protein	
contig_1	cds	3305	3619	+	IOJLKF_00040		hypothetical protein	
contig_1	cds	3837	4436	+	IOJLKF_00045		lipid II-degrading bacteriocin	SO:0001217, UniRef:UniRef50_UPI0006870026
contig_1	cds	4424	4570	-	IOJLKF_00050		hypothetical protein	
contig_1	cds	4522	4800	-	IOJLKF_00055		hypothetical protein	
contig_1	cds	5499	5696	-	IOJLKF_00060		hypothetical protein	
contig_1	cds	6285	6869	+	IOJLKF_00065		Prophage PSSSM-04	RefSeq:WP_003198309.1, SO:0001217, UniParc:UPI000180E7C9, UniRef:UniRef100_I4L0D0, UniRef:UniRef50_I4L0D0, UniRef:UniRef90_I4L0D0
contig_1	cds	7048	8544	+	IOJLKF_00070		Mu-like prophage tail sheath protein gpL	RefSeq:WP_003198312.1, SO:0001217, UniParc:UPI000180E7CB, UniRef:UniRef100_B5TK67, UniRef:UniRef50_A0A3M3EZ52, UniRef:UniRef90_A0A3M3EZ52
contig_1	cds	8611	8958	+	IOJLKF_00075		Phage tail protein	RefSeq:WP_003198314.1, SO:0001217, UniParc:UPI000180E7CC, UniRef:UniRef100_A0A0D9B3T1, UniRef:UniRef50_A0A5E7ADN0, UniRef:UniRef90_A0A024E9Q0
contig_1	cds	8939	9394	-	IOJLKF_00080		hypothetical protein	
contig_1	cds	9415	10956	+	IOJLKF_00085		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A1K1QMP7, UniRef:UniRef90_A0A1N7GR07
contig_1	cds	10943	12181	+	IOJLKF_00090		DNA-circ-N domain-containing protein	RefSeq:WP_003198319.1, SO:0001217, UniParc:UPI000180E7CF, UniRef:UniRef100_I4KYZ6, UniRef:UniRef50_A0A0P9M878, UniRef:UniRef90_A0A3M3F1S2
contig_1	cds	12185	13225	+	IOJLKF_00095		Baseplate protein	RefSeq:WP_003198321.1, SO:0001217, UniParc:UPI000180E7D0, UniRef:UniRef100_B5TK72, UniRef:UniRef50_A0A193SJD4, UniRef:UniRef90_A0A3M3F0K0
contig_1	cds	13237	13437	+	IOJLKF_00100		hypothetical protein	
contig_1	cds	13490	13999	+	IOJLKF_00105		Phage baseplate assembly protein V	SO:0001217, UniParc:UPI000180E7D1, UniRef:UniRef100_B5TK73, UniRef:UniRef50_A0A5E7ADI7, UniRef:UniRef90_A0A160A0Q6
contig_1	cds	13999	14397	+	IOJLKF_00110		Mu-like prophage protein gp46	RefSeq:WP_003198324.1, SO:0001217, UniParc:UPI000180E7D2, UniRef:UniRef100_I4L1B5, UniRef:UniRef50_V8RA65, UniRef:UniRef90_V8RA65
contig_1	cds	14387	15427	+	IOJLKF_00115		Baseplate-J domain-containing protein	RefSeq:WP_003198326.1, SO:0001217, UniParc:UPI000180E7D3, UniRef:UniRef100_I4L024, UniRef:UniRef50_A0A3M3EZW3, UniRef:UniRef90_A0A3M3EZW3
contig_1	cds	15415	16014	+	IOJLKF_00120		Phage tail protein	RefSeq:WP_003198328.1, SO:0001217, UniParc:UPI000180E7D4, UniRef:UniRef100_I4KYT0, UniRef:UniRef50_A0A0C5DSP4, UniRef:UniRef90_J3EIE0
contig_1	cds	16026	17180	+	IOJLKF_00125		Phage tail protein	RefSeq:WP_003198329.1, SO:0001217, UniParc:UPI000180E7D5, UniRef:UniRef100_I4L0Y3, UniRef:UniRef50_A0A024E964, UniRef:UniRef90_A0A1K1QNW5
contig_1	cds	17177	17686	+	IOJLKF_00130		Phage tail protein	RefSeq:WP_003198332.1, SO:0001217, UniParc:UPI000180E7D6, UniRef:UniRef100_I4KYS4, UniRef:UniRef50_A0A285IW60, UniRef:UniRef90_A0A1K1QMP2
contig_1	cds	17911	18135	-	IOJLKF_00135		hypothetical protein	
contig_1	cds	18354	18584	+	IOJLKF_00140		hypothetical protein	
contig_1	cds	18542	18808	+	IOJLKF_00145		hypothetical protein	
contig_1	cds	18828	18998	-	IOJLKF_00150		hypothetical protein	
contig_1	cds	19140	19385	-	IOJLKF_00155		hypothetical protein	
contig_1	cds	19416	20399	+	IOJLKF_00160		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A1K1RZ13, UniRef:UniRef90_A0A1G5ZJB0
contig_1	cds	20584	20838	-	IOJLKF_00165		hypothetical protein	
contig_1	cds	20869	21432	+	IOJLKF_00170		Glyco-hydro-19-cat domain-containing protein	RefSeq:WP_003198344.1, SO:0001217, UniParc:UPI000180E7DB, UniRef:UniRef100_B5TK83, UniRef:UniRef50_A0A423FIL4, UniRef:UniRef90_F2K8I1
