feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
WOK47005.1	CP133956.1	21:1372:-1	CDS	IS3 family transposase	WOK47005.1	undefined		default	default	0
WOK47004.1	CP133956.1	2443:2622:1	CDS	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	WOK47004.1	undefined		default	default	0
WOK47003.1	CP133956.1	2641:4068:1	CDS	helix-turn-helix domain-containing protein	WOK47003.1	undefined		default	default	0
intron4	CP133956.1	11071:13465:1	tRNA	intron4	intron4	noncoding	tRNA	default	default	0
WOK47002.1	CP133956.1	11580:13358:1	CDS	reverse transcriptase domain-containing protein	gnl_Bakta_DKHKHP_00395	undefined		default	default	0
WOK47001.1	CP133956.1	15420:16079:1	CDS	DNA-binding protein	WOK47001.1	undefined		default	default	0
WOK47000.1	CP133956.1	16229:16444:1	CDS	helix-turn-helix transcriptional regulator	WOK47000.1	undefined		default	default	0
WOK46999.1	CP133956.1	16428:17924:1	CDS	Eco57I restriction-modification methylase domain-containing protein	WOK46999.1	undefined		default	default	0
WOK46998.1	CP133956.1	17917:18837:1	CDS	BsuBI/PstI family type II restriction endonuclease	WOK46998.1	undefined		default	default	0
gnl_Bakta_DKHKHP_00375	MN270259	12:4907:1	CDS	Membrane protein TolA involved in colicin uptake	gnl_Bakta_DKHKHP_00375	undefined		default	default	0
gnl_Bakta_DKHKHP_00380	MN270259	4908:5099:1	CDS	EF-hand domain-containing protein	gnl_Bakta_DKHKHP_00380	undefined		default	default	0
gnl_Bakta_DKHKHP_00385	MN270259	5083:5634:1	CDS	Conjugative transposon protein	gnl_Bakta_DKHKHP_00385	undefined		default	default	0
gnl_Bakta_DKHKHP_00390	MN270259	5683:11145:1	CDS	Adenine-specific DNA methylase, N12 class	gnl_Bakta_DKHKHP_00390	undefined		default	default	0
intron3	MN270259	11148:13530:1	tRNA	intron3	intron3	noncoding	tRNA	default	default	0
gnl_Bakta_DKHKHP_00395	MN270259	11643:13421:1	CDS	Group II intron reverse transcriptase/maturase	gnl_Bakta_DKHKHP_00395	undefined		default	default	0
gnl_Bakta_DKHKHP_00400	MN270259	13559:14902:1	CDS	Helicase C-terminal domain-containing protein	gnl_Bakta_DKHKHP_00400	undefined		default	default	0
gnl_Bakta_DKHKHP_00405	MN270259	14973:15272:1	CDS	Type I site-specific deoxyribonuclease	gnl_Bakta_DKHKHP_00405	undefined		default	default	0
gnl_Bakta_DKHKHP_00410	MN270259	15286:15576:1	CDS	Reductive dehalogenase membrane anchor protein	gnl_Bakta_DKHKHP_00410	undefined		default	default	0
gnl_Bakta_DKHKHP_00415	MN270259	15672:16310:1	CDS	Parvulin-like peptidyl-prolyl isomerase	gnl_Bakta_DKHKHP_00415	undefined		default	default	0
gnl_Bakta_DKHKHP_00420	MN270259	16350:17426:1	CDS	DNA primase	gnl_Bakta_DKHKHP_00420	undefined		default	default	0
