hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
IJVUQRIU_CDS_0201	phanotate	201	598	RT_I_II_III_IV_V_VI_1	8.800e-39	127.300	0.697	0.348	50	257
IJVUQRIU_CDS_0211	phanotate	211	903	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	4.000e-11	36.700	0.655	0.441	473	870
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	5.900e-32	104.900	0.869	0.637	154	442
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	4.900e-32	105.500	0.869	0.628	157	441
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	1.400e-32	107.200	0.897	0.650	153	447
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	2.300e-36	119.700	0.907	0.626	159	442
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	4.300e-40	131.900	0.901	0.626	164	447
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	5.900e-32	104.900	0.869	0.637	154	442
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	4.900e-32	105.500	0.869	0.628	157	441
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	1.400e-32	107.200	0.897	0.650	153	447
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	2.300e-36	119.700	0.907	0.626	159	442
IJVUQRIU_CDS_0254	phanotate	254	454	Retron__RT_Tot	4.300e-40	131.900	0.901	0.626	164	447
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	3.800e-31	102.300	0.862	0.622	175	475
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	4.800e-32	105.100	0.878	0.628	175	478
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	7.500e-37	121.400	0.885	0.622	175	475
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	2.900e-37	122.600	0.888	0.612	179	474
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	8.100e-38	124.400	0.894	0.616	175	472
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	3.300e-43	142.200	0.901	0.618	176	474
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	3.800e-31	102.300	0.862	0.622	175	475
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	4.800e-32	105.100	0.878	0.628	175	478
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	7.500e-37	121.400	0.885	0.622	175	475
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	2.900e-37	122.600	0.888	0.612	179	474
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	8.100e-38	124.400	0.894	0.616	175	472
IJVUQRIU_CDS_0260	phanotate	260	484	Retron__RT_Tot	3.300e-43	142.200	0.901	0.618	176	474
