# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	30	1523	-	GFIOPH_00005		Gp31 protein	KEGG:K06400, RefSeq:WP_077188137.1, SO:0001217, UniParc:UPI000981B542, UniRef:UniRef100_A0A1V2N6J1, UniRef:UniRef50_A0A369RIR1, UniRef:UniRef90_Q9JML1
contig_1	cds	1533	1964	-	GFIOPH_00010		DUF2924 domain-containing protein	RefSeq:WP_077188136.1, SO:0001217, UniParc:UPI000980ED6C, UniRef:UniRef100_A0A1V2N6J9, UniRef:UniRef50_Q73HD1, UniRef:UniRef90_A0A1V2N6J9
contig_1	cds	1999	2463	-	GFIOPH_00015		Ankyrin repeat family protein	RefSeq:WP_077188135.1, SO:0001217, UniParc:UPI000982162C, UniRef:UniRef100_A0A1V2N686, UniRef:UniRef50_A0A178GW61, UniRef:UniRef90_A0A1V2N686
contig_1	cds	2502	3230	-	GFIOPH_00020		Ankyrin repeat family protein	RefSeq:WP_077188134.1, SO:0001217, UniParc:UPI0009812C23, UniRef:UniRef100_A0A1V2N654, UniRef:UniRef50_A0A178GWE9, UniRef:UniRef90_A0A1V2N654
contig_1	cds	3415	4575	-	GFIOPH_00025		Phage tail protein	RefSeq:WP_077188133.1, SO:0001217, UniParc:UPI000981B253, UniRef:UniRef100_A0A1V2N690, UniRef:UniRef50_Q73HC8, UniRef:UniRef90_A0A1V2N690
contig_1	cds	4575	5369	-	GFIOPH_00030		Baseplate J-like family protein	RefSeq:WP_077188132.1, SO:0001217, UniParc:UPI0009817ECA, UniRef:UniRef100_A0A1V2N6C7, UniRef:UniRef50_Q4E9A8, UniRef:UniRef90_A0A1V2N6C7
contig_1	cds	5372	5707	-	GFIOPH_00035		Lysozyme family protein	KEGG:K06903, RefSeq:WP_077188131.1, SO:0001217, UniParc:UPI000981AAF7, UniRef:UniRef100_A0A1V2N657, UniRef:UniRef50_L0R7M5, UniRef:UniRef90_A0A1V2N657
contig_1	cds	5729	5983	-	GFIOPH_00040		PAAR domain-containing protein	RefSeq:WP_077188130.1, SO:0001217, UniParc:UPI0009824BE0, UniRef:UniRef100_A0A1V2N693, UniRef:UniRef50_Q73I95, UniRef:UniRef90_A0A4Y6URG0
contig_1	cds	5989	6453	-	GFIOPH_00045		Phage baseplate assembly protein V family protein	RefSeq:WP_077188129.1, SO:0001217, UniParc:UPI0009812CA3, UniRef:UniRef100_A0A1V2N652, UniRef:UniRef50_A0A3B0IVR8, UniRef:UniRef90_A0A1V2N652
contig_1	cds	6440	6913	-	GFIOPH_00050		Phage related protein	RefSeq:WP_077188128.1, SO:0001217, UniParc:UPI00098109CB, UniRef:UniRef100_A0A1V2N6I4, UniRef:UniRef50_Q73I96, UniRef:UniRef90_A0A1V2N6I4
contig_1	cds	6910	7410	-	GFIOPH_00055		Phage tail protein	RefSeq:WP_077188127.1, SO:0001217, UniParc:UPI000981DEE9, UniRef:UniRef100_A0A1V2N6H7, UniRef:UniRef50_A0A1V2N6H7, UniRef:UniRef90_A0A1V2N6H7
contig_1	cds	7412	7717	-	GFIOPH_00060		Phage related protein	RefSeq:WP_077188126.1, SO:0001217, UniParc:UPI000981F538, UniRef:UniRef100_A0A1V2N679, UniRef:UniRef50_M9WS37, UniRef:UniRef90_A0A6C1U2A4
contig_1	ncRNA	7742	7829	+	GFIOPH_00065	WsnRNA59	Wolbachia sRNA 59	RFAM:RF02626, SO:0000655
