#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)

COLOR	#3186f5

WIDTH	100

DATA

CP023686	40.858
GU339467	53.332
MF417929	32.618
MH616963	94.878
MH552500	90.023
BK010471	97.065
AC171169	104.373
LR797314	36.306
MW175890	150.892
KT997847	33.961
AP013549	41.987
AP013548	43.698
AP013547	43.552
AP013546	42.127
AP013545	41.803
AP013544	40.564
AP013543	37.553
AP013542	42.564
AP013541	42.399
AP013540	40.866
AP013539	43.444
AP013538	44.705
CP052639	32.368
LR756511	595.163
LR756508	484.177
LR756504	636.363
LR756503	735.411
LR756502	642.428
LR756501	735.411
LR756500	462.018
LR745208	485.034
LR745206	634.78
AY576273	63.649
MN335248	7.045
CP023680	36.494
CP038625	33.626
MK250029	540.217
MK250028	550.053
MK250027	551.627
MK250026	550.702
MK250025	546.689
MK250024	543.529
MK250023	550.552
MK250022	546.746
MK250021	549.839
MK250020	547.991
MK250019	541.299
MK250018	541.644
MK250017	541.724
MK250016	541.643
MK250015	541.664
KX397280	45.26
AY319521	35.155
CP019275	37.446
MG592615	10.611
MG592455	10.046
MG592427	10.272
MG592402	10.636
MG592394	10.579
MF361639	9.174
FPLJ01000048	11.707
CP006891	36.892
AF143772	71.286
GU943031	10.313
CP014526	32.967
JX625144	3.405
HM208303	57.677
HQ633062	47.375
AGRM01000002	691.452
AGRM01000003	582.17
AGRM01000004	164.069
AGRM01000005	501.204
AFYI01000001	289.658
AFYI01000003	515.361
AFYI01000004	98.345
AFYI01000005	156.246
AFYI01000006	48.712
AFYI01000007	501.19
AB571791	127.71
HM066936	3.762
GU943068	14.714
GU943054	20.43
AF334111	4.268
AF059242	4.215
DQ836063	3.573
OR453399	42.921
OR453398	43.965
OR453397	43.965
OR777152	39.563
OR777151	38.789
OR420753	38.171
OR420749	39.088
OR420741	41.088
OR354861	229.874
OR354860	88.481
OR354859	17.427
OR354858	18.397
OR354857	25.977
OR354856	18.246
OR354855	17.85
OR354854	19.197
OR354853	18.262
OR354852	18.297
OR354851	18.319
OR354850	46.187
OR354849	44.592
OR354848	41.438
