locus_tag	ftype	length_bp	gene	EC_number	COG	product
MK448781_00001	CDS	1080				unannotated protein
MK448781_00002	CDS	204				unannotated protein
MK448781_00003	CDS	558				unannotated protein
MK448781_00004	CDS	798				unannotated protein
MK448781_00005	CDS	144				unannotated protein
MK448781_00006	CDS	225				unannotated protein
MK448781_00007	CDS	159				unannotated protein
MK448781_00008	CDS	189				unannotated protein
MK448781_00009	CDS	807				unannotated protein
MK448781_00010	CDS	192				unannotated protein
MK448781_00011	CDS	804				unannotated protein
MK448781_00012	CDS	144				unannotated protein
MK448781_00013	CDS	231				unannotated protein
MK448781_00014	CDS	225				unannotated protein
MK448781_00015	CDS	861				unannotated protein
MK448781_00016	CDS	234				unannotated protein
MK448781_00017	CDS	255				unannotated protein
MK448781_00018	CDS	483				unannotated protein
MK448781_00019	CDS	675				unannotated protein
MK448781_00020	CDS	417				unannotated protein
MK448781_00021	CDS	177				unannotated protein
MK448781_00022	CDS	1320				unannotated protein
MK448781_00023	CDS	204				unannotated protein
MK448781_00024	CDS	477				unannotated protein
MK448781_00025	CDS	348				unannotated protein
MK448781_00026	CDS	303				unannotated protein
MK448781_00027	CDS	132				unannotated protein
MK448781_00028	CDS	417				unannotated protein
MK448781_00029	CDS	165				unannotated protein
MK448781_00030	CDS	270				unannotated protein
MK448781_00031	CDS	333				unannotated protein
MK448781_00032	CDS	132				unannotated protein
MK448781_00033	CDS	534				unannotated protein
MK448781_00034	CDS	267				unannotated protein
MK448781_00035	CDS	426				unannotated protein
MK448781_00036	CDS	420				unannotated protein
MK448781_00037	CDS	357				unannotated protein
MK448781_00038	CDS	1269				unannotated protein
MK448781_00039	CDS	1221				unannotated protein
MK448781_00040	CDS	189				unannotated protein
MK448781_00041	CDS	1416				unannotated protein
MK448781_00042	CDS	465				unannotated protein
MK448781_00043	CDS	903				unannotated protein
MK448781_00044	CDS	216				unannotated protein
MK448781_00045	CDS	432				unannotated protein
MK448781_00046	CDS	339				unannotated protein
MK448781_00047	CDS	237				unannotated protein
MK448781_00048	CDS	336				unannotated protein
MK448781_00049	CDS	558				unannotated protein
MK448781_00050	CDS	246				unannotated protein
MK448781_00051	CDS	372				unannotated protein
MK448781_00052	CDS	2013				unannotated protein
MK448781_00053	CDS	1521				unannotated protein
MK448781_00054	CDS	4125				unannotated protein
MK448781_00055	CDS	2007				unannotated protein
MK448781_00056	CDS	330				unannotated protein
MK448781_00057	CDS	213				unannotated protein
MK448781_00058	CDS	303				unannotated protein
MK448781_00059	CDS	336				unannotated protein
MK448781_00060	CDS	720				unannotated protein
MK448781_00061	CDS	972				unannotated protein
MK448781_00062	CDS	201				unannotated protein
MK448781_00063	CDS	171				unannotated protein
MK448781_00064	CDS	180				unannotated protein
