# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	30	158	+	HOJJEM_00005		hypothetical protein	
contig_1	cds	155	340	+	HOJJEM_00010		Helix-turn-helix DNA binding domain protein	SO:0001217, UniParc:UPI000864D793, UniRef:UniRef100_A0A249XSW6, UniRef:UniRef50_V5UQP2, UniRef:UniRef90_G3MCF3
contig_1	cds	337	591	+	HOJJEM_00015		DUF3475 domain-containing protein	SO:0001217, UniParc:UPI00052A1547, UniRef:UniRef100_A0A0A0RLZ9, UniRef:UniRef90_E0YPQ9
contig_1	cds	588	815	+	HOJJEM_00020		N-acetylmuramoyl-L-alanine amidase	SO:0001217, UniParc:UPI0001E13086, UniRef:UniRef100_G3MCF5, UniRef:UniRef50_U0EJ48, UniRef:UniRef90_A0A0F6WEZ4
contig_1	tRNA	864	936	+	HOJJEM_00025	trnW	tRNA-Trp(cca)	SO:0000271
contig_1	cds	1040	1243	+	HOJJEM_00030		Small CPxCG-related zinc finger protein	SO:0001217, UniParc:UPI0001E13087, UniRef:UniRef100_A0A0A0RMA8, UniRef:UniRef90_E0YPR1
contig_1	cds	1236	1463	+	HOJJEM_00035		Terminase small subunit	SO:0001217, UniParc:UPI000322D9D2, UniRef:UniRef100_E0YQG9, UniRef:UniRef50_V5URI1, UniRef:UniRef90_E0YQG9
contig_1	cds	1447	2868	+	HOJJEM_00040		Terminase	SO:0001217, UniRef:UniRef50_R7WUV4, UniRef:UniRef90_E0YQH0
contig_1	cds	2865	4433	+	HOJJEM_00045		Portal protein	SO:0001217, UniRef:UniRef50_V5UP06, UniRef:UniRef90_G3MCF9
contig_1	cds	4378	6948	+	HOJJEM_00050		MuF-like minor capsid protein	SO:0001217, UniRef:UniRef50_A0A0B5A351, UniRef:UniRef90_G3MCG0
contig_1	cds	6945	7133	+	HOJJEM_00055		Helix-turn-helix DNA binding domain protein	SO:0001217, UniRef:UniRef50_A0A059VH57, UniRef:UniRef90_A0A2D2W3X8
contig_1	cds	7167	7709	+	HOJJEM_00060		hypothetical protein	
contig_1	cds	7785	8717	+	HOJJEM_00065		Major capsid protein	SO:0001217, UniRef:UniRef50_V5UQQ3
contig_1	cds	8829	9209	+	HOJJEM_00070		Head-to-tail adaptor	SO:0001217, UniRef:UniRef50_A0A1W9Y1S4
contig_1	cds	9209	9562	+	HOJJEM_00075		Head-to-tail stopper	SO:0001217, UniRef:UniRef50_Q9ZX66, UniRef:UniRef90_E0YQH7
contig_1	cds	9543	9824	+	HOJJEM_00080		Head-to-tail connector protein	SO:0001217, UniRef:UniRef50_V5UPT4, UniRef:UniRef90_A0A068F9A8
contig_1	cds	9821	10240	+	HOJJEM_00085		Tail terminator	SO:0001217, UniRef:UniRef50_Q9ZX64, UniRef:UniRef90_G3MCG7
contig_1	cds	10345	10956	+	HOJJEM_00090		Major tail protein	SO:0001217, UniParc:UPI00052A344A, UniRef:UniRef100_A0A0A0RN76, UniRef:UniRef90_E0YPS3
contig_1	cds	11080	11526	+	HOJJEM_00095		Tail assembly chaperone	SO:0001217, UniRef:UniRef50_A0A5J6TTA6
contig_1	cds	11937	15770	+	HOJJEM_00100		Tape measure protein	SO:0001217, UniRef:UniRef50_A0A222ZNL9, UniRef:UniRef90_E0YQI3
contig_1	cds	15870	17006	+	HOJJEM_00105		Minor tail protein	SO:0001217, UniRef:UniRef50_V5URJ2, UniRef:UniRef90_A0A5J6TKY5
contig_1	cds	17007	18773	+	HOJJEM_00110		Minor tail protein	SO:0001217, UniRef:UniRef50_A0A0F5MVB4, UniRef:UniRef90_A0A5J6TVY3
contig_1	cds	18773	19249	+	HOJJEM_00115		Minor tail protein	SO:0001217, UniRef:UniRef50_A0A076G4U6
