# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
OQ555808             -          A.v.I2               -                2    1852   59511   61403   59510   61411   62663    +       3e-95  327.8 102.4  Mycobacterium phage Nanz197, complete genome.
MT835550             -          A.v.I2               -              567    1210   10367   11034   10344   11060   34009    +     2.2e-18   73.2  13.2  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
MK448228             -          A.v.I2               -              696    1181    1960    1466    1982    1443   46342    -     1.9e-13   56.9   9.0  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          A.v.I2               -              696    1180   41194   41687   41172   41710   46650    +     2.1e-13   56.8   9.0  Escherichia phage vB_EcoS-716R3, partial genome.
ON470608             -          A.v.I2               -              696    1180    5457    4964    5479    4941   46651    -     5.7e-13   55.3   8.8  Escherichia phage vB_EcoS-733R5, complete genome.
KT887559             -          A.v.I2               -              656    1211    1337    1904    1287    1925   32637    +       2e-10   46.8  11.2  Pseudomonas phage phi3, complete genome.
NC_030940            -          A.v.I2               -              656    1211    1337    1904    1287    1925   32637    +       2e-10   46.8  11.2  Pseudomonas phage phi3, complete genome.
LC727904             -          A.v.I2               -              618    1164    6090    5532    6113    5509   60207    -     4.3e-10   45.7   4.1  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
AFYI01000007         -          A.v.I2               -               21     104  178160  178077  178171  178057  501190    -     0.00066   25.3   3.2  Salmonella enterica subsp. enterica serovar Infantis str. SARB27 SEENIN0B_Contig0.7, whole genome shotgun sequence.
KT898134             -          A.v.I2               -              686    1217   37716   38244   37695   38266   60012    +      0.0009   24.8   9.8  Aeromonas phage phiARM81mr, complete genome.
MT836320             -          A.v.I2               -                2     194   10510   10698   10509   10719   11107    +      0.0081   21.7   4.0  UNVERIFIED: Bacteriophage sp. clone scaffold_1927 genomic sequence.
EU982300             -          A.v.I2               -             1418    1852    5401    5874    5381    5880   22689    +       0.031   19.7   8.7  Pseudomonas phage DVM-2008, genomic sequence.
MT836027             -          A.v.I2               -              704    1179    8734    8244    8754    8221   13768    -       0.036   19.5   8.5  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
MT836484             -          A.v.I2               -              112     269   12052   12212   12021   12233   13522    +        0.46   15.9   5.4  UNVERIFIED: Bacteriophage sp. clone scaffold_2312 genomic sequence.
MK770411             -          A.v.I2               -              775    1051   15565   15801   15543   15821   52438    +         3.7   12.9   0.5  Salmonella phage SE13, complete genome.
NC_048763            -          A.v.I2               -              775    1051   15565   15801   15543   15821   52438    +         3.7   12.9   0.5  Salmonella phage SE13, complete genome.
KM366099             -          A.v.I2               -              775    1051   11895   12131   11872   12147   52437    +           8   11.7   0.4  Salmonella phage BP63, complete genome.
NC_031250            -          A.v.I2               -              775    1051   11895   12131   11872   12147   52437    +           8   11.7   0.4  Salmonella phage BP63, complete genome.
OQ555808             -          Ac.ca.I1             -                2    1924   59511   61395   59510   61409   62663    +     2.4e-59  208.2 101.1  Mycobacterium phage Nanz197, complete genome.
MT836027             -          Ac.ca.I1             -              777    1275    8733    8222    8753    8201   13768    -     1.8e-10   46.2   9.8  UNVERIFIED: Bacteriophage sp. clone scaffold_1234 genomic sequence.
LC727904             -          Ac.ca.I1             -              684    1241    6096    5527    6117    5506   60207    -     6.2e-10   44.5   3.8  StxXX-converting phage Stx1_JNE110649 DNA, complete genome.
EU982300             -          Ac.ca.I1             -             1616    1916    5530    5857    5466    5877   22689    +     2.4e-08   39.2   5.1  Pseudomonas phage DVM-2008, genomic sequence.
ON470608             -          Ac.ca.I1             -              677    1288    5548    4910    5600    4888   46651    -     3.7e-08   38.6  11.2  Escherichia phage vB_EcoS-733R5, complete genome.
MK448228             -          Ac.ca.I1             -              677    1288    2051    1413    2104    1391   46342    -     6.7e-08   37.8  11.3  Klebsiella phage ST15-VIM1phi2.1, complete genome.
ON470622             -          Ac.ca.I1             -              677    1288   41103   41741   41051   41763   46650    +     7.1e-08   37.7  11.4  Escherichia phage vB_EcoS-716R3, partial genome.
MT835550             -          Ac.ca.I1             -              632    1257   10360   10988   10338   11051   34009    +     9.6e-07   33.9  12.0  UNVERIFIED: Bacteriophage sp. clone scaffold_153 genomic sequence.
KT887559             -          Ac.ca.I1             -              781    1240    1387    1834    1363    1862   32637    +     2.4e-05   29.3   7.5  Pseudomonas phage phi3, complete genome.
NC_030940            -          Ac.ca.I1             -              781    1240    1387    1834    1363    1862   32637    +     2.4e-05   29.3   7.5  Pseudomonas phage phi3, complete genome.
EU982300             -          Ac.ca.I1             -               21     248    5212    5433    5195    5449   22689    +     0.00015   26.7  11.4  Pseudomonas phage DVM-2008, genomic sequence.
MK448731             -          Ac.ca.I1             -              643    1209   13067   13636   13043   13666   35793    +     0.00017   26.5  34.7  Streptococcus phage Javan33, complete genome.
MK448781             -          Ac.ca.I1             -              643    1209   10701   11270   10677   11300   40382    +     0.00017   26.5  34.7  Streptococcus phage Javan5, complete genome.
MK448888             -          Ac.ca.I1             -              643    1209   11039   11608   11015   11638   33765    +     0.00017   26.5  34.7  Streptococcus phage Javan26, complete genome.
