# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1434	-	DMKPJM_00005	cscA	sucrose-6-phosphate hydrolase	BlastRules:WP_001578726, COG:COG1621, COG:G, EC:3.2.1.26, GO:0004564, GO:0005737, GO:0005985, RefSeq:WP_000194515.1, SO:0001217, UniParc:UPI00000AF568, UniRef:UniRef100_A0A854P8X4, UniRef:UniRef50_P16553, UniRef:UniRef90_P40714
contig_1	cds	1650	2564	+	DMKPJM_00010	cscK	aminoimidazole riboside kinase	COG:COG0524, COG:G, EC:2.7.1.4, GO:0005524, GO:0008865, RefSeq:WP_001274887.1, SO:0001217, UniParc:UPI00005EEA3E, UniRef:UniRef100_P40713, UniRef:UniRef50_P26420, UniRef:UniRef90_P40713
contig_1	cds	2636	3883	+	DMKPJM_00015	cscB	Sucrose permease	GO:0005351, GO:0005886, GO:0005985, RefSeq:WP_001197023.1, SO:0001217, UniParc:UPI000178A6CC, UniRef:UniRef100_A0A066RJN6, UniRef:UniRef50_P30000, UniRef:UniRef90_P30000
contig_1	cds	4168	4299	+	DMKPJM_00020		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A376U5Q2, UniRef:UniRef90_A0A376U5Q2
contig_1	tRNA	4325	4399	-	DMKPJM_00025	trnR	tRNA-Arg(cct)	SO:0001036
contig_1	cds	4439	5764	+	DMKPJM_00030		Integrase	SO:0001217, UniRef:UniRef50_B6DZS1, UniRef:UniRef90_A0A2Z2FBU9
contig_1	cds	5795	6655	+	DMKPJM_00035		Membrane associated protein	RefSeq:WP_032412855.1, SO:0001217, UniParc:UPI00044910D5, UniRef:UniRef100_A0A7A9WWJ9, UniRef:UniRef50_A0A7A9WWJ9, UniRef:UniRef90_A0A7A9WWJ9
contig_1	cds	6753	6938	-	DMKPJM_00040		DNA-binding protein	RefSeq:WP_077254201.1, SO:0001217, UniParc:UPI0009835437, UniRef:UniRef100_A0A7A9LE51, UniRef:UniRef50_A0A1Q5VCQ9, UniRef:UniRef90_A0A7A9LE51
contig_1	cds	6946	7503	-	DMKPJM_00045		DUF550 domain-containing protein	SO:0001217, UniParc:UPI000A6239DA, UniRef:UniRef100_A0A768ECX2, UniRef:UniRef50_A0A7U7F6C4, UniRef:UniRef90_A0A768ECX2
contig_1	cds	7496	7840	-	DMKPJM_00050		Phage protein	RefSeq:WP_032412852.1, SO:0001217, UniParc:UPI00044DAD17, UniRef:UniRef100_A0A768ECZ4, UniRef:UniRef50_A0A0A1AEG2, UniRef:UniRef90_A0A7M3GED7
contig_1	cds	7837	7971	-	DMKPJM_00055		RDD family protein	SO:0001217, UniRef:UniRef50_W9B7L7, UniRef:UniRef90_W9B7L7
contig_1	cds	7968	8753	-	DMKPJM_00060		HTH-ParB domain-containing protein	RefSeq:WP_106466476.1, SO:0001217, UniParc:UPI000792FE9F, UniRef:UniRef100_A0A7A9WUL5, UniRef:UniRef50_A0A0H3HEC4, UniRef:UniRef90_A0A8F7FZW7
contig_1	cds	8753	9052	-	DMKPJM_00065		Phage protein	RefSeq:WP_101984339.1, SO:0001217, UniParc:UPI0007934512, UniRef:UniRef100_A0A7A9LHU5, UniRef:UniRef50_A0A377ZCR1, UniRef:UniRef90_A0A377ZCR1
contig_1	cds	9599	10246	-	DMKPJM_00070	lexA	LexA repressor	SO:0001217, UniParc:UPI00050C4A8E, UniRef:UniRef100_A0A8F6FX11, UniRef:UniRef50_A0A064E358, UniRef:UniRef90_A0A090V113
contig_1	cds	10351	10548	+	DMKPJM_00075	dicC	DNA-binding transcriptional regulator DicC	RefSeq:WP_016530206.1, SO:0001217, UniParc:UPI000352846A, UniRef:UniRef100_A0A0J0HS90, UniRef:UniRef50_P09964, UniRef:UniRef90_A0A8B3K0X2
contig_1	cds	10574	11035	+	DMKPJM_00080		Phage protein	RefSeq:WP_004213338.1, SO:0001217, UniParc:UPI0002B554A9, UniRef:UniRef100_A0A1X9TP09, UniRef:UniRef50_A0A0H3FFM0, UniRef:UniRef90_A0A378G3Y9
contig_1	cds	11231	11578	-	DMKPJM_00085		UDP-Glycosyltransferase superfamily protein	SO:0001217, UniRef:UniRef50_A0A482MEJ1, UniRef:UniRef90_A0A482MEJ1
contig_1	cds	11738	12079	-	DMKPJM_00090		hypothetical protein	
contig_1	cds	12422	13231	+	DMKPJM_00095		Site-specific DNA-methyltransferase (adenine-specific)	RefSeq:WP_106466474.1, SO:0001217, UniParc:UPI000CC29A69, UniRef:UniRef100_A0A768AAN1, UniRef:UniRef50_A0A8T6A909, UniRef:UniRef90_W9BGJ5
contig_1	cds	13430	13618	+	DMKPJM_00100		Crossover junction endodeoxyribonuclease	EC:3.1.21.10, KEGG:K01160, SO:0001217, UniRef:UniRef50_A0A377ZE17, UniRef:UniRef90_A0A377ZE17
contig_1	cds	13631	14611	+	DMKPJM_00105		DUF968 domain-containing protein	RefSeq:WP_094354717.1, SO:0001217, UniParc:UPI000797F8B8, UniRef:UniRef100_A0A7A9KGI2, UniRef:UniRef50_E0LWA0, UniRef:UniRef90_W9B8A7
contig_1	cds	14626	14988	+	DMKPJM_00110		Antitermination protein Q	RefSeq:WP_040088784.1, SO:0001217, UniParc:UPI0003DBC32B, UniRef:UniRef100_A0A7A9L267, UniRef:UniRef50_A0A0F7H684, UniRef:UniRef90_A0A0L0GHJ2
contig_1	cds	15011	15379	-	DMKPJM_00115	mgtE	MgtE domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7A9RX80, UniRef:UniRef90_A0A7A9RX80
contig_1	cds	15458	16399	-	DMKPJM_00120	whiA	DNA-binding protein WhiA	RefSeq:WP_048270903.1, SO:0001217, UniParc:UPI000650131B, UniRef:UniRef100_UPI000650131B, UniRef:UniRef50_A0A377ZCS7, UniRef:UniRef90_A0A377ZCS7
