#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	18521	18874	+	JEDAHN_00095	14.2	5.2		RefSeq:WP_198091437.1, SO:0001217, UniParc:UPI0018DE4C4E, UniRef:UniRef100_UPI0018DE4C4E, UniRef:UniRef50_UPI0018DE4C4E, UniRef:UniRef90_UPI0018DE4C4E
contig_1	27222	27593	+	JEDAHN_00140	14.9	8.9		RefSeq:WP_003380550.1, SO:0001217, UniParc:UPI00005DB4ED, UniRef:UniRef100_Q332J5, UniRef:UniRef50_Q332J5, UniRef:UniRef90_Q332J5
contig_1	42511	42609	+	JEDAHN_00240	3.6	10.0		
contig_1	61097	61519	+	JEDAHN_00350	16.7	9.8		RefSeq:WP_003381374.1, SO:0001217, UniParc:UPI00005DB515, UniRef:UniRef100_Q332F5, UniRef:UniRef50_Q332F5, UniRef:UniRef90_Q332F5
contig_1	85671	85895	+	JEDAHN_00475	8.7	9.8		RefSeq:WP_003379430.1, SO:0001217, UniParc:UPI00005DB529, UniRef:UniRef100_Q332C9, UniRef:UniRef50_Q332C9, UniRef:UniRef90_Q332C9
contig_1	100207	100755	-	JEDAHN_00545	21.6	6.8		RefSeq:WP_003379866.1, SO:0001217, UniParc:UPI00005DB537, UniRef:UniRef100_Q332B5, UniRef:UniRef50_Q332B5, UniRef:UniRef90_Q332B5
contig_1	100897	101073	-	JEDAHN_00550	7.1	9.5		RefSeq:WP_003379865.1, SO:0001217, UniParc:UPI00005DB538, UniRef:UniRef100_Q332B4, UniRef:UniRef50_Q332B4, UniRef:UniRef90_Q332B4
contig_1	111537	111854	-	JEDAHN_00625	11.9	10.1		RefSeq:WP_015978987.1, SO:0001217, UniParc:UPI00005DB545, UniRef:UniRef100_Q332A1, UniRef:UniRef50_Q332A1, UniRef:UniRef90_Q332A1
contig_1	135970	136128	-	JEDAHN_00740	6.0	9.4		RefSeq:WP_198091426.1, SO:0001217, UniParc:UPI0018DB7F05, UniRef:UniRef100_Q331Y1, UniRef:UniRef50_Q331Y1, UniRef:UniRef90_Q331Y1
contig_1	139619	140014	-	JEDAHN_00765	15.9	5.9		RefSeq:WP_003377609.1, SO:0001217, UniParc:UPI00005DB55C, UniRef:UniRef100_Q331X7, UniRef:UniRef50_Q331X7, UniRef:UniRef90_Q331X7
contig_1	144273	144563	-	JEDAHN_00795	11.5	5.7		RefSeq:WP_015979002.1, SO:0001217, UniParc:UPI00005DB563, UniRef:UniRef100_Q331X0, UniRef:UniRef50_Q331X0, UniRef:UniRef90_Q331X0
contig_1	145361	146200	-	JEDAHN_00805	32.7	5.6		RefSeq:WP_003378372.1, SO:0001217, UniParc:UPI00005DB565, UniRef:UniRef100_Q331W8, UniRef:UniRef50_Q331W8, UniRef:UniRef90_Q331W8
contig_1	148631	149047	-	JEDAHN_00825	16.5	4.3		RefSeq:WP_003378362.1, SO:0001217, UniParc:UPI00005DB569, UniRef:UniRef100_A0A6B5A6R5, UniRef:UniRef50_A0A6B5A6R5, UniRef:UniRef90_A0A6B5A6R5
contig_1	152964	153110	-	JEDAHN_00850	5.7	9.8		
contig_1	167951	168265	-	JEDAHN_00925	12.3	6.6		RefSeq:WP_015979009.1, SO:0001217, UniParc:UPI00005DB577, UniRef:UniRef100_Q331U6, UniRef:UniRef50_Q331U6, UniRef:UniRef90_Q331U6
contig_1	175423	175602	-	JEDAHN_00965	6.8	9.4		RefSeq:WP_003378799.1, SO:0001217, UniParc:UPI00005DB57E, UniRef:UniRef100_Q331T9, UniRef:UniRef50_Q331T9, UniRef:UniRef90_Q331T9
