# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	64	522	+	IDGBMA_00005		Virion protein	SO:0001217, UniParc:UPI0007DCDB73, UniRef:UniRef100_A0A172JI28, UniRef:UniRef50_A0A172JI28, UniRef:UniRef90_A0A172JI28
contig_1	cds	542	1183	+	IDGBMA_00010		Merozoite surface protein 7	SO:0001217, UniParc:UPI0007DDD9FB, UniRef:UniRef100_A0A172JI22, UniRef:UniRef50_A0A172JI22, UniRef:UniRef90_A0A172JI22
contig_1	cds	1295	2890	+	IDGBMA_00015		Precursor of major head subunit	SO:0001217, UniParc:UPI0007DCC240, UniRef:UniRef100_A0A172JI24, UniRef:UniRef50_A0A172JI24, UniRef:UniRef90_A0A172JI24
contig_1	cds	2957	3928	+	IDGBMA_00020		Capsid maturation protease	SO:0001217, UniParc:UPI000B9D635F, UniRef:UniRef100_A0A223LC72, UniRef:UniRef50_A0A223LC72, UniRef:UniRef90_A0A223LC72
contig_1	cds	3963	4151	-	IDGBMA_00025		Troponin C	SO:0001217, UniParc:UPI000B9D598A, UniRef:UniRef100_A0A223LCX2, UniRef:UniRef50_A0A223LCX2, UniRef:UniRef90_A0A223LCX2
contig_1	cds	4285	4998	-	IDGBMA_00030		RNA-pol-A-CTD domain-containing protein	SO:0001217, UniParc:UPI0007DDA13A, UniRef:UniRef100_A0A172JI21, UniRef:UniRef50_A0A172JI21, UniRef:UniRef90_A0A172JI21
contig_1	cds	5105	5710	+	IDGBMA_00035		Terminase large subunit	SO:0001217, UniParc:UPI000B9D6D07, UniRef:UniRef100_A0A172JI17, UniRef:UniRef50_A0A172JI17, UniRef:UniRef90_A0A172JI17
contig_1	cds	7092	8306	+	IDGBMA_00040		Terminase large subunit	SO:0001217, UniParc:UPI000B9D5F92, UniRef:UniRef100_A0A223LE99, UniRef:UniRef50_A0A223LE99, UniRef:UniRef90_A0A223LE99
contig_1	cds	8416	9186	+	IDGBMA_00045		NOSIC domain-containing protein	SO:0001217, UniParc:UPI000B9D68EF, UniRef:UniRef100_A0A223LD04, UniRef:UniRef50_A0A223LD04, UniRef:UniRef90_A0A223LD04
contig_1	cds	9207	9917	+	IDGBMA_00050		CRISPR type III A-associated protein Csm2	SO:0001217, UniParc:UPI0007DCF761, UniRef:UniRef100_A0A172JI37, UniRef:UniRef50_A0A172JI37, UniRef:UniRef90_A0A172JI37
contig_1	cds	10012	10758	+	IDGBMA_00055		Virion protein	SO:0001217, UniParc:UPI0007DDA454, UniRef:UniRef100_A0A172JI38, UniRef:UniRef50_A0A172JI38, UniRef:UniRef90_A0A172JI38
