locus_tag	ftype	length_bp	gene	EC_number	COG	product
NC_030940_00001	CDS	1686				unannotated protein
NC_030940_00002	tRNA	77				tRNA-Met(cat)
NC_030940_00003	CDS	240				unannotated protein
NC_030940_00004	CDS	231				unannotated protein
NC_030940_00005	CDS	2691				unannotated protein
NC_030940_00006	CDS	402				unannotated protein
NC_030940_00007	CDS	348				unannotated protein
NC_030940_00008	CDS	360				unannotated protein
NC_030940_00009	CDS	267				unannotated protein
NC_030940_00010	CDS	246				unannotated protein
NC_030940_00011	CDS	231				unannotated protein
NC_030940_00012	CDS	279				unannotated protein
NC_030940_00013	CDS	210				unannotated protein
NC_030940_00014	CDS	828				unannotated protein
NC_030940_00015	CDS	2049				unannotated protein
NC_030940_00016	CDS	954				unannotated protein
NC_030940_00017	CDS	1023				unannotated protein
NC_030940_00018	CDS	735				unannotated protein
NC_030940_00019	CDS	462				unannotated protein
NC_030940_00020	CDS	438				unannotated protein
NC_030940_00021	CDS	666				unannotated protein
NC_030940_00022	CDS	1116				unannotated protein
NC_030940_00023	CDS	450				unannotated protein
NC_030940_00024	CDS	210				unannotated protein
NC_030940_00025	CDS	255				unannotated protein
NC_030940_00026	CDS	462				unannotated protein
NC_030940_00027	CDS	486				unannotated protein
NC_030940_00028	CDS	288				unannotated protein
NC_030940_00029	CDS	141				unannotated protein
NC_030940_00030	CDS	2055				unannotated protein
NC_030940_00031	CDS	321				unannotated protein
NC_030940_00032	CDS	1173				unannotated protein
NC_030940_00033	CDS	525				unannotated protein
NC_030940_00034	CDS	1965				unannotated protein
NC_030940_00035	CDS	711				unannotated protein
NC_030940_00036	CDS	921				unannotated protein
NC_030940_00037	CDS	540				unannotated protein
NC_030940_00038	CDS	699				unannotated protein
NC_030940_00039	CDS	972				unannotated protein
NC_030940_00040	CDS	405				unannotated protein
NC_030940_00041	CDS	183				unannotated protein
