hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	1.300e-31	104.100	0.782	0.502	198	448
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	8.000e-33	107.800	0.811	0.548	196	469
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	9.300e-36	117.800	0.946	0.638	173	491
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	4.300e-36	118.800	0.872	0.592	193	488
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	2.300e-39	129.600	0.804	0.518	195	453
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	1.300e-31	104.100	0.782	0.502	198	448
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	8.000e-33	107.800	0.811	0.548	196	469
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	9.300e-36	117.800	0.946	0.638	173	491
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	4.300e-36	118.800	0.872	0.592	193	488
SSNFIDNB_CDS_0021	phanotate	21	500	Retron__RT_Tot	2.300e-39	129.600	0.804	0.518	195	453
