# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1071	-	BGFEHC_00005	fimB	Integrase/recombinase, includes phage integrase	COG:COG0582, COG:LX, RefSeq:WP_000179397.1, SO:0001217, UniParc:UPI00000E2C40, UniRef:UniRef100_Q8DXG6, UniRef:UniRef50_A0A4D6B214, UniRef:UniRef90_A0A0Z8JC60
contig_1	cds	1193	1597	-	BGFEHC_00010		DUF4429 domain-containing protein	RefSeq:WP_001173134.1, SO:0001217, UniParc:UPI00000E2C3F, UniRef:UniRef100_Q8DXG7, UniRef:UniRef50_Q8DXG7, UniRef:UniRef90_Q8DXG7
contig_1	cds	1650	2030	-	BGFEHC_00015		Peptidase-M78 domain-containing protein	RefSeq:WP_000762727.1, SO:0001217, UniParc:UPI0002BBB4AA, UniRef:UniRef100_Q8DXG8, UniRef:UniRef50_Q8DXG8, UniRef:UniRef90_Q8DXG8
contig_1	cds	2037	2399	-	BGFEHC_00020	hipB	Transcriptional regulator, contains XRE-family HTH domain	COG:COG1396, COG:K, RefSeq:WP_000114553.1, SO:0001217, UniParc:UPI00000E2C3D, UniRef:UniRef100_A0A0Z9LVS2, UniRef:UniRef50_A0A0Z9LVS2, UniRef:UniRef90_A0A0Z9LVS2
contig_1	cds	2685	2849	+	BGFEHC_00025		Phage protein	RefSeq:WP_000511144.1, SO:0001217, UniParc:UPI00000E2C3B, UniRef:UniRef100_A0A858QUP7, UniRef:UniRef50_A0A0E3WFV3, UniRef:UniRef90_A0A858QUP7
contig_1	cds	2832	3302	-	BGFEHC_00030		Acetyltransferase	RefSeq:WP_001052630.1, SO:0001217, UniParc:UPI00000E2C3A, UniRef:UniRef100_Q8DXH2, UniRef:UniRef50_Q8DXH2, UniRef:UniRef90_Q8DXH2
contig_1	cds	3363	3572	+	BGFEHC_00035		Conserved domain protein	RefSeq:WP_000082755.1, SO:0001217, UniParc:UPI0002BAFA40, UniRef:UniRef100_Q8DXH3, UniRef:UniRef50_Q8DXH3, UniRef:UniRef90_Q8DXH3
contig_1	cds	3575	4285	+	BGFEHC_00040		Prophage antirepressor	COG:COG3617, COG:X, RefSeq:WP_001002368.1, SO:0001217, UniParc:UPI00000E2C38, UniRef:UniRef100_Q8DXH4, UniRef:UniRef50_A0A3A4MPZ0, UniRef:UniRef90_A0A540UW30
contig_1	cds	4345	4629	+	BGFEHC_00045		DNA-binding protein	RefSeq:WP_000998973.1, SO:0001217, UniParc:UPI0002BA5DDE, UniRef:UniRef100_A0A4D6AY46, UniRef:UniRef50_G5K5I5, UniRef:UniRef90_A0A7G1JKS1
contig_1	cds	4580	4861	+	BGFEHC_00050		Conserved domain protein	SO:0001217, UniRef:UniRef50_Q8DXH7
contig_1	cds	4870	6201	+	BGFEHC_00055	dnaB	replicative DNA helicase	COG:COG0305, COG:L, RefSeq:WP_000343908.1, SO:0001217, UniParc:UPI0002BAF0CC, UniRef:UniRef100_A0A4D6AX62, UniRef:UniRef50_A0A0G9GJB4, UniRef:UniRef90_A0A858QUM1
contig_1	cds	6204	6806	+	BGFEHC_00060		AAA-ATPase-like domain-containing protein	RefSeq:WP_071661720.1, SO:0001217, UniParc:UPI0008FD4493, UniRef:UniRef100_A0A4D6AVN6, UniRef:UniRef50_X8K9W9, UniRef:UniRef90_A0A4D6AVN6
