hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
AAFWKLEG_CDS_0164	phanotate	164	911	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.600e-06	21.000	0.614	0.431	486	878
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	3.500e-32	105.800	0.843	0.567	197	480
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	2.400e-32	106.600	0.808	0.515	198	455
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	1.000e-34	114.500	0.933	0.629	178	492
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	4.300e-36	118.900	0.872	0.583	198	489
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	8.100e-40	131.200	0.808	0.519	197	456
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	3.500e-32	105.800	0.843	0.567	197	480
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	2.400e-32	106.600	0.808	0.515	198	455
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	1.000e-34	114.500	0.933	0.629	178	492
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	4.300e-36	118.900	0.872	0.583	198	489
AAFWKLEG_CDS_0253	phanotate	253	501	Retron__RT_Tot	8.100e-40	131.200	0.808	0.519	197	456
