# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	118	948	+	PGMBIL_00005		hypothetical protein	
contig_1	cds	1366	2289	+	PGMBIL_00010		hypothetical protein	
contig_1	cds	2311	2715	+	PGMBIL_00015		(pseudo) Transposase	SO:0001217, UniRef:UniRef50_A0A1C5LZB0, UniRef:UniRef90_A0A1C5LZB0
contig_1	cds	2680	3792	-	PGMBIL_00020		DUF4366 domain-containing protein	RefSeq:WP_005361100.1, SO:0001217, UniParc:UPI0001561C4B, UniRef:UniRef100_A0A6N2YJJ1, UniRef:UniRef50_N1ZYR3, UniRef:UniRef90_D4LTT6
contig_1	cds	3782	4027	-	PGMBIL_00025		DUF4315 domain-containing protein	RefSeq:WP_040446576.1, SO:0001217, UniParc:UPI0003103ECC, UniRef:UniRef100_A0A6N2YHW7, UniRef:UniRef50_F7K2E2, UniRef:UniRef90_A0A6N2YHW7
contig_1	cds	4046	6724	-	PGMBIL_00030	nlpC	Cell wall-associated hydrolase, NlpC_P60 family	COG:COG0791, COG:M, SO:0001217, UniRef:UniRef50_A0A6N3F8R8, UniRef:UniRef90_UPI001FACC70A
contig_1	cds	6758	6973	-	PGMBIL_00035		Transposase	SO:0001217, UniRef:UniRef50_B9Y5S3, UniRef:UniRef90_UPI001F61376D
contig_1	cds	7153	9036	-	PGMBIL_00040	ltrA	group II intron reverse transcriptase/maturase	EC:2.7.7.49, KEGG:K00986, RefSeq:WP_004452886.1, SO:0001217, UniParc:UPI0001D2D18F, UniRef:UniRef100_A0A367FSN1, UniRef:UniRef50_A0A395XQP4, UniRef:UniRef90_A0A3E3K3T0
contig_1	cds	9043	9138	-	PGMBIL_00045		Transposase	SO:0001217, UniRef:UniRef50_A0A174V2H2, UniRef:UniRef90_A0A174V2H2
contig_1	cds	9769	12021	-	PGMBIL_00050	virB4	Type IV secretory pathway, VirB4 component	COG:COG3451, COG:U, RefSeq:WP_227211632.1, SO:0001217, UniParc:UPI001D098F52, UniRef:UniRef100_UPI001D098F52, UniRef:UniRef50_A0A134AHG4, UniRef:UniRef90_R9MRP8
contig_1	cds	12392	13102	-	PGMBIL_00055		XRE family transcriptional regulator	RefSeq:WP_005361091.1, SO:0001217, UniParc:UPI00015619B0, UniRef:UniRef100_A0A6N2YJ17, UniRef:UniRef50_A0A1Y4FEU5, UniRef:UniRef90_A0A3E2VZM1
contig_1	cds	13135	13692	-	PGMBIL_00060	iME4	N6-adenosine-specific RNA methylase IME4	COG:COG4725, COG:J, RefSeq:WP_005361089.1, SO:0001217, UniParc:UPI00015619AD, UniRef:UniRef100_A0A6N2YJT7, UniRef:UniRef50_A0A0P8W3P8, UniRef:UniRef90_A0A6N2YJT7
