# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	2988	+	JCCBMO_00005		DUF3857 domain-containing protein	SO:0001217, UniParc:UPI001AF78A71, UniRef:UniRef100_A0A856M425, UniRef:UniRef50_A0A7T8EST6, UniRef:UniRef90_A0A856M425
contig_1	cds	3027	4007	+	JCCBMO_00010		Dot/Icm secretion system substrate	SO:0001217, UniParc:UPI001AF26F05, UniRef:UniRef100_A0A856LZD9, UniRef:UniRef50_A0A856LZD9, UniRef:UniRef90_A0A856LZD9
contig_1	cds	4063	5805	-	JCCBMO_00015		Replicative DNA helicase	SO:0001217, UniParc:UPI001AF95D97, UniRef:UniRef100_A0A8B6SXG4, UniRef:UniRef50_A0A7T8ETE7, UniRef:UniRef90_A0A8B6SXG4
contig_1	cds	5830	6972	-	JCCBMO_00020		Metallophosphatase	SO:0001217, UniParc:UPI001AF3B2C3, UniRef:UniRef100_A0A8B6SXG5, UniRef:UniRef50_A0A7T8IXC7, UniRef:UniRef90_A0A7S9XGW8
contig_1	cds	6965	7348	-	JCCBMO_00025		Phage protein	SO:0001217, UniParc:UPI001AF46D3A, UniRef:UniRef100_A0A8B6SXG6, UniRef:UniRef50_A0A7T8IXF1, UniRef:UniRef90_A0A8B6SXG6
contig_1	cds	7354	7830	-	JCCBMO_00030		DUF3846 domain-containing protein	SO:0001217, UniParc:UPI001AF99EE4, UniRef:UniRef100_A0A8B6SXG7, UniRef:UniRef50_A0A7T8IXP3, UniRef:UniRef90_A0A7T7GTD6
contig_1	cds	8176	9075	+	JCCBMO_00035		hypothetical protein	SO:0001217, UniParc:UPI001AF3CDF1, UniRef:UniRef100_A0A8B6SXG8, UniRef:UniRef50_A0A8B6SXG8, UniRef:UniRef90_A0A8B6SXG8
contig_1	cds	9152	14107	+	JCCBMO_00040		Reticulocyte binding protein 2-like protein a	SO:0001217, UniParc:UPI001AF7C2C5, UniRef:UniRef100_A0A8B6SXG9, UniRef:UniRef50_A0A7T7K7N7, UniRef:UniRef90_A0A8B6SXG9
contig_1	cds	14206	19449	+	JCCBMO_00045		Ig-like-bact domain-containing protein	SO:0001217, UniParc:UPI001AF30DAA, UniRef:UniRef100_A0A8B6SXH0, UniRef:UniRef50_A0A8B6SXH0, UniRef:UniRef90_A0A8B6SXH0
contig_1	cds	19562	20221	+	JCCBMO_00050		Conjugal transfer protein	SO:0001217, UniRef:UniRef50_A0A7T8ESY3, UniRef:UniRef90_A0A7T8ESY3
contig_1	cds	20243	21709	+	JCCBMO_00055		Peptidase S74 domain-containing protein	SO:0001217, UniParc:UPI001AF96F8F, UniRef:UniRef100_A0A856M437, UniRef:UniRef50_A0A7S9SV42, UniRef:UniRef90_A0A7S9SV42
contig_1	cds	21783	23093	+	JCCBMO_00060		Endolysin	SO:0001217, UniParc:UPI001AF34530, UniRef:UniRef100_A0A856LZF9, UniRef:UniRef50_A0A7T8ET13, UniRef:UniRef90_A0A7T8ET13
contig_1	cds	23117	23269	+	JCCBMO_00065		Transcriptional regulator	SO:0001217, UniParc:UPI001AF5BE8A, UniRef:UniRef100_A0A8B6SXH2, UniRef:UniRef50_A0A7S9SUU2, UniRef:UniRef90_A0A7T8ET18
contig_1	cds	23269	23601	+	JCCBMO_00070		BON domain-containing protein	SO:0001217, UniParc:UPI001AF8663B, UniRef:UniRef100_A0A8B6SXH3, UniRef:UniRef50_A0A7T8ETR7, UniRef:UniRef90_A0A8B6SXH3
contig_1	cds	24879	26381	+	JCCBMO_00075		Retron-type RNA-directed DNA polymerase	EC:2.7.7.49, KEGG:K00986, SO:0001217, UniParc:UPI001AFA51EE, UniRef:UniRef100_A0A8B6SXH4, UniRef:UniRef50_A0A7S9SVS6, UniRef:UniRef90_A0A8B6SXH4
contig_1	cds	26383	27207	+	JCCBMO_00080		V-type ATP synthase subunit C	SO:0001217, UniParc:UPI001AF0E154, UniRef:UniRef100_A0A8B6SXH5, UniRef:UniRef50_A0A7T7GSW3, UniRef:UniRef90_A0A8B6SXH5
contig_1	cds	27291	28472	+	JCCBMO_00085		Carrier protein	SO:0001217, UniParc:UPI001AF507A5, UniRef:UniRef100_A0A8B6SXH6, UniRef:UniRef50_A0A7S9SVD5, UniRef:UniRef90_A0A7S9SVD5
contig_1	cds	28494	29201	+	JCCBMO_00090	traM	Conjugative transposon protein TraM	SO:0001217, UniParc:UPI001AF64F69, UniRef:UniRef100_A0A8B6SXH7, UniRef:UniRef50_A0A8B6SXH7, UniRef:UniRef90_A0A8B6SXH7
contig_1	cds	29308	30045	+	JCCBMO_00095		Conserved domain protein	SO:0001217, UniParc:UPI001AF38F6E, UniRef:UniRef100_A0A8B6SXH8, UniRef:UniRef50_A0A7S9XHR4, UniRef:UniRef90_A0A8B6SXH8
contig_1	cds	30111	30683	+	JCCBMO_00100		Conserved domain protein	SO:0001217, UniParc:UPI001AF948F0, UniRef:UniRef100_A0A8B6SXH9, UniRef:UniRef50_A0A8B6SXH9, UniRef:UniRef90_A0A8B6SXH9
contig_1	cds	30687	31616	+	JCCBMO_00105		Movement protein	SO:0001217, UniParc:UPI001AF8CB39, UniRef:UniRef100_A0A856M451, UniRef:UniRef50_A0A7S9XGR5, UniRef:UniRef90_A0A856M451
contig_1	cds	31619	32551	+	JCCBMO_00110		Type I site-specific deoxyribonuclease	SO:0001217, UniParc:UPI001AF046B2, UniRef:UniRef100_A0A856LZG6, UniRef:UniRef50_A0A856LZG6, UniRef:UniRef90_A0A856LZG6
contig_1	cds	32625	33956	+	JCCBMO_00115		HNH endonuclease	SO:0001217, UniParc:UPI001AFA27E6, UniRef:UniRef100_A0A8B6SXI0, UniRef:UniRef50_A0A8B6SXI0, UniRef:UniRef90_A0A8B6SXI0
contig_1	cds	33943	34362	+	JCCBMO_00120		Integrase	SO:0001217, UniParc:UPI001AF721F0, UniRef:UniRef100_A0A8B6SXI1, UniRef:UniRef50_A0A8B6SXI1, UniRef:UniRef90_A0A8B6SXI1
contig_1	cds	34385	35926	+	JCCBMO_00125		DNA topoisomerase (ATP-hydrolyzing)	SO:0001217, UniParc:UPI001AF98B84, UniRef:UniRef100_A0A8B6SXI2, UniRef:UniRef50_A0A8B6SXI2, UniRef:UniRef90_A0A8B6SXI2
contig_1	cds	35977	36840	+	JCCBMO_00130		Restriction endonuclease	SO:0001217, UniParc:UPI001AF3A8ED, UniRef:UniRef100_A0A8B6SXI3, UniRef:UniRef50_A0A8B6SXI3, UniRef:UniRef90_A0A8B6SXI3
