intronID,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target,start,end,length,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
EU982300_II_5275,EU982300,-,collapsed_g2,RF00029,cm,1,93,5275,5880,+,no,1,0.6,0.0,39.4,0.0018,!,"Pseudomonas phage DVM-2008, genomic sequence.",5809,5880,71,Pseudomonas phage DVM-2008,Pseudomonas phage DVM-2008 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,22689,False,59.425,DNA,26-JUL-2016,29,96.551724137931,3.44827586206897,84.6886156287188,,0,Pseudomonas,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Pseudomonas fluorescens Q8r1-96
HQ906664_II_21103,HQ906664,-,group-II-D1D4-2,RF01999,cm,1,118,21103,21216,+,no,1,0.52,0.0,103.9,3.3e-19,!,"Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA4, complete sequence.",21103,21216,113,Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA4,Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA4 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,21272,False,35.836,DNA,28-MAR-2011,28,10.7142857142857,89.2857142857143,91.4441519368184,,0,Wolbachia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Wolbachia endosymbiont wVitA of Nasonia vitripennis
KY695241_II_5,KY695241,-,Intron_gpII,RF00029,cm,1,93,5,105,+,no,1,0.33,0.0,51.7,1.7e-06,!,Wolbachia phage sr1WOdamA clone contig3 genomic sequence.,5,105,100,Wolbachia phage sr1WOdamA,Wolbachia phage sr1WOdamA Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,11696,False,34.986,DNA,29-MAR-2017,15,100.0,0.0,75.5642954856361,,0,Wolbachia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Wolbachia endosymbiont of Simulium squamosum
LC680885_II_191679,LC680885,-,collapsed_g2,RF00029,cm,1,93,191679,193532,+,no,1,0.45,0.0,63.4,2.3e-09,!,"Staphylococcus phage S6 DNA, complete genome.",193449,193532,83,Staphylococcus phage S6,Staphylococcus phage S6 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,267055,True,25.09,DNA,01-FEB-2022,271,79.7047970479705,20.2952029520295,92.2420475183015,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MK448228_II_2653,MK448228,-,group-II-D1D4-6,RF02005,cm,1,225,2653,2428,-,no,1,0.55,0.0,183.5,7e-53,!,"Klebsiella phage ST15-VIM1phi2.1, complete genome.",2428,2653,225,Klebsiella phage ST15-VIM1phi2.1,Klebsiella phage ST15-VIM1phi2.1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,46342,False,53.586,DNA,26-MAR-2019,70,21.4285714285714,78.5714285714286,92.4560873505675,,0,Klebsiella,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Klebsiella pneumoniae ST15-VIM1
MK448731_II_12382,MK448731,-,collapsed_g2,RF00029,cm,1,93,12382,14377,+,no,1,0.51,0.0,52.5,1.1e-06,!,"Streptococcus phage Javan33, complete genome.",14296,14377,81,Streptococcus phage Javan33,Streptococcus phage Javan33 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,35793,False,40.078,DNA,10-APR-2019,50,90.0,10.0,93.3785935797502,,0,Streptococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Streptococcus agalactiae ERR126775
MN091626_II_50175,MN091626,-,collapsed_g2,RF00029,cm,1,93,50175,50691,+,no,1,0.45,0.0,62.5,3.8e-09,!,"Staphylococcus phage PALS_2, complete genome.",50608,50691,83,Staphylococcus phage PALS_2,Staphylococcus phage PALS_2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,268748,True,25.133,DNA,11-MAR-2021,274,79.9270072992701,20.0729927007299,91.7547293375206,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MN270259_II_82851,MN270259,-,Intron_gpII,RF00029,cm,1,93,82851,82944,+,no,1,0.53,0.0,62.8,3.2e-09,!,"Streptococcus phage phi-SgaBSJ31_rum, complete genome.",82851,82944,93,Streptococcus phage phi-SgaBSJ31_rum,Streptococcus phage phi-SgaBSJ31_rum Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,106491,False,38.702,DNA,01-SEP-2020,106,86.7924528301887,13.2075471698113,91.1231935093106,,0,Streptococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Streptococcus gallolyticus BSJ31
MW248466_II_112621,MW248466,-,Intron_gpII,RF00029,cm,1,93,112621,112692,+,no,1,0.47,0.0,51.1,2.4e-06,!,"Staphylococcus phage MarsHill, complete genome.",112621,112692,71,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW749003_II_25103,MW749003,-,collapsed_g2,RF00029,cm,1,93,25103,25386,-,no,1,0.44,0.0,50.2,3.9e-06,!,"Bacillus phage vB_BspM_Internexus, complete genome.",25019,25103,84,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MZ422438_II_51029,MZ422438,-,collapsed_g2,RF00029,cm,1,93,51029,51404,-,no,1,0.36,0.0,63.8,1.8e-09,!,"Listeria phage LPJP1, complete genome.",50945,51029,84,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_II_120247,MZ422438,-,collapsed_g2,RF00029,cm,1,93,120247,120890,+,no,1,0.41,0.0,51.4,2.1e-06,!,"Listeria phage LPJP1, complete genome.",120806,120890,84,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_II_137093,MZ422438,-,collapsed_g2,RF00029,cm,1,93,137093,139302,-,no,1,0.45,0.0,57.6,6.2e-08,!,"Listeria phage LPJP1, complete genome.",137009,137093,84,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
MZ422438_II_163939,MZ422438,-,collapsed_g2,RF00029,cm,1,93,163939,164268,-,no,1,0.38,0.0,60.8,1e-08,!,"Listeria phage LPJP1, complete genome.",163854,163939,85,Listeria phage LPJP1,Listeria phage LPJP1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,223580,True,25.923,DNA,24-SEP-2021,229,24.4541484716157,75.5458515283843,87.4881474192683,,4,Listeria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Listeria grayi
NC_007581_II_114704,NC_007581,-,Intron_gpII,RF00029,cm,1,93,114704,114619,-,no,1,0.45,0.0,61.7,6.1e-09,!,"Clostridium phage c-st, complete genome.",114619,114704,85,Clostridium phage c-st,Clostridium phage c-st Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,185683,False,26.284,DNA,07-JAN-2023,199,52.7638190954774,47.2361809045226,83.7680347689342,,0,Clostridium,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Clostridium botulinum type C strain C-Stockholm
NC_031039_II_120531,NC_031039,-,collapsed_g2,RF00029,cm,1,93,120531,121771,-,no,1,0.42,0.0,50.7,3e-06,!,"Bacillus phage AR9, complete genome.",120447,120531,84,Bacillus phage AR9,Bacillus phage AR9 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,251042,True,27.752,DNA,09-JAN-2023,296,61.8243243243243,38.1756756756757,89.6164785175389,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis 168
NC_043027_II_30725,NC_043027,-,collapsed_g2,RF00029,cm,1,93,30725,31965,-,no,1,0.42,0.0,50.7,3e-06,!,"Bacillus virus PBS1, complete genome.",30641,30725,84,Bacillus phage PBS1,Bacillus phage PBS1 Takahashivirus PBS1 Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252197,True,27.71,DNA,11-JAN-2023,299,63.2107023411371,36.7892976588629,89.8254142594876,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
ON107264_II_87715,ON107264,-,Intron_gpII,RF00029,cm,1,93,87715,87811,+,no,1,0.52,0.0,62.9,3e-09,!,"Bacillus phage BUCT083, complete genome.",87715,87811,96,Bacillus phage BUCT083,Bacillus phage BUCT083 Spbetavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,133818,False,34.933,DNA,20-APR-2022,195,70.2564102564102,29.7435897435897,86.6946150742053,,0,Bacillus,Spbetavirus,Spbetavirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacillus subtilis subsp. subtilis str. 168
ON470608_II_6150,ON470608,-,group-II-D1D4-6,RF02005,cm,1,225,6150,5925,-,no,1,0.55,0.0,184.5,3.3999999999999995e-53,!,"Escherichia phage vB_EcoS-733R5, complete genome.",5925,6150,225,Escherichia phage vB_EcoS-733R5,Escherichia phage vB_EcoS-733R5 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,46651,False,50.235,DNA,24-MAY-2022,60,25.0,75.0,88.0174058433903,,1,Escherichia,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Escherichia coli
OQ555808_II_59592,OQ555808,-,collapsed_g2,RF01998,cm,1,84,59592,59898,+,no,1,0.59,0.0,63.0,2.7e-08,!,"Mycobacterium phage Nanz197, complete genome.",59808,59898,90,Mycobacterium phage Nanz197,Mycobacterium phage Nanz197 Anayavirus Weiservirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,62663,False,66.483,DNA,02-APR-2023,94,96.8085106382979,3.19148936170213,90.9994733734421,,1,Mycobacterium,Anayavirus,Anayavirus,Weiservirinae,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
