gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
RIWTPVWV_CDS_0001	30	158	+	OQ555808	-1.6499871547446188	4624	71.0	0.85	6.321e-19	NC_023747_p1	4624	79.314087	3.560624670534691e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	4624	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0002	155	340	+	OQ555808	-2.8743251662360354	5284	135.0	1.0	1.746e-41	NC_023747_p2	5284	144.220367	1.801975449812164e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	5284	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0003	424	591	+	OQ555808	-3.7557958458783407	2074	72.0	0.635	8.427e-19	MF140398_p86	2074	75.560547	6.2502173378330105e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	2074	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0004	588	815	+	OQ555808	-0.5925130466368459	2293	110.0	0.719	1.771e-32	KX657794_p4	2293	125.926849	4.894146566512189e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	2293	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0005	1040	1243	+	OQ555808	-6.82503125883634	2622	108.0	0.742	1.3450000000000001e-31	NC_027365_p7	2622	126.751129	5.046563928380525e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	2622	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0006	1236	1463	+	OQ555808	-6.036277364248144	1459	99.0	0.651	1.662e-28	NC_028759_p3	1459	111.092842	5.875184265303595e-32	No_custom_HMM	No_custom_HMM	No_custom_HMM	1459	PHANOTATE_1.5.1	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0007	1435	2868	+	OQ555808	-105251.27149075847	9	78.0	0.201	2.578e-17	NC_023862_p15	9	174.789505	7.994773510897951e-51	No_custom_HMM	No_custom_HMM	No_custom_HMM	9	PHANOTATE_1.5.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0008	2865	4433	+	OQ555808	-246894.67905375408	104	345.0	0.446	2.122e-106	NC_023862_p16	104	504.439636	7.631965357731852e-151	No_custom_HMM	No_custom_HMM	No_custom_HMM	104	PHANOTATE_1.5.1	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0009	4462	6948	+	OQ555808	-1483240.5434088444	1752	1041.0	0.609	0.0	MF185720_p7	1752	1244.306396	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	1752	PHANOTATE_1.5.1	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RIWTPVWV_CDS_0010	7084	6971	-	OQ555808	-1.0707656710496205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
