#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1688	1837	-	IOJLKF_00020	5.3	7.8		
contig_1	3018	3293	-	IOJLKF_00035	10.0	11.1		
contig_1	3305	3619	+	IOJLKF_00040	11.4	9.8		
contig_1	4424	4570	-	IOJLKF_00050	5.4	10.6		
contig_1	4522	4800	-	IOJLKF_00055	9.8	9.4		
contig_1	5499	5696	-	IOJLKF_00060	7.1	9.1		
contig_1	8939	9394	-	IOJLKF_00080	16.1	10.0		
contig_1	13237	13437	+	IOJLKF_00100	7.4	11.8		
contig_1	17911	18135	-	IOJLKF_00135	8.0	12.0		
contig_1	18354	18584	+	IOJLKF_00140	8.2	10.4		
contig_1	18542	18808	+	IOJLKF_00145	9.3	9.7		
contig_1	18828	18998	-	IOJLKF_00150	6.3	11.3		
contig_1	19140	19385	-	IOJLKF_00155	8.9	6.7		
contig_1	20584	20838	-	IOJLKF_00165	9.5	9.6		
contig_1	21417	21671	-	IOJLKF_00175	9.3	11.4		
