locus_tag	ftype	length_bp	gene	EC_number	COG	product
AP008983_00001	CDS	198				unannotated protein
AP008983_00002	CDS	294				unannotated protein
AP008983_00003	CDS	633				unannotated protein
AP008983_00004	CDS	417				unannotated protein
AP008983_00005	CDS	273				unannotated protein
AP008983_00006	CDS	402				unannotated protein
AP008983_00007	CDS	1482				unannotated protein
AP008983_00008	CDS	1683				unannotated protein
AP008983_00009	CDS	789				unannotated protein
AP008983_00010	CDS	1491				unannotated protein
AP008983_00011	CDS	240				unannotated protein
AP008983_00012	CDS	1176				unannotated protein
AP008983_00013	CDS	768				unannotated protein
AP008983_00014	CDS	645				unannotated protein
AP008983_00015	CDS	756				unannotated protein
AP008983_00016	CDS	684				unannotated protein
AP008983_00017	CDS	402				unannotated protein
AP008983_00018	CDS	1482				unannotated protein
AP008983_00019	CDS	354				unannotated protein
AP008983_00020	CDS	1038				unannotated protein
AP008983_00021	CDS	825				unannotated protein
AP008983_00022	CDS	918				unannotated protein
AP008983_00023	CDS	162				unannotated protein
AP008983_00024	CDS	663				unannotated protein
AP008983_00025	CDS	657				unannotated protein
AP008983_00026	CDS	1401				unannotated protein
AP008983_00027	CDS	1107				unannotated protein
AP008983_00028	CDS	372				unannotated protein
AP008983_00029	CDS	1950				unannotated protein
AP008983_00030	CDS	183				unannotated protein
AP008983_00031	CDS	183				unannotated protein
AP008983_00032	CDS	138				unannotated protein
AP008983_00033	CDS	189				unannotated protein
AP008983_00034	CDS	492				unannotated protein
AP008983_00035	CDS	396				unannotated protein
AP008983_00036	CDS	2298				unannotated protein
AP008983_00037	CDS	324				unannotated protein
AP008983_00038	CDS	273				unannotated protein
AP008983_00039	CDS	552				unannotated protein
AP008983_00040	CDS	591				unannotated protein
AP008983_00041	CDS	1113				unannotated protein
AP008983_00042	CDS	1089				unannotated protein
AP008983_00043	CDS	918				unannotated protein
AP008983_00044	CDS	513				unannotated protein
AP008983_00045	CDS	168				unannotated protein
AP008983_00046	CDS	633				unannotated protein
AP008983_00047	CDS	213				unannotated protein
AP008983_00048	CDS	99				unannotated protein
AP008983_00049	CDS	186				unannotated protein
AP008983_00050	CDS	288				unannotated protein
