feature_id	locus_id	coordinates	feature_type	name	group	group_type	category	fill_colour	stroke_colour	show_label
gnl_Bakta_JEDAHN_00655	NC_007581	23:1699:1	CDS	Conserved hypothetical phage-related protein	gnl_Bakta_JEDAHN_00655	undefined		default	default	0
gnl_Bakta_JEDAHN_00650	NC_007581	2069:7057:1	CDS	Phage tail tape measure protein	gnl_Bakta_JEDAHN_00650	undefined		default	default	0
gnl_Bakta_JEDAHN_00645	NC_007581	7608:8402:1	CDS	Conserved hypothetical phage-related protein	gnl_Bakta_JEDAHN_00645	undefined		default	default	0
gnl_Bakta_JEDAHN_00640	NC_007581	8415:10640:1	CDS	Hypothetical phage-related protein	gnl_Bakta_JEDAHN_00640	undefined		default	default	0
intron3	NC_007581	10586:11272:1	tRNA	intron3	intron3	noncoding	tRNA	default	default	0
gnl_Bakta_JEDAHN_00635	NC_007581	11235:12869:1	CDS	Autotransporter domain-containing protein	gnl_Bakta_JEDAHN_00635	undefined		default	default	0
gnl_Bakta_JEDAHN_00630	NC_007581	12866:13828:-1	CDS	DUF3256 domain-containing protein	gnl_Bakta_JEDAHN_00630	undefined		default	default	0
gnl_Bakta_JEDAHN_00625	NC_007581	14034:14351:1	CDS	hypothetical protein	gnl_Bakta_JEDAHN_00625	undefined		default	default	0
gnl_Bakta_JEDAHN_00620	NC_007581	14561:15082:1	CDS	Peptidase-M78 domain-containing protein	gnl_Bakta_JEDAHN_00620	undefined		default	default	0
gnl_Bakta_JEDAHN_00615	NC_007581	15079:15561:1	CDS	Ion-trans domain-containing protein	gnl_Bakta_JEDAHN_00615	undefined		default	default	0
gnl_Bakta_JEDAHN_00610	NC_007581	15791:16090:1	CDS	Preprotein translocase YidC	gnl_Bakta_JEDAHN_00610	undefined		default	default	0
gnl_Bakta_JEDAHN_00605	NC_007581	16090:16719:1	CDS	DUF5673 domain-containing protein	gnl_Bakta_JEDAHN_00605	undefined		default	default	0
gnl_Bakta_JEDAHN_00600	NC_007581	16836:17198:1	CDS	YopX domain-containing protein	gnl_Bakta_JEDAHN_00600	undefined		default	default	0
gnl_Bakta_JEDAHN_00595	NC_007581	17260:17433:1	CDS	DUF2281 domain-containing protein	gnl_Bakta_JEDAHN_00595	undefined		default	default	0
gnl_Bakta_JEDAHN_00590	NC_007581	17472:18827:1	CDS	DUF2479 domain-containing protein	gnl_Bakta_JEDAHN_00590	undefined		default	default	0
AXU27502.1	CP020378.1	30:1844:-1	CDS	ABC transporter ATP-binding/permease	AXU27501.1	undefined		default	default	0
AXU27501.1	CP020378.1	1857:3632:-1	CDS	ABC transporter ATP-binding protein/permease	AXU27501.1	undefined		default	default	0
AXU27500.1	CP020378.1	3934:6153:1	CDS	phage infection protein	AXU27500.1	undefined		default	default	0
AXU27499.1	CP020378.1	6390:6689:-1	CDS	phage shock protein	AXU27499.1	undefined		default	default	0
AXU27498.1	CP020378.1	6896:7942:1	CDS	penicillin-binding protein	AXU27498.1	undefined		default	default	0
intron4	CP020378.1	7944:11274:1	tRNA	intron4	intron4	noncoding	tRNA	default	default	0
AXU27497.1	CP020378.1	8641:8886:1	CDS	hypothetical protein	AXU27497.1	undefined		default	default	0
AXU27496.1	CP020378.1	9328:11169:1	CDS	reverse transcriptase/maturase family protein	AXU27496.1	undefined		default	default	0
AXU27495.1	CP020378.1	11265:13283:1	CDS	penicillin-binding protein	AXU27495.1	undefined		default	default	0
AXU27494.1	CP020378.1	13444:14685:-1	CDS	iron-sulfur protein	AXU27494.1	undefined		default	default	0
AXU27493.1	CP020378.1	14939:17500:-1	CDS	ABC transporter permease	AXU27493.1	undefined		default	default	0
AXU27492.1	CP020378.1	17501:18167:-1	CDS	ABC transporter ATP-binding protein	AXU27492.1	undefined		default	default	0
