locus_tag	ftype	length_bp	gene	EC_number	COG	product
KT887559_00001	CDS	1686				unannotated protein
KT887559_00002	tRNA	77				tRNA-Met(cat)
KT887559_00003	CDS	240				unannotated protein
KT887559_00004	CDS	231				unannotated protein
KT887559_00005	CDS	2691				unannotated protein
KT887559_00006	CDS	402				unannotated protein
KT887559_00007	CDS	348				unannotated protein
KT887559_00008	CDS	360				unannotated protein
KT887559_00009	CDS	267				unannotated protein
KT887559_00010	CDS	246				unannotated protein
KT887559_00011	CDS	231				unannotated protein
KT887559_00012	CDS	279				unannotated protein
KT887559_00013	CDS	210				unannotated protein
KT887559_00014	CDS	828				unannotated protein
KT887559_00015	CDS	2049				unannotated protein
KT887559_00016	CDS	954				unannotated protein
KT887559_00017	CDS	1023				unannotated protein
KT887559_00018	CDS	735				unannotated protein
KT887559_00019	CDS	462				unannotated protein
KT887559_00020	CDS	438				unannotated protein
KT887559_00021	CDS	666				unannotated protein
KT887559_00022	CDS	1116				unannotated protein
KT887559_00023	CDS	450				unannotated protein
KT887559_00024	CDS	210				unannotated protein
KT887559_00025	CDS	255				unannotated protein
KT887559_00026	CDS	462				unannotated protein
KT887559_00027	CDS	486				unannotated protein
KT887559_00028	CDS	288				unannotated protein
KT887559_00029	CDS	141				unannotated protein
KT887559_00030	CDS	2055				unannotated protein
KT887559_00031	CDS	321				unannotated protein
KT887559_00032	CDS	1173				unannotated protein
KT887559_00033	CDS	525				unannotated protein
KT887559_00034	CDS	1965				unannotated protein
KT887559_00035	CDS	711				unannotated protein
KT887559_00036	CDS	921				unannotated protein
KT887559_00037	CDS	540				unannotated protein
KT887559_00038	CDS	699				unannotated protein
KT887559_00039	CDS	972				unannotated protein
KT887559_00040	CDS	405				unannotated protein
KT887559_00041	CDS	183				unannotated protein
