gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
YAFCCRHI_CDS_0001	64	522	+	MF360957	-80902.99423169927	26973	334.0	1.0	4.057e-108	NC_031039_p114	26973	302.485748	5.583358926326816e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	26973	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0002	587	1183	+	MF360957	-181430.88093741605	30713	465.0	1.0	2.433e-152	NC_031039_p115	30713	434.173706	2.301814539608765e-130	No_custom_HMM	No_custom_HMM	No_custom_HMM	30713	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0003	1295	2890	+	MF360957	-71590865919695.6	20655	958.0	0.883	6.035e-317	NC_016163_p136	20655	1041.617676	1.10434490697e-313	No_custom_HMM	No_custom_HMM	No_custom_HMM	20655	PHANOTATE_1.5.1	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0004	2957	3928	+	MF360957	-14134097239.570915	2767	90.0	0.213	8.179000000000001e-21	NC_023610_p235	2767	150.212357	1.5093414261711692e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	2767	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0005	4151	3963	-	MF360957	-925.1218771123334	33977	148.0	1.0	2.897e-45	NC_031039_p118	33977	150.597778	2.4345716977869825e-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	33977	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0006	4998	4285	-	MF360957	-393043036.7105928	28674	576.0	1.0	1.8159999999999998e-190	NC_031039_p119	28674	540.997131	5.184593427893755e-163	No_custom_HMM	No_custom_HMM	No_custom_HMM	28674	PHANOTATE_1.5.1	CDS	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0007	5105	5710	+	MF360957	-2890901.030706605	32359	452.0	1.0	9.583e-148	NC_016163_p144	32359	410.237701	3.1425507177085655e-123	No_custom_HMM	No_custom_HMM	No_custom_HMM	32359	PHANOTATE_1.5.1	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0008	5926	5783	-	MF360957	-1.532304379006552	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0009	6352	6116	-	MF360957	-6.759172242824636	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YAFCCRHI_CDS_0010	6698	6817	+	MF360957	-3.266544805623205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
