gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
QFHXMYUU_CDS_0001	211	306	+	KY695241	-5.458395793328929	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0002	316	651	+	KY695241	-2398.942773044127	43	127.0	0.593	5.489e-38	p108457 VI_04298	43	136.831451	5.943238419134808e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	43	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0003	661	1488	+	KY695241	-694337975.1083313	4226	168.0	0.43	2.324e-50	p428496 VI_02892	4226	183.125244	9.364716735829142e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	4226	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0004	1485	1676	+	KY695241	-8.90570331841766	17612	85.0	0.736	9.604e-21	p217156 VI_00068	17612	75.109406	1.0829987182749714e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	17612	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0005	1817	2773	+	KY695241	-4341394415.170398	17612	475.0	0.779	7.064e-154	p217156 VI_00068	17612	447.769196	7.552596742821624e-134	No_custom_HMM	No_custom_HMM	No_custom_HMM	17612	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0006	2715	3383	+	KY695241	-1747.2234617291288	1394	89.0	0.505	2.055e-24	p52190 VI_08944	1394	80.239006	3.4724396019565046e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	1394	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0007	3492	3587	+	KY695241	-3.4277763202984586	17266	63.0	0.91	4.66e-16	p199673 VI_00083	17266	44.868965	1.636006869793132e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	17266	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0008	3929	3810	-	KY695241	-0.0454679305892216	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0009	3939	4148	+	KY695241	-13.17377547404305	358	59.0	0.55	3.542e-12	p52191 VI_08944	17266	139.820984	2.033301715052982e-40	No_custom_HMM	No_custom_HMM	No_custom_HMM	358	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0010	4145	4609	+	KY695241	-18391.37530316952	358	113.0	0.416	9.143999999999999e-29	p52191 VI_08944	17266	164.228775	7.549315347803473e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	358	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0011	4652	5197	+	KY695241	-4584.628461884681	31651	325.0	1.0	1.067e-104	p26794 VI_00069	31651	303.030334	2.721228534225101e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	31651	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0012	5283	5414	+	KY695241	-20.35185150179082	31651	99.0	1.0	7.26e-27	p26794 VI_00069	31651	77.98008	1.70844193291735e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	31651	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0013	5427	5573	+	KY695241	-21.40603955024618	5986	71.0	0.776	2.404e-16	p52192 VI_08944	5986	60.726986	1.9871844619421399e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	5986	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0014	5660	6532	+	KY695241	-186986418.02778047	5986	374.0	0.649	9.695e-119	p52192 VI_08944	5986	412.006012	4.380383587771727e-123	No_custom_HMM	No_custom_HMM	No_custom_HMM	5986	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0015	6623	6811	+	KY695241	-3.3067175198341694	14493	96.0	1.0	1.979e-28	p64811 VI_04289	14493	87.106575	1.4058503006246513e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	14493	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0016	6808	8298	+	KY695241	-224385643840.3619	16274	917.0	0.887	1.679e-305	p15403 VI_00094	16274	768.686829	3.022781628309224e-231	No_custom_HMM	No_custom_HMM	No_custom_HMM	16274	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0017	8415	8269	-	KY695241	-0.046870328287374	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0018	8517	9188	+	KY695241	-2251921.926946612	52	173.0	0.487	1.853e-50	KY290949_p37	52	222.427231	2.8357894075559007e-65	No_custom_HMM	No_custom_HMM	No_custom_HMM	52	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0019	9229	9351	+	KY695241	-0.0952597491684423	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0020	9527	9339	-	KY695241	-0.6890776498065267	9262	66.0	0.562	3.061e-16	p15390 VI_00094	9262	50.182518	4.808687998595406e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	9262	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0021	9698	9567	-	KY695241	-2.130026551678924	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0022	9884	9720	-	KY695241	-0.0490132050410126	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0023	9873	10049	+	KY695241	-10.7402282876671	19911	109.0	0.881	9.414e-33	p26809 VI_00069	19911	99.661179	1.3781563159726318e-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	19911	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0024	10024	10971	+	KY695241	-589461.6348071814	25573	677.0	1.0	1.7650000000000002e-225	p26810 VI_00069	25573	619.909485	1.4504092302033282e-186	No_custom_HMM	No_custom_HMM	No_custom_HMM	25573	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0025	10943	11047	+	KY695241	-1.2166434285725751	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
QFHXMYUU_CDS_0026	11124	11696	+	KY695241	-63007.25275114843	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	10385	43.865128	9.420621920588422e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	10385	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
