# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	608	+	DNICKM_00005		Terminase large subunit	SO:0001217, UniParc:UPI000B9D6D07, UniRef:UniRef100_A0A172JI17, UniRef:UniRef50_A0A172JI17, UniRef:UniRef90_A0A172JI17
contig_1	cds	1991	3205	+	DNICKM_00010		Terminase large subunit	SO:0001217, UniRef:UniRef50_A0A223LE99, UniRef:UniRef90_A0A223LE99
contig_1	cds	3315	4085	+	DNICKM_00015		NOSIC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A223LD04, UniRef:UniRef90_A0A223LD04
contig_1	cds	4106	4816	+	DNICKM_00020		CRISPR type III A-associated protein Csm2	SO:0001217, UniRef:UniRef50_A0A172JI37, UniRef:UniRef90_A0A172JI37
contig_1	cds	4917	5663	+	DNICKM_00025		Virion protein	SO:0001217, UniParc:UPI0007DDA454, UniRef:UniRef100_A0A172JI38, UniRef:UniRef50_A0A172JI38, UniRef:UniRef90_A0A172JI38
contig_1	cds	5729	8692	+	DNICKM_00030		Tail sheath protein	SO:0001217, UniRef:UniRef50_A0A223LD35, UniRef:UniRef90_A0A223LD35
contig_1	cds	8802	9599	+	DNICKM_00035		Virion protein	SO:0001217, UniParc:UPI0007DDAE5E, UniRef:UniRef100_A0A172JI36, UniRef:UniRef50_A0A141HS94, UniRef:UniRef90_A0A172JI36
contig_1	cds	9651	11846	-	DNICKM_00040		Portal protein	SO:0001217, UniRef:UniRef50_A0A141HS95, UniRef:UniRef90_A0A223LCY0
contig_1	cds	11934	12650	-	DNICKM_00045		ADPrib-exo-Tox domain-containing protein	SO:0001217, UniRef:UniRef50_A0A223LE70, UniRef:UniRef90_A0A223LE70
contig_1	cds	12708	12992	-	DNICKM_00050	yopY	SPbeta prophage-derived uncharacterized protein YopY	SO:0001217, UniRef:UniRef50_O34730
contig_1	cds	13000	13215	-	DNICKM_00055		CAT-RBD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A268EBT0
contig_1	cds	13226	13462	-	DNICKM_00060		Phage protein	SO:0001217, UniRef:UniRef50_A0A223LBY0, UniRef:UniRef90_A0A223LBY0
contig_1	cds	13476	14069	-	DNICKM_00065		DnaQ-like 3'-5' exonuclease	SO:0001217, UniRef:UniRef50_A0A172JI25, UniRef:UniRef90_A0A172JI25
