locus_tag	ftype	length_bp	gene	EC_number	COG	product
KY695241_00001	CDS	336				unannotated protein
KY695241_00002	CDS	828				unannotated protein
KY695241_00003	CDS	192				unannotated protein
KY695241_00004	CDS	1062				unannotated protein
KY695241_00005	CDS	624				unannotated protein
KY695241_00006	CDS	210				unannotated protein
KY695241_00007	CDS	465				unannotated protein
KY695241_00008	CDS	546				unannotated protein
KY695241_00009	CDS	132				unannotated protein
KY695241_00010	CDS	147				unannotated protein
KY695241_00011	CDS	873				unannotated protein
KY695241_00012	CDS	1491				unannotated protein
KY695241_00013	CDS	765				unannotated protein
KY695241_00014	CDS	219				unannotated protein
KY695241_00015	CDS	948				unannotated protein
