#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	8176	9075	+	JCCBMO_00035	34.4	9.3		SO:0001217, UniParc:UPI001AF3CDF1, UniRef:UniRef100_A0A8B6SXG8, UniRef:UniRef50_A0A8B6SXG8, UniRef:UniRef90_A0A8B6SXG8
contig_1	42057	42608	+	JCCBMO_00170	21.9	5.3		SO:0001217, UniParc:UPI001AF5CCB0, UniRef:UniRef100_A0A8B6SXJ0, UniRef:UniRef50_A0A8B6SXJ0, UniRef:UniRef90_A0A8B6SXJ0
contig_1	54659	55435	+	JCCBMO_00255	30.1	4.5		SO:0001217, UniParc:UPI001AF9B8C5, UniRef:UniRef100_A0A8B6MGF6, UniRef:UniRef50_A0A8B6MGF6, UniRef:UniRef90_A0A8B6MGF6
contig_1	61953	62495	+	JCCBMO_00295	21.6	8.8		SO:0001217, UniParc:UPI001AF85D74, UniRef:UniRef100_A0A856M494, UniRef:UniRef50_A0A856M494, UniRef:UniRef90_A0A856M494
contig_1	70661	71395	+	JCCBMO_00350	29.4	5.4		SO:0001217, UniParc:UPI001AFB9404, UniRef:UniRef100_A0A856M4A3, UniRef:UniRef50_A0A856M4A3, UniRef:UniRef90_A0A856M4A3
contig_1	87645	87923	+	JCCBMO_00470	10.7	5.0		SO:0001217, UniParc:UPI001AF89AB3, UniRef:UniRef100_A0A8B6MGJ1, UniRef:UniRef50_A0A8B6MGJ1, UniRef:UniRef90_A0A8B6MGJ1
contig_1	90652	90759	+	JCCBMO_00515	4.1	9.5		SO:0001217, UniParc:UPI001AFAF26B, UniRef:UniRef100_A0A8B6MGJ8, UniRef:UniRef50_A0A8B6MGJ8, UniRef:UniRef90_A0A8B6MGJ8
contig_1	95311	95934	+	JCCBMO_00560	24.9	9.1		SO:0001217, UniParc:UPI001AF3DFEA, UniRef:UniRef100_A0A8B6MGK7, UniRef:UniRef50_A0A7T8ESN7, UniRef:UniRef90_A0A7T8ESN7
contig_1	145545	145739	+	JCCBMO_00815	7.7	9.0		SO:0001217, UniParc:UPI001AF31932, UniRef:UniRef100_A0A8B6MGP8, UniRef:UniRef50_A0A7S9XGU5, UniRef:UniRef90_A0A8B6MGP8
contig_1	169064	169315	+	JCCBMO_00865	9.9	9.7		SO:0001217, UniRef:UniRef50_A0A8B6MGQ6, UniRef:UniRef90_A0A8B6MGQ6
contig_1	169327	169524	+	JCCBMO_00870	7.6	8.9		SO:0001217, UniParc:UPI001AF7F75B, UniRef:UniRef100_A0A7T8IXU6, UniRef:UniRef50_A0A7T7K7Y7, UniRef:UniRef90_A0A7T8IXU6
contig_1	169991	170269	+	JCCBMO_00880	10.9	5.7		SO:0001217, UniParc:UPI001AFA0CE4, UniRef:UniRef100_A0A8B6MGQ9, UniRef:UniRef50_A0A7T7GSM0, UniRef:UniRef90_A0A7T8IY22
contig_1	204780	205067	+	JCCBMO_01080	11.4	5.6		SO:0001217, UniParc:UPI001AF6CDC3, UniRef:UniRef100_A0A8B6MGU1, UniRef:UniRef50_A0A8B6MGU1, UniRef:UniRef90_A0A8B6MGU1
contig_1	205359	205871	+	JCCBMO_01090	19.6	7.7		SO:0001217, UniParc:UPI001AFAF851, UniRef:UniRef100_A0A856LZZ8, UniRef:UniRef50_A0A856LZZ8, UniRef:UniRef90_A0A856LZZ8
contig_1	215881	216591	+	JCCBMO_01140	28.2	5.3		SO:0001217, UniParc:UPI001AFBEDC1, UniRef:UniRef100_A0A856M007, UniRef:UniRef50_A0A7T8ESZ1, UniRef:UniRef90_A0A7T8ETA8
contig_1	216603	217259	+	JCCBMO_01145	26.0	5.4		SO:0001217, UniParc:UPI001AF68EEF, UniRef:UniRef100_A0A8B6MGV0, UniRef:UniRef50_A0A8B6MGV0, UniRef:UniRef90_A0A8B6MGV0
contig_1	243899	244582	-	JCCBMO_01245	26.9	5.2		SO:0001217, UniParc:UPI001AF31273, UniRef:UniRef100_A0A856M028, UniRef:UniRef50_A0A7T8IXK5, UniRef:UniRef90_A0A7T8IXK5
contig_1	253416	253616	+	JCCBMO_01305	7.9	9.6		SO:0001217, UniParc:UPI001AF4A53B, UniRef:UniRef100_A0A8B6MGX5, UniRef:UniRef50_A0A8B6MGX5, UniRef:UniRef90_A0A8B6MGX5
