gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
IUWGTBIG_CDS_0001	31	456	+	LC680884	-18949.51275926025	261	73.0	0.341	1.16e-17	KU686208_p77	261	84.104439	2.8514467005106643e-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	261	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0002	471	1667	+	LC680884	-3551787103.871484	18873	687.0	0.848	1.0760000000000001e-225	KT895374_p286	18873	704.949402	5.297048099499344e-212	No_custom_HMM	No_custom_HMM	No_custom_HMM	18873	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0003	1721	1894	+	LC680884	-0.4694509190362982	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0004	1947	2279	+	LC680884	-19199.771771023286	27944	182.0	0.804	2.131e-56	KT895374_p284	27944	206.980911	9.702358122636833e-62	No_custom_HMM	No_custom_HMM	No_custom_HMM	27944	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0005	2321	4009	+	LC680884	-5.333800282257811e+21	5725	452.0	0.495	4.87e-142	NC_021796_p5	5725	585.314941	2.1713260945467085e-175	No_custom_HMM	No_custom_HMM	No_custom_HMM	5725	PHANOTATE_1.5.1	CDS	#838383	chaperonin groEL	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0006	4081	4905	+	LC680884	-2349918.9274705416	20045	474.0	0.841	1.195e-154	KT895374_p282	20045	504.361542	1.7440056473750534e-151	No_custom_HMM	No_custom_HMM	No_custom_HMM	20045	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0007	4967	6361	+	LC680884	-3009426281.921598	25005	1045.0	1.0	0.0	KT895374_p281	25005	959.45166	6.204669409794023e-289	No_custom_HMM	No_custom_HMM	No_custom_HMM	25005	PHANOTATE_1.5.1	CDS	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0008	6475	7512	+	LC680884	-5919613.214955421	19847	678.0	0.937	1.879e-223	KT895374_p280	19847	618.156738	8.390251888122158e-186	No_custom_HMM	No_custom_HMM	No_custom_HMM	19847	PHANOTATE_1.5.1	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0009	7526	7945	+	LC680884	-170826.0225623359	883	112.0	0.505	1.713e-31	KY554770_p110	883	106.645271	1.7090460793398253e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	883	PHANOTATE_1.5.1	CDS	#ff59f5	flavodoxin	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0010	7908	10004	+	LC680884	-7.888256869705811e+21	3987	268.0	0.324	9.236000000000001e-78	KJ019113_p163	84	659.136292	2.367951947460149e-197	No_custom_HMM	No_custom_HMM	No_custom_HMM	3987	PHANOTATE_1.5.1	CDS	#ffdf59	ribonucleotide reductase large subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0011	10031	11080	+	LC680884	-7103326429.216181	24856	214.0	0.54	1.8610000000000002e-65	NC_015253_p132	86	301.94693	1.5858327230558814e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	24856	PHANOTATE_1.5.1	CDS	#ffdf59	ribonucleotide reductase class Ia beta subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0012	11173	11703	+	LC680884	-1637391.0030458283	174	135.0	0.472	2.657e-38	MH001459_p30	174	193.261032	1.9946789538809738e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	174	PHANOTATE_1.5.1	CDS	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0013	11706	12839	+	LC680884	-16880055666.047934	26916	856.0	1.0	1.2169999999999999e-284	MF360957_p111	26916	772.963257	9.509798532168126e-233	No_custom_HMM	No_custom_HMM	No_custom_HMM	26916	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0014	12832	13014	+	LC680884	-76.45232470482429	34800	150.0	1.0	3.907e-46	MF360957_p110	34800	147.822098	1.4801821710893962e-43	No_custom_HMM	No_custom_HMM	No_custom_HMM	34800	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0015	13053	14243	+	LC680884	-17166036991825.996	20569	783.0	0.94	8.465999999999999e-259	MF360957_p109	20569	728.641479	1.680672307126773e-218	No_custom_HMM	No_custom_HMM	No_custom_HMM	20569	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0016	15139	14249	-	LC680884	-152528897.37187752	29947	732.0	1.0	3.409e-243	MF360957_p108	29947	686.152893	9.714612189122894e-207	No_custom_HMM	No_custom_HMM	No_custom_HMM	29947	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0017	16325	15207	-	LC680884	-1955734039100.0369	26049	755.0	0.963	1.046e-249	MF360957_p107	26049	725.044556	3.1357319694521063e-218	No_custom_HMM	No_custom_HMM	No_custom_HMM	26049	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0018	17433	16399	-	LC680884	-17258573155.245827	23545	732.0	1.0	2.436e-242	MF360957_p106	23545	685.733337	2.576328441255779e-206	No_custom_HMM	No_custom_HMM	No_custom_HMM	23545	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0019	18711	17449	-	LC680884	-1202210048299.2822	23804	955.0	1.0	7.757e-318	MF360957_p105	23804	896.971252	4.46994172309709e-270	No_custom_HMM	No_custom_HMM	No_custom_HMM	23804	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0020	18981	18886	-	LC680884	-1.1775894998549	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0021	18986	19096	+	LC680884	-0.1439117374207986	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0022	19135	20067	+	LC680884	-95344250113.05267	21400	641.0	0.978	2.045e-211	MF360957_p104	21400	589.94873	2.00798173166546e-177	No_custom_HMM	No_custom_HMM	No_custom_HMM	21400	PHANOTATE_1.5.1	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0023	20079	22793	+	LC680884	-3.75630477372312e+27	18960	1924.0	1.0	0.0	MF360957_p103	18960	1723.98999	0.0	No_custom_HMM	No_custom_HMM	No_custom_HMM	18960	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0024	22810	23640	+	LC680884	-14175023377.352182	27868	572.0	0.979	5.116e-188	MF360957_p102	27868	521.801025	7.937276671157566e-157	No_custom_HMM	No_custom_HMM	No_custom_HMM	27868	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0025	24105	23686	-	LC680884	-2329230.7199186306	35709	343.0	1.0	2.075e-111	MF360957_p101	35709	314.613129	1.2388360351745147e-94	No_custom_HMM	No_custom_HMM	No_custom_HMM	35709	PHANOTATE_1.5.1	CDS	#838383	kinase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IUWGTBIG_CDS_0026	24639	24133	-	LC680884	-10206562.139169412	22198	365.0	1.0	1.3009999999999999e-118	MF360957_p100	22198	321.384399	2.3233089684340026e-96	No_custom_HMM	No_custom_HMM	No_custom_HMM	22198	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
