gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
WYDQCTQB_CDS_0001	1523	30	-	HQ906664	-130874663470249.4	95	256.0	0.396	4.019e-77	p77578 VI_00064	95	361.441193	1.9319745476950654e-107	No_custom_HMM	No_custom_HMM	No_custom_HMM	95	PHANOTATE_1.5.1	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0002	1964	1533	-	HQ906664	-4510.924601745035	11806	205.0	0.679	4.527e-64	p7111 VI_06240	11806	199.070251	7.284823980906977e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	11806	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0003	2463	1999	-	HQ906664	-8859.704642979725	9262	90.0	0.445	6.855e-24	p15390 VI_00094	9262	222.815216	9.80504021638225e-66	No_custom_HMM	No_custom_HMM	No_custom_HMM	9262	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0004	3230	2502	-	HQ906664	-403313.1860089605	9262	95.0	0.383	1.191e-25	p15390 VI_00094	9262	388.30899	3.0185538732712514e-116	No_custom_HMM	No_custom_HMM	No_custom_HMM	9262	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0005	3275	3418	+	HQ906664	-0.6905121652445521	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0006	4575	3415	-	HQ906664	-6522628879.036965	17612	715.0	0.888	1.075e-236	p217156 VI_00068	17612	652.954773	3.753048404967737e-196	No_custom_HMM	No_custom_HMM	No_custom_HMM	17612	PHANOTATE_1.5.1	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0007	5369	4575	-	HQ906664	-26142373.42391941	4226	136.0	0.377	6.318e-39	p428496 VI_02892	6	161.052338	8.234182475106861e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	4226	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0008	5707	5372	-	HQ906664	-10265.463338024376	43	128.0	0.6	2.998e-38	p108457 VI_04298	43	140.155716	5.563723523824583e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	43	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0009	5941	5729	-	HQ906664	-191.9584899111232	281	47.0	0.389	1.637e-10	NC_027331_p171	281	58.173367	1.6635984469775681e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	281	PHANOTATE_1.5.1	CDS	#ff59f5	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WYDQCTQB_CDS_0010	6453	5989	-	HQ906664	-272852.8176624632	9992	86.0	0.361	4.652999999999999e-22	p200092 VI_07688	9992	113.021759	2.9616120208281135e-32	No_custom_HMM	No_custom_HMM	No_custom_HMM	9992	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate assembly protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
