intronID,hit,target_name,accession,query_name,accession_2,mdl,mdl_from,mdl_to,seq_from,seq_to,strand,trunc,pass,gc,bias,score,E-value,inc,description_of_target,start,end,length,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
LC680885_I_7142,4680,LC680885,-,IA2,-,cm,1,251,7142,6891,-,no,1,0.31,15.3,37.3,8.7e-05,!,"Staphylococcus phage S6 DNA, complete genome.",6891,7142,251,Staphylococcus phage S6,Staphylococcus phage S6 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,267055,True,25.09,DNA,01-FEB-2022,271,79.7047970479705,20.2952029520295,92.2420475183015,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MN091626_I_135591,12601,MN091626,-,IC1,-,cm,98,210,135591,135682,+,no,1,0.34,0.0,25.5,0.0016,!,"Staphylococcus phage PALS_2, complete genome.",135591,135682,91,Staphylococcus phage PALS_2,Staphylococcus phage PALS_2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,268748,True,25.133,DNA,11-MAR-2021,274,79.9270072992701,20.0729927007299,91.7547293375206,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MN091626_I_205873,12608,MN091626,-,IC1,-,cm,98,210,205873,205964,+,no,1,0.34,0.0,25.0,0.0024,!,"Staphylococcus phage PALS_2, complete genome.",205873,205964,91,Staphylococcus phage PALS_2,Staphylococcus phage PALS_2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,268748,True,25.133,DNA,11-MAR-2021,274,79.9270072992701,20.0729927007299,91.7547293375206,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MN091626_I_233969,12646,MN091626,-,IC1,-,cm,98,250,233969,233841,-,no,1,0.38,0.0,24.1,0.005,!,"Staphylococcus phage PALS_2, complete genome.",233841,233969,128,Staphylococcus phage PALS_2,Staphylococcus phage PALS_2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,268748,True,25.133,DNA,11-MAR-2021,274,79.9270072992701,20.0729927007299,91.7547293375206,,1,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_51636,4438,MW248466,-,IA2,-,cm,1,251,51636,51397,-,no,1,0.3,18.6,39.3,2.5e-05,!,"Staphylococcus phage MarsHill, complete genome.",51397,51636,239,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_58400,9436,MW248466,-,IB4,-,cm,1,250,58400,58576,+,no,1,0.26,15.0,68.7,1.7e-12,!,"Staphylococcus phage MarsHill, complete genome.",58400,58576,176,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_156051,10847,MW248466,-,IB4,-,cm,1,250,156051,155916,-,no,1,0.35,0.9,34.0,0.0037,!,"Staphylococcus phage MarsHill, complete genome.",155916,156051,135,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_157147,12647,MW248466,-,IC1,-,cm,98,250,157147,157019,-,no,1,0.37,0.0,24.0,0.0051,!,"Staphylococcus phage MarsHill, complete genome.",157019,157147,128,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_239575,4143,MW248466,-,IA2,-,cm,1,251,239575,239859,+,no,1,0.3,22.4,44.7,7.4e-07,!,"Staphylococcus phage MarsHill, complete genome.",239575,239859,284,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW248466_I_252377,12324,MW248466,-,IC1,-,cm,1,369,252377,252576,+,no,1,0.29,12.2,35.9,5.1e-07,!,"Staphylococcus phage MarsHill, complete genome.",252377,252576,199,Staphylococcus phage MarsHill,Staphylococcus phage MarsHill Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,266637,True,25.178,DNA,13-JAN-2021,267,79.0262172284644,20.9737827715356,91.0822579011915,,0,Staphylococcus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Staphylococcus aureus
MW749003_I_914,1250,MW749003,-,IA2,-,cm,1,251,914,1207,+,no,1,0.35,5.9,126.0,8.500000000000001e-30,!,"Bacillus phage vB_BspM_Internexus, complete genome.",914,1207,293,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_1674,1227,MW749003,-,IA2,-,cm,1,251,1674,1965,+,no,1,0.38,1.2,127.3,3.8e-30,!,"Bacillus phage vB_BspM_Internexus, complete genome.",1674,1965,291,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_23305,1823,MW749003,-,IA2,-,cm,1,251,23305,22972,-,no,1,0.36,5.4,102.0,5e-23,!,"Bacillus phage vB_BspM_Internexus, complete genome.",22972,23305,333,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_53060,1819,MW749003,-,IA2,-,cm,1,251,53060,52740,-,no,1,0.37,3.2,102.2,4.3e-23,!,"Bacillus phage vB_BspM_Internexus, complete genome.",52740,53060,320,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_53550,14963,MW749003,-,Intron_gpI,RF00028,cm,1,253,53550,53321,-,no,1,0.35,5.3,45.4,1.5e-07,!,"Bacillus phage vB_BspM_Internexus, complete genome.",53321,53550,229,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_54756,12649,MW749003,-,IC1,-,cm,98,250,54756,54646,-,no,1,0.32,0.3,23.9,0.0059,!,"Bacillus phage vB_BspM_Internexus, complete genome.",54646,54756,110,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_55711,1286,MW749003,-,IA2,-,cm,1,251,55711,55430,-,no,1,0.37,2.5,124.0,3.1999999999999997e-29,!,"Bacillus phage vB_BspM_Internexus, complete genome.",55430,55711,281,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_56166,11168,MW749003,-,IC1,-,cm,98,259,56166,56001,-,no,1,0.31,4.8,75.0,3.2e-20,!,"Bacillus phage vB_BspM_Internexus, complete genome.",56001,56166,165,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_75925,12587,MW749003,-,IC1,-,cm,98,210,75925,76016,+,no,1,0.39,0.0,26.1,0.001,!,"Bacillus phage vB_BspM_Internexus, complete genome.",75925,76016,91,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
MW749003_I_78073,3638,MW749003,-,IA2,-,cm,1,251,78073,78355,+,no,1,0.35,7.2,54.2,1.5e-09,!,"Bacillus phage vB_BspM_Internexus, complete genome.",78073,78355,282,Bacillus phage vB_BspM_Internexus,Bacillus phage vB_BspM_Internexus Takahashivirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,252262,True,27.666,DNA,20-JUL-2021,291,62.5429553264605,37.4570446735395,88.4068944192942,,1,Bacillus,Takahashivirus,Takahashivirus,Unclassified,Unclassified,Unclassified,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
