gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
IJVUQRIU_CDS_0001	1540	2	-	MZ422438	-1.8427737678100835e+17	18873	221.0	0.429	6.457e-65	KT895374_p286	18873	292.510193	9.413293394166265e-87	No_custom_HMM	No_custom_HMM	No_custom_HMM	18873	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0002	2042	1575	-	MZ422438	-990.557715334057	261	45.0	0.418	3.054e-08	KU686208_p77	261	48.14888	2.517227957755269e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	261	PHANOTATE_1.5.1	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0003	2240	2136	-	MZ422438	-0.1687495449846058	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0004	2242	2367	+	MZ422438	-0.0561825147045432	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0005	2376	3119	+	MZ422438	-17126467.2967809	15137	222.0	0.511	9.59e-68	KT895374_p288	15137	239.521317	7.034392495714745e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	15137	PHANOTATE_1.5.1	CDS	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0006	3205	3771	+	MZ422438	-202233.1687855448	1815	45.0	0.223	1.934e-07	KY554769_p130	1815	65.279144	1.7432786523200692e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	1815	PHANOTATE_1.5.1	CDS	#838383	guanylate kinase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0007	3768	4562	+	MZ422438	-12533783.968884872	21037	203.0	0.445	9.148e-61	KT895374_p295	21037	229.24527	9.934324163110905e-68	No_custom_HMM	No_custom_HMM	No_custom_HMM	21037	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0008	5215	4646	-	MZ422438	-1417888.6235688117	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0009	5406	5245	-	MZ422438	-103.7011571158455	174	54.0	0.658	1.299e-10	MH001459_p30	174	61.550571	2.0514560902489374e-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	174	PHANOTATE_1.5.1	CDS	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IJVUQRIU_CDS_0010	5752	5378	-	MZ422438	-95.09736616227111	174	73.0	0.369	4.173e-17	MH001459_p30	174	88.289902	1.5450687126231939e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	174	PHANOTATE_1.5.1	CDS	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
