locus_tag	ftype	length_bp	gene	EC_number	COG	product
ON470622_00001	CDS	1434				unannotated protein
ON470622_00002	CDS	915				unannotated protein
ON470622_00003	CDS	1248				unannotated protein
ON470622_00004	tRNA	75				tRNA-Arg(cct)
ON470622_00005	CDS	1170				unannotated protein
ON470622_00006	CDS	861				unannotated protein
ON470622_00007	CDS	186				unannotated protein
ON470622_00008	CDS	558				unannotated protein
ON470622_00009	CDS	345				unannotated protein
ON470622_00010	CDS	135				unannotated protein
ON470622_00011	CDS	786				unannotated protein
ON470622_00012	CDS	300				unannotated protein
ON470622_00013	CDS	660				unannotated protein
ON470622_00014	CDS	198				unannotated protein
ON470622_00015	CDS	462				unannotated protein
ON470622_00016	CDS	984				unannotated protein
ON470622_00017	CDS	810				unannotated protein
ON470622_00018	CDS	378				unannotated protein
ON470622_00019	CDS	981				unannotated protein
ON470622_00020	CDS	363				unannotated protein
ON470622_00021	CDS	444				unannotated protein
ON470622_00022	CDS	942				unannotated protein
ON470622_00023	CDS	312				unannotated protein
ON470622_00024	CDS	540				unannotated protein
ON470622_00025	CDS	276				unannotated protein
ON470622_00026	CDS	294				unannotated protein
ON470622_00027	CDS	246				unannotated protein
ON470622_00028	CDS	198				unannotated protein
ON470622_00029	CDS	234				unannotated protein
ON470622_00030	CDS	255				unannotated protein
ON470622_00031	CDS	498				unannotated protein
ON470622_00032	CDS	1752				unannotated protein
ON470622_00033	CDS	162				unannotated protein
ON470622_00034	CDS	1227				unannotated protein
ON470622_00035	CDS	600				unannotated protein
ON470622_00036	CDS	1239				unannotated protein
ON470622_00037	CDS	318				unannotated protein
ON470622_00038	CDS	198				unannotated protein
ON470622_00039	CDS	333				unannotated protein
ON470622_00040	CDS	540				unannotated protein
ON470622_00041	CDS	366				unannotated protein
ON470622_00042	CDS	492				unannotated protein
ON470622_00043	CDS	384				unannotated protein
ON470622_00044	CDS	264				unannotated protein
ON470622_00045	CDS	378				unannotated protein
ON470622_00046	CDS	2535				unannotated protein
ON470622_00047	CDS	480				unannotated protein
ON470622_00048	CDS	483				unannotated protein
ON470622_00049	CDS	381				unannotated protein
ON470622_00050	CDS	3069				unannotated protein
ON470622_00051	CDS	4038				unannotated protein
ON470622_00052	CDS	1485				unannotated protein
ON470622_00053	CDS	261				unannotated protein
ON470622_00054	CDS	210				unannotated protein
ON470622_00055	CDS	240				unannotated protein
ON470622_00056	CDS	327				unannotated protein
ON470622_00057	CDS	387				unannotated protein
ON470622_00058	CDS	246				unannotated protein
ON470622_00059	CDS	297				unannotated protein
ON470622_00060	CDS	933				unannotated protein
