hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
GKNFIZOO_CDS_0019	phanotate	19	560	RM_Type_II__Type_II_MTases	6.700e-09	29.100	0.516	0.304	51	220
GKNFIZOO_CDS_0019	phanotate	19	560	RM_Type_II__Type_II_MTases	3.600e-09	29.800	0.566	0.357	15	214
GKNFIZOO_CDS_0019	phanotate	19	560	RM_Type_II__Type_II_MTases	5.200e-12	39.400	0.637	0.388	39	255
GKNFIZOO_CDS_0019	phanotate	19	560	RM_Type_II__Type_II_MTases	1.500e-15	50.900	0.639	0.412	48	278
GKNFIZOO_CDS_0031	phanotate	31	214	cas5_I-B_1	6.700e-12	39.400	0.448	0.453	8	104
GKNFIZOO_CDS_0032	phanotate	32	251	cas6_I_II_III_IV_V_VI_10	1.300e-32	107.800	0.988	0.960	4	244
GKNFIZOO_CDS_0032	phanotate	32	251	cas6_I_II_III_IV_V_VI_7	4.500e-14	47.400	0.995	0.741	59	244
GKNFIZOO_CDS_0032	phanotate	32	251	cas6_I_II_III_IV_V_VI_20	7.500e-22	72.400	0.993	0.570	103	245
GKNFIZOO_CDS_0037	phanotate	37	345	cas7_I-B_6	1.700e-15	51.100	0.895	0.829	33	318
GKNFIZOO_CDS_0037	phanotate	37	345	cas7_I-B_1	2.500e-13	43.900	0.687	0.583	63	263
GKNFIZOO_CDS_0068	phanotate	68	370	DISARM_2__drmMII	7.400e-41	134.500	0.949	0.978	1	362
GKNFIZOO_CDS_0068	phanotate	68	370	Druantia_II__DruM	2.000e-54	179.300	0.819	0.976	1	361
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	4.100e-12	39.700	0.459	0.443	4	167
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	1.100e-12	41.700	0.620	0.581	5	219
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	1.000e-19	64.900	0.410	0.414	29	181
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	8.200e-42	137.800	0.956	0.978	1	362
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	1.500e-47	156.700	1.071	0.976	1	361
GKNFIZOO_CDS_0068	phanotate	68	370	RM_Type_II__Type_II_MTases	4.300e-73	240.400	0.828	0.978	1	362
GKNFIZOO_CDS_0072	phanotate	72	365	cas12f2_V-F_1	5.800e-53	174.300	0.569	0.767	85	364
GKNFIZOO_CDS_0095	phanotate	95	746	recD_IV-D_1	5.800e-54	177.500	0.858	0.870	90	738
GKNFIZOO_CDS_0150	phanotate	150	450	Lamassu-Fam__LmuA_effector_Hydrolase	3.200e-15	50.000	0.435	0.347	165	320
GKNFIZOO_CDS_0173	phanotate	173	173	RosmerTA__RmrA_2677172838	1.300e-13	44.500	0.413	0.983	3	172
GKNFIZOO_CDS_0215	phanotate	215	389	cas12f2_V-F_1	5.500e-31	101.800	0.580	0.787	74	379
GKNFIZOO_CDS_0252	phanotate	252	389	cas12f2_V-F_1	5.500e-31	101.800	0.580	0.787	74	379
GKNFIZOO_CDS_0266	phanotate	266	592	Gabija__GajB_2	4.800e-82	270.400	0.726	0.975	3	579
