locus_tag	ftype	length_bp	gene	EC_number	COG	product
MF360957_00001	CDS	459				unannotated protein
MF360957_00002	CDS	642				unannotated protein
MF360957_00003	CDS	1596				unannotated protein
MF360957_00004	CDS	972				unannotated protein
MF360957_00005	CDS	189				unannotated protein
MF360957_00006	CDS	714				unannotated protein
MF360957_00007	CDS	606				unannotated protein
MF360957_00008	CDS	1215				unannotated protein
MF360957_00009	CDS	771				unannotated protein
MF360957_00010	CDS	711				unannotated protein
MF360957_00011	CDS	747				unannotated protein
MF360957_00012	CDS	2964				unannotated protein
MF360957_00013	CDS	798				unannotated protein
MF360957_00014	CDS	2196				unannotated protein
MF360957_00015	CDS	717				unannotated protein
MF360957_00016	CDS	237				unannotated protein
MF360957_00017	CDS	594				unannotated protein
MF360957_00018	CDS	1665				unannotated protein
MF360957_00019	CDS	255				unannotated protein
MF360957_00020	CDS	381				unannotated protein
MF360957_00021	CDS	255				unannotated protein
MF360957_00022	CDS	471				unannotated protein
MF360957_00023	CDS	501				unannotated protein
MF360957_00024	CDS	2736				unannotated protein
MF360957_00025	CDS	420				unannotated protein
MF360957_00026	CDS	144				unannotated protein
MF360957_00027	CDS	687				unannotated protein
MF360957_00028	CDS	774				unannotated protein
MF360957_00029	CDS	180				unannotated protein
MF360957_00030	CDS	165				unannotated protein
MF360957_00031	CDS	1485				unannotated protein
MF360957_00032	CDS	909				unannotated protein
MF360957_00033	CDS	1173				unannotated protein
MF360957_00034	CDS	264				unannotated protein
MF360957_00035	CDS	462				unannotated protein
MF360957_00036	CDS	222				unannotated protein
MF360957_00037	CDS	726				unannotated protein
MF360957_00038	CDS	1926				unannotated protein
MF360957_00039	CDS	300				unannotated protein
MF360957_00040	CDS	1896				unannotated protein
MF360957_00041	CDS	591				unannotated protein
MF360957_00042	CDS	1434				unannotated protein
MF360957_00043	CDS	891				unannotated protein
MF360957_00044	CDS	558				unannotated protein
MF360957_00045	CDS	171				unannotated protein
MF360957_00046	CDS	288				unannotated protein
MF360957_00047	CDS	1026				unannotated protein
MF360957_00048	CDS	339				unannotated protein
MF360957_00049	CDS	459				unannotated protein
MF360957_00050	CDS	597				unannotated protein
MF360957_00051	CDS	1188				unannotated protein
MF360957_00052	CDS	810				unannotated protein
MF360957_00053	CDS	216				unannotated protein
MF360957_00054	CDS	330				unannotated protein
MF360957_00055	CDS	924				unannotated protein
MF360957_00056	CDS	351				unannotated protein
MF360957_00057	CDS	360				unannotated protein
MF360957_00058	CDS	291				unannotated protein
MF360957_00059	CDS	153				unannotated protein
MF360957_00060	CDS	465				unannotated protein
MF360957_00061	CDS	414				unannotated protein
MF360957_00062	CDS	534				unannotated protein
MF360957_00063	CDS	129				unannotated protein
MF360957_00064	CDS	495				unannotated protein
MF360957_00065	CDS	309				unannotated protein
MF360957_00066	CDS	174				unannotated protein
MF360957_00067	CDS	153				unannotated protein
MF360957_00068	CDS	807				unannotated protein
MF360957_00069	CDS	225				unannotated protein
MF360957_00070	CDS	309				unannotated protein
MF360957_00071	CDS	369				unannotated protein
MF360957_00072	CDS	195				unannotated protein
MF360957_00073	CDS	516				unannotated protein
MF360957_00074	CDS	144				unannotated protein
MF360957_00075	CDS	1755				unannotated protein
MF360957_00076	CDS	1047				unannotated protein
MF360957_00077	CDS	678				unannotated protein
MF360957_00078	CDS	2799				unannotated protein
MF360957_00079	CDS	261				unannotated protein
MF360957_00080	CDS	582				unannotated protein
MF360957_00081	CDS	1962				unannotated protein
MF360957_00082	CDS	378				unannotated protein
MF360957_00083	CDS	1173				unannotated protein
MF360957_00084	CDS	1773				unannotated protein
MF360957_00085	CDS	879				unannotated protein
MF360957_00086	CDS	480				unannotated protein
MF360957_00087	CDS	354				unannotated protein
MF360957_00088	CDS	768				unannotated protein
MF360957_00089	CDS	498				unannotated protein
MF360957_00090	CDS	951				unannotated protein
MF360957_00091	CDS	357				unannotated protein
MF360957_00092	CDS	402				unannotated protein
MF360957_00093	CDS	5778				unannotated protein
MF360957_00094	CDS	1029				unannotated protein
MF360957_00095	CDS	390				unannotated protein
MF360957_00096	CDS	600				unannotated protein
MF360957_00097	CDS	507				unannotated protein
MF360957_00098	CDS	420				unannotated protein
MF360957_00099	CDS	831				unannotated protein
MF360957_00100	CDS	2715				unannotated protein
MF360957_00101	CDS	933				unannotated protein
MF360957_00102	CDS	1263				unannotated protein
MF360957_00103	CDS	1035				unannotated protein
MF360957_00104	CDS	1119				unannotated protein
MF360957_00105	CDS	891				unannotated protein
MF360957_00106	CDS	1191				unannotated protein
MF360957_00107	CDS	183				unannotated protein
MF360957_00108	CDS	1134				unannotated protein
MF360957_00109	CDS	531				unannotated protein
MF360957_00110	CDS	1050				unannotated protein
MF360957_00111	CDS	2097				unannotated protein
MF360957_00112	CDS	420				unannotated protein
MF360957_00113	CDS	1038				unannotated protein
MF360957_00114	CDS	1386				unannotated protein
MF360957_00115	CDS	825				unannotated protein
MF360957_00116	CDS	1689				unannotated protein
MF360957_00117	CDS	333				unannotated protein
MF360957_00118	CDS	117				unannotated protein
MF360957_00119	CDS	1197				unannotated protein
MF360957_00120	CDS	426				unannotated protein
MF360957_00121	CDS	717				unannotated protein
MF360957_00122	CDS	783				unannotated protein
MF360957_00123	CDS	726				unannotated protein
MF360957_00124	CDS	723				unannotated protein
MF360957_00125	CDS	384				unannotated protein
MF360957_00126	CDS	522				unannotated protein
MF360957_00127	CDS	768				unannotated protein
MF360957_00128	CDS	456				unannotated protein
MF360957_00129	CDS	534				unannotated protein
MF360957_00130	CDS	705				unannotated protein
MF360957_00131	CDS	360				unannotated protein
MF360957_00132	tRNA	76				tRNA-Asn(gtt)
MF360957_00133	CDS	336				unannotated protein
MF360957_00134	CDS	771				unannotated protein
MF360957_00135	CDS	420				unannotated protein
MF360957_00136	CDS	147				unannotated protein
MF360957_00137	CDS	180				unannotated protein
MF360957_00138	CDS	369				unannotated protein
MF360957_00139	CDS	489				unannotated protein
MF360957_00140	CDS	1251				unannotated protein
MF360957_00141	CDS	285				unannotated protein
MF360957_00142	CDS	237				unannotated protein
MF360957_00143	CDS	456				unannotated protein
MF360957_00144	CDS	327				unannotated protein
MF360957_00145	CDS	501				unannotated protein
MF360957_00146	CDS	243				unannotated protein
MF360957_00147	CDS	162				unannotated protein
MF360957_00148	CDS	735				unannotated protein
MF360957_00149	CDS	2217				unannotated protein
